id,title,venue,year,primary_url,depth,read_scope,code_url,branches
L11,FINEA: An Efficient Neural Network Accelerator Exploiting Factorized Input Features,ICCD,2025,https://pure.korea.ac.kr/en/publications/finea-an-efficient-neural-network-accelerator-exploiting-factoriz/,abstract_and_metadata_only_excluded_from_10_close_reads,Author-institution abstract and metadata only; full paper not located/read,,decomposition
L12,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning,ISCA,2025,https://arxiv.org/pdf/2505.12281v1,method_and_hardware_close_read,方法精读：PDF pp.4–8，§3.2/4.1/5.1/5.3/5.4；TTB、BSA、ECP、stratifier、SIGMA-like sparse core。未运行原实现；未确认官方代码。,,sparse
L13,LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks,MICRO,2024,https://arxiv.org/pdf/2407.14073v3,method_and_hardware_close_read,方法精读：PDF pp.5–8，§III、§IV.A–D、Alg.1、Figs.8–10；time-major packed fiber、inner join、pseudo/correction accumulators、FiberCache。仓库README确认算法与artifact目录，未宣称完整RTL公开。,https://github.com/RuokaiYin/LoAS,sparse
L14,HighLight: Efficient and Flexible DNN Acceleration with Hierarchical Structured Sparsity,MICRO,2023,https://arxiv.org/pdf/2305.12718,method_and_hardware_close_read,方法精读：PDF pp.5–9，§4–6、Figs.5–12；HSS层次、坐标格式、VFMU、两级skipping及B侧gating。未确认官方可迁入RTL。,,sparse
L15,S2TA: Exploiting Structured Sparsity for Energy-Efficient Mobile CNN Acceleration,HPCA,2022,https://arxiv.org/pdf/2107.07983v2,method_and_hardware_close_read,方法精读：PDF pp.4–7，§3–6、Fig.6–8；DBB、DAP、time-unrolled DP1M4/TPE、SRAM与maxpool硬件。论文§7声明生成RTL及EDA；本轮未确认公开代码。,,sparse
L16,Boosting the Performance of CNN Accelerators with Dynamic Fine-Grained Channel Gating,MICRO,2019,https://www.csl.cornell.edu/~zhiruz/pdfs/cgnet-micro2019.pdf,method_and_hardware_close_read,方法精读：PDF pp.3–5，§2.1–2.3/3.1–3.3；真实prefix阈值、task queue、条件路径映射、九bank窗口取数。仓库存在不等于已确认硬件RTL。,https://github.com/cornell-zhang/dnn-gating,sparse
L17,Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile Devices,IEEE JETCAS,2019,https://arxiv.org/pdf/1807.07928v2,method_and_hardware_close_read,方法精读：PDF pp.9–12，§IV.A–B/§V；CSC segment、7级流水/5 SPad、SIMD双系数字、psum双R/W及奇数尾填零。未确认官方RTL。,,sparse
L18,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,SC,2023,https://arxiv.org/pdf/2310.02065v1,method_and_hardware_close_read,方法精读：PDF pp.3–5，§3/4.1、Figs.3–8；V:N:M、column-loc、128-bit装载、RF fragment存储、bank padding。官方仓库为剪枝/Spatha CUDA，非ASIC RTL。,https://github.com/UDC-GAC/venom,sparse
L19,SpiDR: A Reconfigurable Digital Compute-in-Memory Spiking Neural Network Accelerator for Event-based Perception,arXiv作者稿；最终正式venue未核实,2024,https://arxiv.org/pdf/2411.02854,method_and_hardware_close_read,"方法精读：PDF pp.3–5，§II.A–E、Figs.7–12；S2A detector、16深度even/odd FIFO、硬件im2col与dual-port IFspad。论文含65nm芯片；不按JSSC/ISSCC计数。 | §II; Fig4; §III/TableII; PDF pp.2–4,7",,sparse;flow
L20,FlexHiNM-GP: Flexible Hierarchical Pruning via Region Allocation and Channel Permutation,ICLR,2026,https://proceedings.iclr.cc/paper_files/paper/2026/file/9e33fdc35b68781132e836964a326bf3-Paper-Conference.pdf,method_and_hardware_close_read,方法精读：PDF pp.4–7，§3.1–3.3/§4/§5、Alg.1；0:4/2:4/4:4分区、二阶重要性、双轴置换、双CUDA stream/atomicAdd。主论文公式/算法已读，未独立验证其证明或实现，未确认官方代码。,,sparse
L21,End-to-End Learning of Representations for Asynchronous Event-Based Data,ICCV 2019,2019,https://openaccess.thecvf.com/content_ICCV_2019/papers/Gehrig_End-to-End_Learning_of_Representations_for_Asynchronous_Event-Based_Data_ICCV_2019_paper.pdf,selected_method_sections_read,§3.1–3.3; PDF pp.3–4 / printed pp.5635–5636,https://github.com/uzh-rpg/rpg_event_representation_learning,flow
L22,Event-based Asynchronous Sparse Convolutional Networks,ECCV 2020,2020,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123530409.pdf,selected_method_sections_read,§3.1–3.2; PDF pp.4–8,https://github.com/uzh-rpg/rpg_asynet,flow
L23,Lightweight Event-based Optical Flow Estimation via Iterative Deblurring,ICRA 2024,2024,https://pure.tudelft.nl/ws/portalfiles/portal/220695337/Lightweight_Event-based_Optical_Flow_Estimation_via_Iterative_Deblurring.pdf,selected_method_sections_read,§III-A–F / Algorithms1–2; PDF pp.4–6 / printed pp.14709–14711,https://github.com/tudelft/idnet,flow
L24,Efficient Meshflow and Optical Flow Estimation from Event Cameras,CVPR 2024,2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Luo_Efficient_Meshflow_and_Optical_Flow_Estimation_from_Event_Cameras_CVPR_2024_paper.pdf,selected_method_sections_read,§3.1–3.2.3; PDF pp.3–5 / printed pp.19200–19202,https://github.com/boomluo02/EEMFlow,flow
L25,EDCFlow: Exploring Temporally Dense Difference Maps for Event-based Optical Flow Estimation,CVPR 2025,2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_EDCFlow_Exploring_Temporally_Dense_Difference_Maps_for_Event-based_Optical_Flow_CVPR_2025_paper.pdf,selected_method_sections_read,§3.1–3.4; PDF pp.3–4 / printed pp.1986–1987,https://github.com/KK-xi/EDCFlow,flow
L26,EMatch: A Unified Framework for Event-based Optical Flow and Stereo Matching,ICCV 2025,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_EMatch_A_Unified_Framework_for_Event-based_Optical_Flow_and_Stereo_ICCV_2025_paper.pdf,selected_method_sections_read,§3.1–3.2; PDF pp.3–5 / printed pp.5847–5849,https://github.com/BIT-Vision/EMatch,flow
L27,From Contrast to Consistency: Rethinking Event-based Continuous-Time Optical Flow Estimation,CVPR 2026,2026,https://openaccess.thecvf.com/content/CVPR2026/papers/Hu_From_Contrast_to_Consistency_Rethinking_Event-based_Continuous-Time_Optical_Flow_Estimation_CVPR_2026_paper.pdf,selected_method_sections_read,§3.1–3.3; PDF pp.3–5 / printed pp.15127–15129,,flow
L28,hARMS: A Hardware Acceleration Architecture for Real-Time Event-Based Optical Flow,IEEE Access 10:58181–58198,2022,https://space.pitt.edu/sites/default/files/2024-10/hARMS_-A-Hardware-Acceleration-Architecture-for-Real-Time-Event-Based-Optical-Flow.pdf,selected_method_sections_read,§II-B; §III–IV; Algorithm1; PDF pp.3–6 / printed pp.58183–58186,,flow
L29,MotionDeltaCNN: Sparse CNN Inference of Frame Differences in Moving Camera Videos with Spherical Buffers and Padded Convolutions,ICCV 2023,2023,https://openaccess.thecvf.com/content/ICCV2023/papers/Parger_MotionDeltaCNN_Sparse_CNN_Inference_of_Frame_Differences_in_Moving_Camera_ICCV_2023_paper.pdf,selected_method_sections_read,§3.1–3.7; PDF pp.3–5,https://dabeschte.github.io/paper/2023/10/02/motiondeltacnn.html,flow
L30,Flow-Based Visual Stream Compression for Event Cameras,精读arXiv v1；后续IEEE IoT Journal 11(24):40229–40243,arXi,https://arxiv.org/pdf/2403.08086,selected_method_sections_read,§IV-A–D; PDF pp.4–6,,flow
L31,ASNA-Flow: An Efficient Asynchronous Neuromorphic Accelerator for Real-Time Event-Based Optical Flow,IEEE TVLSI 33(12):3409–3422,2025,https://ieeexplore.ieee.org/document/11142472/,abstract_metadata_only,全文未取得；publisher正文不可读,,flow
L32,Dynamic Frame Interpolation in Wavelet Domain,IEEE TIP 2023; DOI10.1109/TIP.2023.3315151,arXi,https://arxiv.org/pdf/2309.03508,selected_method_sections_read,§III-C–D; Algorithm1; PDF p.6,https://github.com/ltkong218/WaveletVFI,flow
L33,Efficient Accelerator for Dilated and Transposed Convolution with Decomposition,ISCAS,2020,https://arxiv.org/abs/2205.02103,selected_method_sections_read,"Author PDF §II-C/D; Figs.6/9; §III. arXiv posted 2022, venue 2020.",,integration
L34,EcoFlow: Efficient Convolutional Dataflows for Low-Power Neural Network Accelerators,IEEE Transactions on Computers; author arXiv version,2023 online / 2024 issue,https://arxiv.org/abs/2202.02310,selected_method_sections_read,Author fulltext §4.1.1/4.1.2; official README distribution-model limitation. Published DOI 10.1109/TC.2023.3272282.,https://github.com/CMU-SAFARI/sasiml,integration
