mechanism,borrowed_scope,observed_endpoint,failure_or_limit,next_interface,decision,evidence
PED空间删除与低秩,真实连续支路的有损/低秩探针,精度和结构点可留；当前复审未重新跑,局部产品量不能当全链服务；剪枝函数须自身AEE,针对仍贵消费者，和同预算低秩/掩码对照,保留算法点,algorithm/patch_probe/residual_consumer_probe/README.md
三源前投影/OBS恢复,源结构、恢复训练及真实消费者探针,旧局部费用不是独立新颖性,源省算与后继仍连续的成本分离,普通同预算稀疏源/常量编译必须同行,保留为比较轴,algorithm/patch_probe/residual_consumer_probe/projection_chain/README.md
lifting半步RNE+CSE,完整源RTL/局部消费者及多版本AEE,后来质量可过NB0；不能拿旧+0.005杀,快变换/CSE本身已有，真实净服务与完成边界才是X,保留完整强A；用户已要求主探索转贵算子，不为小增量扫参,可用备选，不抢当前线,open_fusion_execution/breadth_20260912/README.md
舍入证书/跨帧认证缓存,真实四帧与完整局部消费者CPU,72暖查询0命中；该放置慢约0.43%,完整输出变化、认证本身收费，非只阈值不合适,只改粒度/表示/运动参考才重开；不扫半径续命,停此放置,open_fusion_execution/fusion_followthrough_20260913/cache_owned/README.md
动态源对条件CSE,真实图、CMP/COPY/MERGE与原RNE,原源对命中不足，34臂仍多0.660338%,直接相等接口过窄；静态CSE已吃大量共享,缩放别名/多消费者/图重写须实付；未做过不算已杀,具体未试留存,open_fusion_execution/production_fusions_20260913/subgraph_owned/README.md
生产摘要+NRV,真实commit摘要、扫描强控制；SV原语,相对强化扫描仅约0.061%–0.136%,普通摘要/预取已取走大头，不是新稀疏原语,作为公共供数；只有真正请求取消增量再立题,迁移有效，归A,open_fusion_execution/production_fusions_20260913/source_metadata/README.md
源/消费者交错与生命周期,真实共享资源局部调度及源RTL,有小正服务但通用轮转解释较强,普通P1立即消费/同端口是必要控制,不能把通用驻留当lifting独有；保留共同后端,迁移有效，归A,open_fusion_execution/breadth_20260912/hardware/actual_interleave/full_window/README.md
门预测Q8/full-D/phase,编码到U/V完整局部CPU已做，非免费U入口,Q8比展开小省但慢raw；full-D/phase当前放置负,编码、spill与原舍入边界吃掉收益,真正Uz+Uδφ分域直达、舍入前合并未实现,明确漏项，保留,open_fusion_execution/production_fusions_20260913/encoded_consumer/PHASE_EXECUTION.md
W4/W8/sign+低秩补偿,真实量化/补偿与系数响应解码,普通W4/W8可用；当前响应解码仍慢展开,解码/尺度费用；ReverB名称不替代完整A,普通低位权重归A；联合训练/不同消费接口另试,有效底座与失败放置分开,open_fusion_execution/production_fusions_20260913/response_decode_owned/README.md
连续codec/PED位面,真实I24/U/V/RNE与位面执行,复杂codec相对普通signed-width薄；校正太多,BN普通融合已删除物化；无存储就无压缩收益,只在仍真实spill的接口重开；不再对已删物化编故事,停当前放置，家族留存,open_fusion_execution/ped_bitplanes/README.md
stride相位/H8物理剪枝,训练恢复、真实U/F、请求前迭代已做,同协议可过NB0；相位没胜最强global服务,共广播/权重词取消与单非零数量不同,同质量物理事务损失或普通常量偏移；不能按旧严AEE门杀,保留算法/接口权衡,open_fusion_execution/pruning/source_address_iterator/README.md
r0整Cin退休/父和合并,完整算子与实际整数执行底座,完整父复用/退休不能被叶周期代替,生产者供数和跨K输出寿命必须闭,保留完整执行A，不复活旧APEC融合标题,归A并留新接口,open_fusion_execution/major_operator_fusions_20260913/prosperity_owned/psum_probe/README.md
整数pair基/nonzero-fill例外,小整数基、例外和H8共同pair真实执行,低冲突配对可增加权重词；两源和是更强A,减少AND冲突并不等于取消物理读取,按真实取词/归约/目的支持共同优化，与普通部分和比,重开费用目标，非杀打包,pro_fusion_trials_20260913/packing/README.md
flat SVD窄整数R8,算法分解+真实整数全消费者执行,R8已成为可执行底座；当前8251.327635优于同环境NB0,低秩自身成熟；新增硬件须相对R8当前强控制,用R8作分母，继续表示/端口/稀疏融合,迁移有效，现主底座,r8_consumer_fusion_20260914/REPORT.md
空间R16/Tucker,真实diverse10算法点，未窄整数后因子闭,对应旧小集AEE1.269130/1.417015，按各自协议保留,不能借flat R8成功或Winograd失败替它作结论,完整窄整数因子和连续后端RTL，已有明确算法候选,漏项，第二队列,open_fusion_execution/major_operator_fusions_20260913/decomposition_owned/README.md
二维/单轴Winograd,输入变换/系数/逆变换的已试布局,迁移完整度须按具体叶，不等整芯片,二值源变多位、系数膨胀与状态会抵消乘积减少,支持取消物理词/变换域稀疏可留，普通WINS享同编译,本轮未补新布局,open_fusion_execution/major_operator_fusions_20260913/decomposition_owned/README.md
Kronecker/整组escape,原展开与收缩RTL、R8真实后继+AEE,当前R8拟合小省2.231%，十帧AEE1.899失败,逼近质量与多因子/修正税；HKPRNN已有混合结构,只停本拟合；空间其他shape/有界恢复不是已证不行,停止本拟合，家族留存,fusion_review_followup_20260914/kron_escape/REPORT.md
Q1 bitmap/bitplane,真实native K864 RTL，含动态转置,87599→103908，当前布局负,位平面扫描及BM_PACK；不等于所有bitmap都差,原生供数生成位图+fetch/execute/result流水未迁全,漏项，可补A,fusion_review_followup_20260914/review_decompositions.md
Q2 DA混合,576B LUT完整K/R8 raw RTL,本轮100043→94823，仍慢MAC8.247%,已修空/小rank旁路、lazy、沉没费；真实检测和构表不划算,入口必要条件/真实表生命周期还留；不默认扩12倍表,本轮已实试适配，当前点停,transfer_adapt_20260914/da_adapt/REPORT.md
Q1完整列/R2字典,sum-first局部机制，非完整UCNN芯片,R2控制+双P退休64冷953300；count8/psum复用910446；固定T配对888735，native2P983682；第二组935939 vs1077632,旧密集控制与标量退休已修；计数阵列已删除；当前raw单context，强四P更宽口且未接I24/RR，非等面积,固定T配对已实写；下一步完整I24+双context+相同端口/存储，与原生四P和borrow比较,本轮失败适配后转正；保留优先候选，不升标题,transfer_adapt_20260914/pair_psum_overlay/temporal_pairing/README.md
latent同幅分组,真实部署latent归组/表示探针,低维连续值不自动等同重复二值列,相同幅值支撑、key/状态/恢复均收费,若换表示或权重支持才再试；当前未新增闭合,保留条件接口,fusion_ten_trials_20260914/SOURCES_AND_NEXT_INTERFACES.md
子字打包/模数/宽链,完整R8+J20+I24、2context RR,本轮borrow64冷786421 vsmodular787603，省0.1501%,60k次Q1只是换链；z与Q2仍限制；仲裁反例真实,表示选择与资源绑定分开反事实；普通借链必须给A,本轮已补强A/一次适配,transfer_adapt_20260914/rr_borrow/README.md
psum直供/halo/context,真实数据流RTL与整帧组件回放,转发同拍；halo有省；普通RR优于phase offset,消写不一定消服务；普通RR吃掉调度增量,halo/原子grant归共同底座，不能重复当新标题,迁移有效，归A,fusion_review_followup_20260914/review_dataflow.md
group/rank剪枝,实际RTL与各自valid825,质量和费用有不同可用点，不能同AEE宣称优胜,泛稀疏先验很强；逻辑零必须改变词/发射,物理广播域共同删除+同质量对照；有损可试,可用算法点，不恢复严门,fusion_review_followup_20260914/review_quality.md
prototype+残差,固定K4码本/one-residual RTL及AEE,周期可省但该码本十帧1.4719未胜当时NB0,码表/编码/残差同时收费，不能只看查表次数,受限修正/参考编码尚可试；不把LUT-DLA当首次,停该码本，保留家族,fusion_review_followup_20260914/review_quality.md
时间hold/latent差分/区间/anchor,不同机制端点保留各自函数；原端点已有RTL,逐K双域已实写；原序无益，固定T序两组64冷944456/1030068；同排列单域966752/1070536；新集无源halo重叠,固定顺序改变孤立脉冲失效条件；额外520B域且仍输416bit原生四P；同帧校准非跨序列,保留窄端口端点与生产者接口；anchor另补整P启用费用；时间配对已借入R2并验证,本轮已完成适配与强控制，保留条件候选,transfer_adapt_20260914/temporal_endpoints/README.md
因果运动/粗头/稀疏decoder,运动差分已有探针，粗头是强A；decoder2前置wake未实现,旧运动残差多工作；当前输出flow不能反向当免费先验,内部T不是跨帧；mask须在昂贵分支之前生成并付halo,已有粗流/事件前置wake+真实decoder2；新函数另过NB0,明确未试，保留任务特性支线,pro_fusion_trials_20260913/REPORT.md
