id,name,full_title,venue_name,venue_year,domain,reading_depth,migration_status,disposition,stop_or_include_reason,untried_parts,evidence_paths
OF018,Lele_fuse_frame_event_OF,Fuse frame+event optical flow (Lele & Raychowdhury),ISCAS,2022,event,secondhand,not_tried,deferred,帧-事件融合OF；非当前主挂点。,-,11_event_camera_stack_accelerators.md
SN001,AT-LIF_Bu,Activity Pruning for Efficient Spiking Neural Networks (AT-LIF),NeurIPS,2025,snn_flow,html_arxiv,base_A_candidate,include_as_control,θg=θ·H(m-θ)身份定义来源；冻结τ≠θ。神经元身份控制，非HW创新。,-,02_snn_atlif_realvalued_mechanisms.md|16_ATLIF_IDENTITY_VERDICT_GROKBOT.md|hardware_innovation_20260908/README.md
SN002,Quantized_SpikeDriven_Transformer,Quantized Spike-driven Transformer (IE-LIF multi-bit train / binary infer),arXiv,2025,snn_flow,html_arxiv,not_tried,include_as_control,多比特训练/二值推理对照；本网保留连续θg推理。arXiv:2501.13492,IE-LIF训练配方作有损PSN对照,00_seed_notes.md|02_snn_atlif_realvalued_mechanisms.md
SN003,Spike_Firing_Approx_V3,Spike Firing Approximation / Spike-driven Transformer V3,arXiv,2024,snn_flow,html_arxiv,not_tried,include_as_control,整数训练脉冲推理；与θg连续幅值不同。arXiv:2411.16061,-,00_seed_notes.md
SN004,SpiDR,SpiDR: Reconfigurable digital CIM SNN with zero-skip,arXiv,2024,circuit,html_arxiv,not_tried,deferred,CIM SNN多比特W/Vmem零跳过；当前主线数字RTL非CIM。arXiv:2411.02854,零跳过语义迁到数字稀疏执行,00_seed_notes.md|10_cim_spike_opticalflow_accelerators.md
SN005,SpinalFlow,SpinalFlow: An Architecture and Dataflow Targeting Spiking Neural Networks,ISCA,2020,snn_flow,secondhand,not_tried,include_as_control,时序排序压缩尖峰+输出驻留；强假设二值稀疏，对θg幅值部分失效。,幅值AER扩展,02_snn_atlif_realvalued_mechanisms.md|01_ann_sparsity_mechanisms.md
SN006,SATO,SATO: temporal-parallel SNN accumulate with binary adder-search tree,DAC,2022,snn_flow,secondhand,not_tried,include_as_control,时间并行+发放搜索树；幅值路径打破二值搜索树假设。,-,02_snn_atlif_realvalued_mechanisms.md
SN007,STELLAR,STELLAR: Few-Spikes neuron with spatiotemporal Row-Stationary dataflow,HPCA,2024,snn_flow,secondhand,not_tried,include_as_control,stRS/窗口并行可部分迁移；FS稀疏在幅值密时变弱。,stRS tiling到T10非因果,02_snn_atlif_realvalued_mechanisms.md
SN008,FireFly,FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks,IEEE TVLSI,2023,snn_flow,secondhand,not_tried,include_as_control,FPGA脉冲×权；需改为gated MAC(amp×W)。,幅值门控PE,02_snn_atlif_realvalued_mechanisms.md
SN009,FireFly-T,FireFly-T: sparse engine + binary AND-PopCount attention for Spike Transformer,arXiv,2025,attention,html_arxiv,not_tried,include_as_control,Spike attention稀疏引擎；本网注意力份额小(AB_STACK A9旁路)。arXiv:2505.12771,AND-PopCount vs Motion-XOR分数叶费用,11_event_camera_stack_accelerators.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SN010,ESSA,ESSA: Efficient Sparse Spiking Architecture with adaptive spike compression,IEEE TVLSI,2022,snn_flow,secondhand,not_tried,include_as_control,"二值AER压缩；可扩(addr,amp) AER。",幅值压缩格式,02_snn_atlif_realvalued_mechanisms.md
SN011,COMPASS,COMPASS: SRAM-CIM with adaptive spike speculation,MICRO,2024,circuit,secondhand,not_tried,deferred,CIM推测发放；工艺线不同。,幅值感知speculate-or-MAC数字版,02_snn_atlif_realvalued_mechanisms.md|10_cim_spike_opticalflow_accelerators.md
SN012,Bishop,Bishop: Sparsified Bundling Spiking Transformers with Error-Constrained Pruning,ISCA,2025,attention,html_arxiv,not_tried,include_as_control,捆绑尖峰Transformer+误差约束剪枝；强同族对照。禁止声称first spiking transformer accelerator。,TTB/BSA/ECP迁到OF任务+θg,01_ann_sparsity_mechanisms.md|07_transformer_attention_accelerators.md
SN013,ISCAS25_SpikingTransformer_HW,Hardware Efficient Accelerator for Spiking Transformer With Reconfigurable Parallel Time Step Computing,ISCAS,2025,attention,html_arxiv,not_tried,include_as_control,并行时间步尖峰Transformer；衍生风险高。须用OF+多比特ATLIF区分。arXiv:2503.19643,IAND残差 vs 本网shortcut,01_ann_sparsity_mechanisms.md
SN014,Xpikeformer,Xpikeformer: hybrid AIMC + stochastic spiking attention,IEEE (journal 待核),2024,attention,html_arxiv,not_tried,deferred,AIMC+随机尖峰注意力；CIM路径。arXiv:2408.08794,-,10_cim_spike_opticalflow_accelerators.md|11_event_camera_stack_accelerators.md
SN015,SPARTA,SPARTA Spiking Transformer accelerator,ICCAD,2025,attention,secondhand,not_tried,include_as_control,尖峰Transformer加速同族；分类/注意力为主。,-,11_event_camera_stack_accelerators.md
SN016,ASTER,ASTER layer-skip / spike transformer related,arXiv,2025,attention,name_only,not_tried,deferred,层跳过相关；注意力份额小。arXiv:2511.06770 待核。,全文,01_ann_sparsity_mechanisms.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SN017,Parallel_Time_Batching,Parallel Time Batching for Spiking Neural Network Accelerators,HPCA,2022,snn_flow,secondhand,partial,include_as_control,tick-batch祖先；GustavSNN外壳已部分继承。非独立X。,-,01_ann_sparsity_mechanisms.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SN018,MFPSN,Multiplication-free channel-wise Parallel Spiking Neuron,NeurIPS,2025,snn_flow,html_arxiv,not_tried,include_as_control,可训练mul-free PSN强对照；PSN一页要求有损版给足完整STE训练。相关arXiv:2501.14490,完整训练到本网valid825,hardware_innovation_20260908/psn/psn_decision_one_page.md|hardware_innovation_20260908/README.md
SN019,ISSCC22_UED_SNN,Ultimate Event-Driven SNN wake-up SoC,ISSCC,2022,circuit,secondhand,not_tried,deferred,超低功耗唤醒；模拟/CIM边界，非数字主线。,-,02_snn_atlif_realvalued_mechanisms.md
SN020,SMAM,SMAM dual-spike Mask-Add for Spike-driven Transformer,待核,0,attention,secondhand,not_tried,deferred,双尖峰Mask-Add注意力；venue待核。本网Motion-XOR路径不同。,全文与venue,07_transformer_attention_accelerators.md
AT001,SpAtten,SpAtten: Efficient Sparse Attention Architecture with Cascade Token and Head Pruning,HPCA,2021,attention,html_arxiv,not_tried,include_as_control,级联token/head剪枝+渐进量化；强注意力稀疏对照。注意力份额小，不作主X。,MSB-first渐进量化迁到θg门控,01_ann_sparsity_mechanisms.md|07_transformer_attention_accelerators.md
AT002,HeatViT,HeatViT: Hardware-Efficient Adaptive Token Pruning for Vision Transformers,HPCA,2023,attention,secondhand,not_tried,include_as_control,自适应token剪枝FPGA；ViT对照。,-,01_ann_sparsity_mechanisms.md|07_transformer_attention_accelerators.md
AT003,DOTA,DOTA: detect and omit weak attentions,ASPLOS,2022,attention,secondhand,not_tried,include_as_control,弱注意力检测省略；级联稀疏对照族。,-,01_ann_sparsity_mechanisms.md|07_transformer_attention_accelerators.md
AT004,Sanger,Sanger: sparse attention accelerator,MICRO,2021,attention,name_only,not_tried,include_as_control,稀疏注意力加速同族对照。,全文深度,01_ann_sparsity_mechanisms.md
AT005,FACT,FACT: sparse/approx attention accelerator,ISCA,2023,attention,name_only,not_tried,include_as_control,注意力加速同族。,全文,01_ann_sparsity_mechanisms.md
AT006,FLAT,FLAT: An Optimized Dataflow for Mitigating Attention Bottlenecks,ASPLOS,2023,attention,secondhand,not_tried,include_as_control,注意力数据流优化；融合基线对照。,-,01_ann_sparsity_mechanisms.md|07_transformer_attention_accelerators.md
AT007,FuseMax,FuseMax: Leveraging Extended Einsums to Optimize Attention Accelerator Design,MICRO,2024,attention,html_arxiv,not_tried,include_as_control,Einsum融合注意力；FlashAttention族教训。,-,01_ann_sparsity_mechanisms.md
AT008,FlashAttention,FlashAttention / FA-2 / FA-3 GPU kernels,NeurIPS,2022,attention,secondhand,not_tried,include_as_control,GPU内核；HW教训是融合/分块，非ASIC声明。,-,07_transformer_attention_accelerators.md
AT009,ViTCoD,ViTCoD: prune-and-polarize with denser/sparser engines,待核,0,attention,secondhand,not_tried,deferred,ViT剪枝+双引擎；venue待核。,venue核实,07_transformer_attention_accelerators.md
AT010,A3_approx_attention,A3 approximate candidate selection for attention,待核,0,attention,secondhand,not_tried,deferred,近似候选选择；venue待核。,venue,07_transformer_attention_accelerators.md
AT011,AccelTran,AccelTran / DynaTran runtime activation prune + tiling,待核,0,attention,name_only,not_tried,deferred,运行时激活剪枝；venue待核。,全文,07_transformer_attention_accelerators.md
AT012,Motion-XOR_identity,Motion-XOR attention (project frozen identity),project,2026,attention,full_text,used_as_control,include_as_control,冻结身份：Motion-XOR attention。K=0输出跳过/行内复用边界已记录；本轮未新增注意力RTL。不作系统主加速。,完整打分/归一化/gated-K服务费用补测,hardware_innovation_20260908/README.md|hardware_innovation_execution_plan_20260908.md|idea_reassessment_four_questions_20260907.md
SP001,GustavSNN,GustavSNN: Gustavson SpMM + CPTB + NRV for spiking networks (HPCA 2026 public mirror),HPCA,2026,sparsity,author_pdf,partial,include_as_open,默认主底座A1。已部分迁GP/NRV/局部S与2×4 mount-only RTL；非因果T10消费者、θg、广播组并集、有损共同完成仍是洞B。完整Gustav服务模型尚未作充分优化对照闭环。,完整64PE/源SRAM/PSN/FC2；与Prosperity同资源净收益≥10-15%,hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md|hardware_innovation_20260908/psn/gustavsnn_hardware_direction.md|hardware_innovation_20260908/psn/gustavsnn_implementation_status_20260908.md|hardware_innovation_20260908/literature/GustavSNN_HPCA2026_public_mirror.txt
SP002,Prosperity,Prosperity / ProSparsity pattern-reuse partial sums,待核,0,sparsity,secondhand,attempted_variant_failed,stop_this_variant,旧C1 Prosperity融合同资源无正增量（G4融合仍多2.964%；G2多81.52%）。作强对照保留；该融合布局停止。非否定ProSparsity整类。venue待核。,改变共同构造/散播/残差共享后再测；非当前布局复活,same_workload_c1c2_20260907/net_benefit.md|same_workload_c1c2_20260907/c1_independent_review.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SP003,HiNM,HiNM: Hierarchical N:M structured sparsity / output clustering,arXiv,2024,sparsity,html_arxiv,attempted_variant_failed,stop_this_variant,广播域剪枝五轴未胜hidden50/强二阶对照（gyro联合服务仍慢约19%）。停止当前H8/C16/Gyro迁移变体；未否定完整HiNM输入重排+内层2:4+区域搜索+Hard Concrete。arXiv:2407.20496,完整HiNM输入重排/OBS补偿/Hard Concrete；迁到昂贵patch挂点,hardware_innovation_20260908/algorithm/group_pruning_probe/README.md|hardware_innovation_20260908/literature/sparsity_candidate_review_20260908.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SP004,FlexHiNM-GP_Gyro,FlexHiNM-GP Gyro grouping pipeline,ICLR,2026,sparsity,html_arxiv,attempted_variant_failed,stop_this_variant,已移植Gyro分组流程到s2b3；联合项未超强对照。停止该明确迁移版本。,完整FlexHiNM Hard Concrete渐进训练,hardware_innovation_20260908/algorithm/group_pruning_probe/README.md
SP005,VENOM,VENOM two-level N:M structured sparsity,待核,0,sparsity,secondhand,not_tried,include_as_open,AB_STACK A4底座；未按本网T10+FC2消费损失与物理64b字优化。当前局部失败≠整法失败。,完整OBS保留权重补偿；T10消费损失目标,hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md|hardware_innovation_20260908/literature/sparsity_candidate_review_20260908.md
SP006,CRISP,CRISP block navigation structured sparsity,待核,0,sparsity,secondhand,not_tried,include_as_open,块导航结构稀疏底座；未完整迁。,完整迁移+本网消费损失,hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SP007,Avalanche,Avalanche SpMM completion recycling and input reuse,ASPLOS,2025,sparsity,full_text,partial,include_as_open,完成回收/输入复用已读出版社方法文。本网S在非因果T10消费前不能按SpMM last-use释放。依赖生存期训练仍开放；静态探针偏负≠训练思想否证。DOI:10.1145/3695053.3730990,训练掩码约束广播组生存期；乐观上界先于训练,hardware_innovation_20260908/literature/sparsity_candidate_review_20260908.md|hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md
SP008,SparseInfer,SparseInfer: predict-then-skip weights,arXiv,2024,sparsity,html_arxiv,partial,include_as_open,预测后跳权是有损共同完成强先验。当前C192前缀探针仅边界；完整联合完成训练未闭。arXiv:2411.12692,同检查点独立预测 vs 请求并集损失双轴；完整AEE,hardware_innovation_20260908/literature/sparsity_candidate_review_20260908.md|hardware_innovation_20260908/psn/group_completion_prefix_probe.json
SP009,BitFair,BitFair: learned early termination with shared-input PE termination,arXiv,2026,sparsity,html_arxiv,not_tried,include_as_open,学习提前终止+共享输入终止控制；有损共同完成A。不能把全完成归约门单独记增量。arXiv:2607.05445,完整迁移到T10门字预测,hardware_innovation_20260908/literature/sparsity_candidate_review_20260908.md
SP010,SCNN,SCNN: compressed-sparse Cartesian-product dataflow,ISCA,2017,sparsity,author_pdf,not_tried,include_as_control,经典稀疏卷积数据流对照；已有author PDF。,-,13_isscc_vlsi_hotchips_edge_npus.md|hardware_innovation_20260908/literature/SCNN_ISCA2017_author.txt
SP011,HighLight,HighLight: Efficient and Flexible DNN Acceleration with Hierarchical Structured Sparsity,MICRO,2023,sparsity,html_arxiv,not_tried,include_as_control,层次结构稀疏加速；N:M HW对照族。,-,01_ann_sparsity_mechanisms.md
SP012,BBS_BitVert,BBS: Bi-directional Bit-level Sparsity for Deep Learning Acceleration,MICRO,2024,sparsity,html_arxiv,not_tried,include_as_control,双向比特级稀疏；与θg幅值路径不同，作对照。,-,01_ann_sparsity_mechanisms.md
SP013,Sparseloop,Sparseloop taxonomy: format / gating / skipping,methodology,2022,sparsity,secondhand,used_as_control,include_as_control,方法论分类学；非PE。用于声明边界。,-,07_transformer_attention_accelerators.md
SP014,FlexSpIM,FlexSpIM sparse in-memory computing (ISCAS 2025 author PDF),ISCAS,2025,circuit,author_pdf,not_tried,deferred,稀疏存算；CIM路径，当前数字主线外。已存author PDF。,数字侧可迁移的跳过语义,hardware_innovation_20260908/literature/FlexSpIM_ISCAS2025_author.txt
SP015,RISCSparse,RISCSparse ICCAD 2024 sparse acceleration,ICCAD,2024,sparsity,author_pdf,not_tried,include_as_control,稀疏加速对照；已存author PDF。,-,hardware_innovation_20260908/literature/RISCSparse_ICCAD2024_author.txt
SP016,LoopTree,LoopTree TCAS-AI 2024 loop/nest mapping,IEEE TCAS-AI,2024,other,author_pdf,not_tried,include_as_control,循环/嵌套映射方法论；已存author PDF。,-,hardware_innovation_20260908/literature/LoopTree_TCASAI2024_author.txt
SP017,WINS,WINS: Winograd Structured Pruning for Fast Winograd Convolution,ICCV,2025,sparsity,html_arxiv,not_tried,include_as_control,变换域结构剪枝近邻；BN零响应一页：不能把换域剪枝本身当X。,-,hardware_innovation_20260908/bn_state/response_zero_one_page.md
SP018,S3Net,S3Net / submanifold sparse front-end,待核,0,sparsity,secondhand,not_tried,include_as_open,子流形稀疏前端对准patch大头(AB_STACK A8)；未做端到端稀疏stem训练。局部patch探针≠S3Net失败。,端到端稀疏stem重训,hardware_innovation_20260908/literature/AB_STACK_RESEARCH_20260908.md|hardware_innovation_20260908/README.md
SP019,Graham_SBNet_SSCN,Submanifold sparse conv lineage (Graham/SBNet/SSCN),multiple,2018,sparsity,secondhand,used_as_control,include_as_control,patch背景：普通压缩Y+零掩码+BN补偿+PSN零列跳过已可得，作强底座非独立创新。,-,hardware_innovation_20260908/literature/patch_background_followup_20260908.md|hardware_innovation_20260908/algorithm/patch_probe/README.md
SP020,DeltaCNN,DeltaCNN / MotionDeltaCNN temporal delta convolution,待核,0,sparsity,secondhand,not_tried,include_as_control,帧差/运动扭曲delta；视频时间稀疏对照。,ASIC候选映射,08_video_temporal_sparsity_accelerators.md|hardware_innovation_20260908/literature/patch_background_followup_20260908.md
SP021,SparseVideoGen,Sparse VideoGen spatial-temporal head dual sparse attention,待核,0,attention,secondhand,not_tried,deferred,视频稀疏注意力算法；venue待核。,全文,08_video_temporal_sparsity_accelerators.md
SP022,row2of4_N_M,N:M / row 2:4 structured sparsity (control identity),methodology,2021,sparsity,full_text,used_as_control,include_as_control,强对照：valid825 AEE 1.163570；十帧目标层服务少17.12%。任何结构剪枝须先胜过它与hidden50。,-,hardware_innovation_20260908/README.md|hardware_innovation_20260908/algorithm/group_pruning_probe/README.md
SP023,hidden50_channel_prune,Ordinary hidden-channel 50% prune (control),methodology,2026,sparsity,full_text,used_as_control,include_as_control,最强简单控制之一：valid825 AEE 1.164732；目标层服务少49.90%。同时删PSN/门/FC2列。,-,hardware_innovation_20260908/README.md|hardware_innovation_20260908/algorithm/group_pruning_probe/README.md
SP024,MoE-OPU,MoE-OPU expert-aware N:M,ICCAD,2025,sparsity,secondhand,not_tried,deferred,专家感知N:M；MoE故事与本网不同。,-,01_ann_sparsity_mechanisms.md
SP025,Pre-gated_MoE,Pre-gated MoE algorithm-system co-design,ISCA,2024,sparsity,secondhand,not_tried,deferred,预门控MoE；任务域不同。,-,01_ann_sparsity_mechanisms.md
SP026,UbiMoE,UbiMoE MoE-ViT FPGA,ISCAS,2025,sparsity,html_arxiv,not_tried,deferred,MoE-ViT FPGA；衍生风险低相关。,-,01_ann_sparsity_mechanisms.md
SP027,ESDA,ESDA: submanifold sparse event dataflow on FPGA,FPGA,2024,event,html_arxiv,not_tried,include_as_control,子流形稀疏事件数据流；事件栈对照。arXiv:2401.05626,-,11_event_camera_stack_accelerators.md
SP028,EvGNN,EvGNN event-queue neighbor search accelerator,IEEE TCAS-AI,2024,event,html_arxiv,not_tried,include_as_control,事件队列邻居搜索；边缘事件GNN对照。arXiv:2404.19489,-,11_event_camera_stack_accelerators.md
CR001,LUT-DLA,LUT-DLA LUT-based deep learning accelerator (CCM/IMM/LUTBoost),arXiv,2025,circuit,html_arxiv,partial,include_as_open,支持码LUT底座A。已部分供数+完整PSN消费；表INT8 QAT与全部编码/LS组织未闭。不能宣称完整A不足。零响应X停在创新门。arXiv:2501.10658,表INT8 QAT；CCM距离/argmin完整；IMM查表/局部累加；LS双缓冲；LUTBoost分阶段训练,hardware_innovation_20260908/bn_state/response_zero_one_page.md|hardware_innovation_20260908/bn_state/support_service_notes.md
CR002,LUT-NN,LUT-NN lookup-table neural network with INT8 QAT,arXiv,2023,circuit,html_arxiv,partial,include_as_open,表INT8 QAT/分级累加/预取补齐项；尚未完整迁。arXiv:2302.03213,完整表INT8 QAT到本学生,hardware_innovation_20260908/bn_state/response_zero_one_page.md
CR003,T-MAC,T-MAC table/lookup MAC related prior (seed followup),待核,0,circuit,secondhand,partial,include_as_control,与LUT精读一并；普通无损INT10已将表载荷降至23.232MB/帧，不能作新标题。,venue核实,hardware_innovation_20260908/README.md|hardware_innovation_20260908/bn_state/support_service_notes.md
CR004,da4ml,da4ml: depth-limited matrix factorization / CSE for constant matrix multiply,arXiv,2025,circuit,html_arxiv,not_tried,include_as_open,完整常矩阵编译是PSN最强对照A之一；尚未作为共同控制补齐。保留PSN问题。arXiv:2507.04535,同学生完整常矩阵编译+跨p流水；位域费用模型,hardware_innovation_20260908/psn/psn_decision_one_page.md
CR005,CompRRAE,CompRRAE MSB-first bound early-stop for approximate compute,arXiv,2019,circuit,html_arxiv,not_tried,include_as_control,高位先算+严格界早停对照；仅迁判决算法不迁RRAM。当前X未超此A。arXiv:1906.03180,严格MSB界+共享图按位需求门控同学生对照,hardware_innovation_20260908/psn/psn_decision_one_page.md
CR006,SPARK_CSE,SPARK conditional CSE / dynamic scheduling (TODAES lineage),IEEE TODAES,2004,circuit,secondhand,not_tried,include_as_control,条件复制/动态CSE已有；按完成次序撤销公共子式须获同等权限对照。,-,hardware_innovation_20260908/psn/psn_decision_one_page.md
CR007,USEFUSE,USEFUSE unfinished intermediate MSB consumption,journal (待核),2025,circuit,secondhand,not_tried,include_as_control,未完成中间值高位消费先验；PSN改写须对照。,-,hardware_innovation_20260908/psn/psn_decision_one_page.md
CR008,ISSCC25_ConvFormer,ISSCC 2025 23.2 ConvFormer author PDF,ISSCC,2025,circuit,author_pdf,not_tried,include_as_control,边缘视觉Transformer硅片对照；已存author PDF。,与OF-SNN-T映射,hardware_innovation_20260908/literature/ISSCC2025_23_2_ConvFormer_author.txt|13_isscc_vlsi_hotchips_edge_npus.md
CM001,IMPULSE,IMPULSE fused weight + membrane-potential digital CIM,待核,0,circuit,secondhand,not_tried,deferred,数字CIM膜电位融合；当前非CIM主线。,venue,10_cim_spike_opticalflow_accelerators.md
CM002,Neuro-CIM,Neuro-CIM MSB word skipping + early stopping ADC-less,待核,0,circuit,secondhand,not_tried,deferred,CIM早停；工艺外。,-,10_cim_spike_opticalflow_accelerators.md
CM003,Spike-CIM,Spike-CIM sparsity-adaptive charge-domain IF,待核,0,circuit,secondhand,not_tried,deferred,电荷域IF CIM；工艺外。,-,10_cim_spike_opticalflow_accelerators.md
CM004,TFSRAM,TFSRAM twin-column TTFS SRAM CIM,待核,0,circuit,secondhand,not_tried,deferred,TTFS SRAM CIM；工艺外。,-,10_cim_spike_opticalflow_accelerators.md
CM005,Park_TCAS-I_TD_SNN_CIM,Time-domain async SNN CIM (Park TCAS-I),IEEE TCAS-I,0,circuit,name_only,not_tried,deferred,时域异步SNN CIM；年份/全文待核。,年份核实,10_cim_spike_opticalflow_accelerators.md
CM006,X-Former_CIM,X-Former hybrid NVM projection + SRAM attention,待核,0,circuit,secondhand,not_tried,deferred,混合NVM/SRAM Transformer CIM。,-,10_cim_spike_opticalflow_accelerators.md
CM007,Chih_ISSCC21_DigiCIM,Full-precision all-digital SRAM CIM (Chih),ISSCC,2021,circuit,secondhand,not_tried,deferred,全数字SRAM CIM payload lane参考。,-,10_cim_spike_opticalflow_accelerators.md
IS001,Samsung_6KMAC_NPU_ISSCC21,6K-MAC Feature-Map-Sparsity-Aware NPU in 5nm,ISSCC,2021,circuit,secondhand,not_tried,include_as_control,特征图稀疏感知旗舰NPU；边缘稀疏执行对照。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS002,Tambe_ISSCC23_SparseTransformer,12nm Sparse Transformer with entropy early-exit and mixed-precision predication,ISSCC,2023,attention,secondhand,not_tried,include_as_control,熵早退+混合精度谓词；注意力硅片对照。,-,13_isscc_vlsi_hotchips_edge_npus.md|01_ann_sparsity_mechanisms.md
IS003,Wang_ISSCC22_ApproxTransformer,Approximate-Computing Transformer with asymptotic sparsity speculation,ISSCC,2022,attention,secondhand,not_tried,include_as_control,渐近稀疏推测+乱序；稀疏执行硅片对照。,-,13_isscc_vlsi_hotchips_edge_npus.md
IS004,Tu_ISSCC22_BitlineTranspose_CIM,Bitline-transpose CIM-based sparse Transformer accelerator,ISSCC,2022,circuit,secondhand,not_tried,deferred,CIM稀疏Transformer硅片；工艺线外。,-,13_isscc_vlsi_hotchips_edge_npus.md
