view_index,idea_ref,name,view_type,catalog_id,interface_family,family_name,coverage_state,original_A,original_B,original_X,concrete_family_execution,family_evidence,view_specific_remaining,remaining_executable_interface,next_batch,external_gap,execution_scope,stale_source_status,source,original_boundary
10,local_author_txt:GustavSNN_HPCA2026_public_mirror.txt,GustavSNN,per_paper_fusion_hint,W0002,F01,稀疏NRV×W供数/共享索引,已实做局部；完整原作未迁,,,,2tile×4ID完整C384→T10的原双指针RTL，以及本轮同址合并/冷cache CPU前端,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/shared_index_results.json, | 8×8完整调度/带宽；同址W与索引广播/驻留强控制；完整producer→FC1→PSN→FC2→BN2/shortcut。当前四ID重复读索引的负结果只能描述本地切片，不能作为原作分母。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。 || 完整64PE/源SRAM/PSN/FC2；与Prosperity同资源净收益≥10-15%,8×8完整层、索引与源/NR4并行生成、真实冷DMA、后继FC2/BN2；本文CPU不覆盖这些,B1,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
11,local_author_txt:FlexSpIM_ISCAS2025_author.txt,FlexSpIM,per_paper_fusion_hint,W0319,F17,平台/混合引擎/CIM启发,未迁原平台；非直接独立idea,,,,个别数字叶可借；不存在本项目原宏/原工艺完整实现,exploration_tcasii_20260911/round4_wide/REPORT.md, | 普通SRAM外围版本的同容量固定宽/可变宽对照；完整宏未实现。 || 数字侧可迁移的跳过语义,仅迁与器件无关的地址/调度/复用并另计数字成本；宏/PPA不能直接搬,B9,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
12,local_author_txt:SCNN_ISCA2017_author.txt,SCNN,per_paper_fusion_hint,W0024,F01,稀疏NRV×W供数/共享索引,已实做局部；完整原作未迁,,,,2tile×4ID完整C384→T10的原双指针RTL，以及本轮同址合并/冷cache CPU前端,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/shared_index_results.json, | 完整输入/输出halo、bank冲突与压缩finish；两Conv+PSN+BN2/shortcut同域融合目前未闭。 || -,8×8完整层、索引与源/NR4并行生成、真实冷DMA、后继FC2/BN2；本文CPU不覆盖这些,B1,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
13,local_author_txt:LoopTree_TCASAI2024_author.txt,LoopTree,per_paper_fusion_hint,W0358,F11,有限生命周期/保留重算/上下文交织,已实做局部；交织未试,,,,8088归因/驻RF供数/P1留Z已测；原dense两链CSD524字未准入；相同策略在两项量化dense上229字/13工作RF+门RF已过RTL但慢于完整CSE；16+80仅设计，尚未执行,PRO_GROK_REVIEW_20260911.md;open_fusion_execution/stage_20260912/hardware/summary.json;open_fusion_execution/new_interface_selection/resident_latent/results.json;open_fusion_execution/breadth_20260912/coverage_owned/INTERLEAVE_NEXT_INTERFACE.md;open_fusion_execution/breadth_20260912/source_constant_probe/dense_low_state/results.json, | 完整本网络patch图输入/输出halo、time batch、PSN/BN和Conv2消费者映射，含存储与工作量。 || 完整作者工件与原论文平台；本地只实现当前有限RF/端口的具体驻留布局。 || -,共同RF/issue/SR-SW下真正交织：原80acc+4供数+13源临时+1门需98RF，固定2供数方案待测；已准入低RF普通控制须同权且量化质量另评，40/61RF不是dense下界,B2,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
14,local_author_txt:RISCSparse_ICCAD2024_author.txt,RISCSparse,per_paper_fusion_hint,W0016,F11,有限生命周期/保留重算/上下文交织,已实做局部；交织未试,,,,8088归因/驻RF供数/P1留Z已测；原dense两链CSD524字未准入；相同策略在两项量化dense上229字/13工作RF+门RF已过RTL但慢于完整CSE；16+80仅设计，尚未执行,PRO_GROK_REVIEW_20260911.md;open_fusion_execution/stage_20260912/hardware/summary.json;open_fusion_execution/new_interface_selection/resident_latent/results.json;open_fusion_execution/breadth_20260912/coverage_owned/INTERLEAVE_NEXT_INTERFACE.md;open_fusion_execution/breadth_20260912/source_constant_probe/dense_low_state/results.json, | Ara/Gemmini完整协同、mask压紧、返回scatter和银行冲突；本地只有相关GP控制，不是RISCSparse。 || -,共同RF/issue/SR-SW下真正交织：原80acc+4供数+13源临时+1门需98RF，固定2供数方案待测；已准入低RF普通控制须同权且量化质量另评，40/61RF不是dense下界,B2,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
15,local_author_txt:ISSCC2025_23_2_ConvFormer_author.txt,ISSCC25-ConvFormer,per_paper_fusion_hint,W0320,F17,平台/混合引擎/CIM启发,未迁原平台；非直接独立idea,,,,个别数字叶可借；不存在本项目原宏/原工艺完整实现,exploration_tcasii_20260911/round4_wide/REPORT.md," | 两因子联合训练、tiled mask、索引生成、密集恢复与AEE；整套尚未移植。 || [""expansion factor and exact tile geometry for reproduction"", ""training objective/initialization/mask scoring"", ""optimizer and recovery schedule"", ""public training/RTL artifact not located""]",仅迁与器件无关的地址/调度/复用并另计数字成本；宏/PPA不能直接搬,B9,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
16,OS-01,GustavSNN-public-mirror,per_paper_fusion_hint,W0399,F01,稀疏NRV×W供数/共享索引,已实做局部；完整原作未迁,SNN训练/仿真框架,无该开源能力时的默认路径,开源≠标题X,2tile×4ID完整C384→T10的原双指针RTL，以及本轮同址合并/冷cache CPU前端,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/shared_index_results.json,无法接same-port/AEE → 停主贡献 | battlefield literature GustavSNN_HPCA2026_public_mirror,8×8完整层、索引与源/NR4并行生成、真实冷DMA、后继FC2/BN2；本文CPU不覆盖这些,B1,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",底座工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,框架≠加速器证据
17,OS-14,spike-flow-net,per_paper_fusion_hint,W0412,F19,任务backbone/数据/参考模型,任务对照；多数模型替换未试,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,无法接same-port/AEE → 停主贡献 | event OF family,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",对照/工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源仓级精读，非论文全文
18,OS2-001,MemFlow,per_paper_fusion_hint,W0413,F19,任务backbone/数据/参考模型,任务对照；多数模型替换未试,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,无法接same-port/AEE → 停主贡献 | ,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",对照/工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源仓级精读，非论文全文
19,OS2-002,SEA-RAFT,per_paper_fusion_hint,W0414,F13,因果运动/事件唤醒与细节教师,未试目标唤醒；已有相邻帧机会,光流迭代精炼强底座,无该开源能力时的默认路径,开源≠标题X,只已有上一帧完成flow引导的支持统计；不是本视图的事件/TDE wake实现,motion/result.json;PRO_GROK_REVIEW_20260911.md,无法接same-port/AEE → 停主贡献 | ,原事件或过去完成预测构建wake，计预测/错过恢复；禁止当前/未来flow oracle,B5,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F旁路/任务先验,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源实现级，非芯片全文
20,OS2-003,Taming-Event-Cameras,per_paper_fusion_hint,W0415,F19,任务backbone/数据/参考模型,任务对照；多数模型替换未试,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,无法接same-port/AEE → 停主贡献 | ,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",对照/工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源仓级精读，非论文全文
21,OS2-004,v2e,per_paper_fusion_hint,W0416,F19,任务backbone/数据/参考模型,任务对照；多数模型替换未试,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,无法接same-port/AEE → 停主贡献 | ,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",对照/工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源仓级精读，非论文全文
22,OS2-005,rpg_e2vid,per_paper_fusion_hint,W0417,F19,任务backbone/数据/参考模型,任务对照；多数模型替换未试,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,SDformerFlow本地NB0已实际配对；其他模型名不代表当前学生已有对应实现,open_fusion_execution/accuracy_baseline/valid825_summary.json,无法接same-port/AEE → 停主贡献 | ,明确新学生/数据需求后一次等预算对比，不能用不同任务FPS/AEE作硬件胜出,B8,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",对照/工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源仓级精读，非论文全文
23,OS2-013,sparseml,per_paper_fusion_hint,W0421,F04,物理源字删读/结构化剪枝,已实做局部；新训练布局未试,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,global/phase/row-phase源门剪枝、请求前地址生成、同mask/all_keep控制,open_fusion_execution/stage_20260912/hardware/mask_fusion_global_group2.json;open_fusion_execution/stage_20260912/hardware/mask_fusion_all_keep.json,无法接same-port/AEE → 停主贡献 | ,同预算窄稠密、2:4、VENOM/HiNM完整训练；真实物理字并集目标而非分支稀疏率,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1对照工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,软件栈≠same-port净服务
24,OS2-014,sparsity,per_paper_fusion_hint,W0422,F04,物理源字删读/结构化剪枝,已实做局部；新训练布局未试,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,global/phase/row-phase源门剪枝、请求前地址生成、同mask/all_keep控制,open_fusion_execution/stage_20260912/hardware/mask_fusion_global_group2.json;open_fusion_execution/stage_20260912/hardware/mask_fusion_all_keep.json,无法接same-port/AEE → 停主贡献 | ,同预算窄稠密、2:4、VENOM/HiNM完整训练；真实物理字并集目标而非分支稀疏率,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",对照/工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,开源仓级精读，非论文全文
25,OS2-016,CUTLASS,per_paper_fusion_hint,W0424,F01,稀疏NRV×W供数/共享索引,已实做局部；完整原作未迁,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,2tile×4ID完整C384→T10的原双指针RTL，以及本轮同址合并/冷cache CPU前端,psn/rtl/gp_slice/intersection_result.json;open_fusion_execution/breadth_20260912/coverage_owned/shared_index_results.json,无法接same-port/AEE → 停主贡献 | ,8×8完整层、索引与源/NR4并行生成、真实冷DMA、后继FC2/BN2；本文CPU不覆盖这些,B1,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1对照工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,软件栈≠same-port净服务
26,OS2-017,SparseDNN-accel-survey-repos,per_paper_fusion_hint,W0425,F04,物理源字删读/结构化剪枝,已实做局部；新训练布局未试,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,global/phase/row-phase源门剪枝、请求前地址生成、同mask/all_keep控制,open_fusion_execution/stage_20260912/hardware/mask_fusion_global_group2.json;open_fusion_execution/stage_20260912/hardware/mask_fusion_all_keep.json,无法接same-port/AEE → 停主贡献 | ,同预算窄稠密、2:4、VENOM/HiNM完整训练；真实物理字并集目标而非分支稀疏率,B3,,"Current family status/evidence describes bounded representative execution, NOT full implementation of this paper/variant. view_specific_remaining and stale_source_status preserve historical source wording; use remaining_executable_interface for the current family boundary.",F1对照工具,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,软件栈≠same-port净服务
