path,title,headings,indexing_status,url_count
research/03_opticalflow_data_hw_algo.md,Optical-Flow Data Properties → HW Mechanisms for SDformer (C1/C2 Remakes),"0. Optical-flow DATA properties (what HW can actually exploit) || 1. Dedicated OF / motion HW landscape (real papers) || 1.1 Frame / DNN optical-flow accelerators || 1.2 Event / neuromorphic optical-flow HW || 1.3 Classical / bio OF circuits (still relevant mechanisms) || 2. Algorithm-only OF / event-flow / transformer-flow (2022–2026) — “first HW for X” candidates || 3. Remake ideas for C1 / C2 (ranked) || Idea A — Direction-Predictive Product Skip (DPP-Skip) || Idea B — Pyramid-Resident Residual Capture (PRRC) || Idea C — Occlusion-Gated Exact Capture (OGEC) || Idea D — Temporal Signature Prefetch (TSP) for Motion-XOR/TTX || Idea E — Aperture-Robust Multi-Hypothesis Acc (ARM-Acc) || Idea F — Motion-Feature Bundle Delivery (MFBD) — VideoFlow/TMA → C2 || Idea G — Softmax-Peak / Attention-Mass Token Gate (SP-Gate) || Idea H — Event-History Stream Core (EHSC) — hARMS × spikeformer || Idea I — Early-Exit Spike Update Controller (EESUC) || Idea J — Hierarchical Hamming / Binary Descriptor Match Assist (HMA) || Idea K — Cross-Frame Noise-Reject Q/K Filter (CRAFT-lite datapath) || Idea L — Spatial-Locality Sparse PE Map (ASNA-style) || Idea M — Tri-Frame Bi-Directional Context Fabric || Idea N — Cost-Memory Token Compress (FlowFormer-lite) || Idea O — TDE-Prior Front-End → Spikeformer Residual (hybrid co-design) || 4. Recommended C1 / C2 remake packages (for ISCAS narrative) || Package 1 — “OF-Residual Exact Capture” (C1 remake) — **recommended** || Package 2 — “Motion-Hypothesis / Motion-Bundle Fabric” (C2 remake) — **recommended** || Package 3 — Moonshot co-design (if page allows one sentence) || Avoid (per prior review discipline) || 5. Mapping: OF property → idea → remake slot || 6. Cross-domain transfers (use carefully) || 7. Suggested claim language (ISCAS-safe) || 8. Priority next measurements (engineering, not writing) || 9. Citation cheat-sheet (real papers only) || 10. Bottom line",machine_indexed_not_full_read,0
research/04_SYNTHESIS_C1_C2_REMAKE.md,C1 / C2 重做 — 创新机制总排序（Grok Bot / iscas_ssh）,一句话诊断 || 推荐打包（直接可当 ISCAS 贡献故事） || C1* 重做包（优先做）— 新颖度 ~9 || C2* 重做包（替换“换乘法顺序”）— 新颖度 ~9 || 可选杀手锏（前级或联合） || Top-10 单点机制（总榜） || 算法纸（尚无匹配硬件）— 可挂 “first HW for X” || 明确不要当主贡献（DO NOT CLAIM） || 建议落地顺序（工程） || 详细底稿 || Round-2 升级指针（2026-09-05）,machine_indexed_not_full_read,0
research/07_transformer_attention_accelerators.md,ROUND 2 — Transformer / Attention Hardware Accelerators for SDformer C1*/C2* Remake,"0. How to read this note || 1. Sparse / cascade attention HW || M1 — SpAtten cascade token+head prune + progressive quantization || M2 — A³ approximate candidate selection || M3 — Sanger quantized prediction + score-stationary reconfigurable SA || M4 — ELSA lightweight filter via sign random projection || M5 — DOTA detect-and-omit weak attentions (ASPLOS’22 electronic) || M6 — FACT eager correlation prediction (before QKV) || M7 — Energon Mix-Precision Multi-Round Filtering || M8 — AccelTran / DynaTran runtime activation prune + tiling || 2. Spike / spike-driven attention HW (closest cousins — claim carefully) || M9 — Bishop TTB + BSA + ECP + AAC attention core || M10 — SMAM dual-spike Mask-Add for Spike-driven Transformer || 3. Vision Transformer / token-pruning HW || M11 — HeatViT adaptive token prune on embedded FPGA || M12 — ViTCoD prune-and-polarize + denser/sparser engines || M13 — Auto-ViT-Acc mixed-scheme quantization FPGA framework || 4. Efficient attention algorithms → what HW actually did || M14 — FlashAttention / FA-2 / FA-3 (GPU kernels; HW lessons) || M15 — H-FA hybrid float/log FlashAttention ASIC || M16 — Linear / butterfly / Performer-style HW (FABNet) || M17 — PagedAttention (serving) — relevance note || 5. Sparseloop-related (methodology, not a PE) || M18 — Sparseloop taxonomy: format / gating / skipping || 6. Spatio-temporal / video transformer HW || M19 — FlightVGM spatial-temporal online sparsification (FPGA) || M20 — PARO pattern-aware reorder for 3D full attention (video DiT) || M21 — Kaleido latent-space channel reuse for video DiT (algo–HW) || 7. Ranked remake ideas (named) for ISCAS claim writing || 8. How this upgrades C1* / C2* packages || C1* (OP-STW / PRRC / OGEC) — upgrades || C2* (HBG-RP / ADP-MAC / ARM / MFBD / SP-Gate) — upgrades || Combined killer story (ISCAS-sized) || 9. Citation checklist (real links only) || 10. Explicit DO NOT CLAIM (reconfirmed)",machine_indexed_not_full_read,21
research/08_video_temporal_sparsity_accelerators.md,ROUND 2 — Video / Temporal Sparsity Accelerators → SDformer C1*/C2* Remakes,"0. Landscape map (what exists vs gap) || 1. Strong remake ideas (12) — citation → transfer → C1*/C2* name || Idea 1 — Spatial–Temporal Head Dual Sparse Attention (from Sparse VideoGen) || Idea 2 — Spatiotemporal Online Activation Sparsify (from FlightVGM) || Idea 3 — Channel-wise Latent/Token Reuse (from Kaleido) || Idea 4 — DiffFrame / Real-time Temporal Δ Convolution Chip (from VideoTime3) || Idea 5 — End-to-end Sparse Frame-Difference CNN (DeltaCNN → ASIC candidate) || Idea 6 — Motion-Warped Delta / Spherical Buffer (MotionDeltaCNN) || Idea 7 — Temporal + Layer Early Exit (TLEE) → residual OF exit || Idea 8 — 3D Temporal Reuse + Redundancy Skip (Systolic Cube / Morph / TSR) || Idea 9 — Event–Frame Hybrid Wake / Cognitive Trigger (DVS–CIS fusion) || Idea 10 — Video Token Merging / Aggregation (ToMe, TESTA, TempMe, STTM) || Idea 11 — Temporal Shift as Zero-MAC Temporal Mix (TSM + FPGA) || Idea 12 — Block-wise Video Sparse Attn + First-Frame Sink (RainFusion2.0 / SPADE / VSA) || 2. Package matrix — enhance vs replace || 3. Recommended C1* / C2* remake bundles (video-temporal round) || C1* “Temporal Residual Front-End” (add to R1 C1* pack) || C2* “SpatioTemporal Sparse Fabric” (add to R1 C2* pack) || 4. First-HW candidate shortlist (algo → claim carefully) || 5. Related notes (requested keywords) || 6. Suggested prove-by ladder (shared) || 7. Sources (verified; no fabricated venues)",machine_indexed_not_full_read,0
research/09_ROUND2_SYNTHESIS_C1_C2_UPGRADE.md,ROUND 2 合成 — C1* / C2* 包名升级（Grok Bot / iscas_ssh）,一句话（相对 Round-1） || 升级后的推荐打包（ISCAS 故事用这版） || C1* — Temporal Residual + Eager Front-End（新颖度目标 ~9） || C2* — Dual-Rail + SpatioTemporal Sparse Fabric（新颖度目标 ~9） || 联合杀手故事（ISCAS 篇幅） || 更新后 Top-12（跨 R1+R2，写贡献句用） || 明确不要当主贡献（R1+R2 合并） || 与现有 Codex 卡的关系 || 建议下一步（工程，不自动开干） || 底稿索引,machine_indexed_not_full_read,0
research/10_cim_spike_opticalflow_accelerators.md,ROUND 3 — CIM / Compute-in-Memory for Spike · SNN · Optical-Flow · Sparse Transformer Workloads,0. How to read this note || 1. Landscape table (clusters → remake hooks) || 2. Strong ideas (mechanisms → remakes) || M1 — Fused weight + membrane-potential digital CIM (IMPULSE) || M2 — Reconfigurable digital CIM SNN + zero-skip (SpiDR) || M3 — MSB word skipping + early stopping + ADC-less neuromorphic CIM (Neuro-CIM) || M4 — Spike-encoding sparsity-adaptive charge-domain IF CIM (Spike-CIM) || M5 — Twin-column TTFS SRAM CIM (TFSRAM) || M6 — Time-domain async SNN CIM (Park TCAS-I) || M7 — RRAM nvCIM + in-situ nonlinear / spike activation (Yan VLSI’19) || M8 — Heterogeneous RRAM-CIM (frame CNN) + SRAM near-memory SNN (event) SoC || M9 — Hybrid NVM projection + SRAM attention for Transformers (X-Former) || M10 — ReTransformer / RACE-IT (non-VMM in analog IMC) || M11 — Spiking Transformer hybrid AIMC + stochastic spiking attention (Xpikeformer) || M12 — Full-precision all-digital SRAM CIM (Chih ISSCC’21) as payload lane || M13 — Motion-warped / sparse update into CIM tiles (OF-specific composition) || M14 — Dual-rail gate CIM + payload DigiCIM (HBG-RP on CIM fabric) || 3. Ranked shortlist for ISCAS OF-SNN-Transformer (CIM remakes) || 4. How Round-3 CIM upgrades C1\* / C2\* || C1\* — Temporal Residual + Eager Front-End || C2\* — Dual-Rail + SpatioTemporal Sparse Fabric || 5. DO NOT CLAIM (CIM edition) || 6. Prove-by experiment ladder (suggested) || 7. Citation index (verified anchors only) || 8. Relation to prior rounds,machine_indexed_not_full_read,0
research/11_event_camera_stack_accelerators.md,ROUND 3 — Event-Camera / DVS / Event-Vision Full Stack → SDformer C1*/C2* Remakes,0. Landscape map (what exists vs gap) || 1. Strong remake ideas (≥12) — citation → transfer → C1*/C2* name || Idea 1 — Adaptive Area-Event Slice Exposure (from EDFLOW ABMOF) || Idea 2 — Spatial-Locality Sparse Neuromorphic OF Datapath (from ASNA-Flow) || Idea 3 — Bitvector Hypothesis-Shift Coarse Flow Prior (from EventShiftFlow) || Idea 4 — In-Sensor / Near-Sensor Event Compression Gate (from 3D-ISC) || Idea 5 — Hybrid CIS+EVS Skip / Border-ROI Readout (from Guo stacked sensor) || Idea 6 — Shift-Based Time-Surface / Histogram Encoder HW (from HOMI) || Idea 7 — TDE / TDE-3 Direction-Selective Front-End (bio prior) || Idea 8 — Temporal Motion Aggregation HW (from TMA — algo → first HW) || Idea 9 — Event-Queue Neighbor Search for Local Windows (from EvGNN) || Idea 10 — Submanifold Sparse Token Dataflow (from ESDA) || Idea 11 — DVS-Triggered Exact-Path / NPU Wake (deepen EV-Wake) || Idea 12 — Multi-Sensor Fusion SoC Path (from Kraken / SNE) || Idea 13 — Plane-Fit / History-Window OF Lite Prior (from Aung + hARMS) || Idea 14 — Spikeformer Attention Dual-Engine for OF SDSA (from FireFly-T / Xpikeformer) || Idea 15 — Prediction Early-Exit from Frame RAFT HW → Event Residual (from ERAFT) || 2. Package matrix — enhance vs replace (R3 vs R1+R2) || 3. Recommended C1* / C2* remake bundles (event-stack round) || C1* “Event-Native Residual Front-End” (add to R2 C1*) || C2* “Event-Sparse SpatioTemporal Fabric” (add to R2 C2*) || 4. Ranked shortlist (R3 remakes for ISCAS story) || 5. First-HW candidate shortlist (claim carefully) || 6. DO NOT CLAIM || 7. Algo-only vs true HW (quick reference) || 8. Known gaps vs dense OF-SNN-Transformer ASIC || 9. Suggested prove-by ladder (shared) || 10. C1* / C2* upgrade matrix (R3 delta) || 11. Sources (verified; no fabricated venues) || Sensors / in-sensor || Encode / end-to-end event edge || Event OF HW || Hybrid / fusion / SoC || Event OF / spikeformer algorithms || Frame OF HW + spikeformer HW (transfer only),machine_indexed_not_full_read,0
research/12_ROUND3_SYNTHESIS_CIM_EVENT.md,ROUND 3 合成 — CIM + Event-Camera → C1*/C2*（Grok Bot / iscas_ssh）,C1* 再升级（叠在 R2：ECP-QKV / MW-ΔBuf / EV-Wake 上） || C2* 再升级（叠在 R2：SMAM-RP / Motion-TTB / STH-Gate 上） || 联合故事（R1–R3） || DO NOT CLAIM（R3） || 仍开放 || 底稿,machine_indexed_not_full_read,0
research/13_isscc_vlsi_hotchips_edge_npus.md,ROUND 4 — ISSCC / VLSI / HotChips Edge NPUs → SDformer C1*/C2* Transfer,0. How to read this note || 1. Landscape table (clusters → remake hooks) || 2. Strong transfers (mechanisms → remakes) || M1 — Feature-map sparsity-aware zero-skip mobile NPU (Samsung) || M2 — Entropy early-exit + mixed-precision predication + sentence V/F (Tambe STP) || M3 — Asymptotic sparsity speculation + OoO Transformer (Wang) || M4 — Bitline-transpose CIM sparse Transformer (Tu) || M5 — C-Transformer big-little DNN / Spiking-Transformer (Kim) || M6 — DIANA hybrid digital + analog IMC SoC || M7 — TinyVers state-retentive extreme-edge SoC || M8 — QNAP effective-weight convolution + error-compensation prediction || M9 — Per-vector scaled INT4 Transformer engine (Keller) || M10 — CogniVision hierarchical always-on smart vision SoC || M11 — Alpha-Vision always-on vision subsystem (ISSCC 2026) || M12 — Motion-event / adaptive-resolution always-on HAR SoC (ancestor) || M13 — Tesla FSD HotChips NNA + ISP integration (public slides) || M14 — Huawei DaVinci HotChips scalable AI core || M15 — SCNN compressed-sparse Cartesian-product dataflow || M16 — Bit Fusion / Stripes / UNPU precision-scalable lineages || M17 — Eyeriss / Envision / Thinker classical edge dataflow controls || M18 — Tightly coupled AI-ISP strip-tile vision processor || M19 — CIM block-wise zero-skip ping-pong (Yue) || M20 — Marsellus endpoint SoC (orchestration reminder) || 3. ≥12 remake ideas — compact cards || 4. Ranked shortlist (ISCAS claim value) || 5. How Round-4 upgrades prior packages || 6. Suggested Card H / system-level claims || 7. DO NOT CLAIM || 8. Cite checklist (primary DOIs / links used) || 9. Bottom line for ISCAS OF-SNN-T,machine_indexed_not_full_read,37
research/14_ROUND4_SYNTHESIS_EDGE_NPU.md,ROUND 4 合成 — Edge NPU 控制环 → C1*/C2*（Grok Bot）,最强转移（叠在 09/12 上） || Card H（系统） || DO NOT CLAIM || RTL 顺序（用户锁）,machine_indexed_not_full_read,0
research/15_CROSS_AI_READ_GROK46_CODEX_VS_GROKBOT.md,Cross-AI read — Grok46 / Codex independent vs Grok Bot (iscas_ssh),1. Three packs on ismd `ideafromai` || 2. Hard identity conflict (must resolve before more RTL) || 3. What Grok46 says is actually new (ranked) || 4. What Codex independent says || 5. Implication for our box HW (`sdformer_c1c2star_grokbot`) || 6. Recommended next actions (innovation-first),machine_indexed_not_full_read,0
research/16_ATLIF_IDENTITY_VERDICT_GROKBOT.md,ATLIF identity verdict — who is right? (Grok Bot after file dig),Short verdict || Evidence dug (primary) || What our contract already admitted || How to speak in TCAS-II without lying || Action while “先做现有的” || One-line for the user,machine_indexed_not_full_read,0
research/17_OPENROAD_PNR_SCOREBOARD_GROKBOT.md,OpenROAD P&R Scoreboard / OpenROAD 布局布线记分板 (Grok Bot),Full table — 16 leaf + 2 pipes + 7 Card G/H || Pipe notes / 管道说明 || Artifact index || Card G/H addendum (2026-09-06 ~12:40+08 Asia/Shanghai),machine_indexed_not_full_read,0
research/18_CARD_G_TDE3_TMA_GROKBOT.md,18 — Card G TDE3-Prior + TMA-Agg（Grok Bot 短记）,动机 || 三刀 || 模块一句话,machine_indexed_not_full_read,0
