record_ref,source_file,name,full_title,venue,entity_type,category,links,reading,reading_level,attempt,reason,untried,evidence,priority,A,B,X,cards
MAIN-R011,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Gamma,Gamma: Exploiting Gustavson’s Algorithm to Accelerate Sparse Matrix Multiplication,ASPLOS 2021,paper,稀疏架构与C1/C2,https://www.guowei.zone/files/2021.gamma.asplos.pdf,作者全文已定位；本地只见机制摘要，未找到完整章节阅读记录 || metadata_or_list || already_inventoried,,相关底座；未完整迁移,早期用于指出源缓存/结果合并已有先验；未有Gamma完整实现对照。不能因普通广播已知而排除有限合并器和缓存。,完整fiber cache、调度与merge开销；与本网络有序θg/非因果消费者的RAW/last-use界面。,,P1_mid_rel,,,,
MAIN-R012,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Gustavson algorithm,Two Fast Algorithms for Sparse Matrices: Multiplication and Permuted Transposition,ACM Transactions on Mathematical Software 1978,paper,稀疏架构与C1/C2,https://doi.org/10.1145/355791.355796,基础算法由多篇硬件全文间接核对；未单独确认原文精读 || unclear || already_inventoried,,算法祖先；非本项目新机制,当前C2广播、类别归约和NRV调度依赖此稀疏乘法家族；不能把遍历顺序本身当新算法。,原始算法不是可直接拿来比较的RTL；需要具体Gamma/GustavSNN等有资源的实现。,,P0_high_rel,,,,
MAIN-R013,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,ELSA (SNN 2026),ELSA: An ELastic SNN Inference Architecture for Efficient Neuromorphic Computing,ISCA 2026,paper,稀疏架构与C1/C2,https://arxiv.org/abs/2605.20802 || https://github.com/Intelligent-Computing-Research-Group/ELSA,作者摘要/工件已定位；本地方法阅读证据弱于Gustav全文 || metadata_or_list || already_inventoried,,保留未完整迁移,必须与ISCA2021自注意力ELSA分开；密集光流要全部输出，早到首正确分类不能直接作任务收益。；条件变化：固定BN已部分移除旧全域统计障碍，允许训练后不能再按冻结限制一票否决，但密集输出义务仍在。,完整elastic调度、神经元/完成策略及工件；非因果T10和BN消费者阻塞需真实映射。,,P0_high_rel,,,,
MAIN-R014,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,HYTE,完整题名待核,ISCA 2025,paper,稀疏架构与C1/C2,https://people.iiis.tsinghua.edu.cn/~gaomy/pubs/hyte.isca25.pdf || https://github.com/tsinghua-ideal/HYTE-sim,全文具体方法已读（§5–6及评价） || deep_or_method || already_inventoried,,联合分块/有限容量原则已纳入；完整工件未迁入,已用于加强F_cache、P/F搜索，不能把普通M tiling改个名字。原固定PE模型的剪枝条件在新增输出上下文后需重验。；条件变化：可改P/F和容量口数；不能用原固定数据流搜索裁剪限制新组织。,官方HYTE-sim、accessor、stream/buffer/bypass及在线四象限调节完整迁移；现有手写搜索不等价。,,P3_peripheral,,,,
MAIN-R017,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Swift,Swift: High-Performance Sparse-Dense Matrix Multiplication on GPUs,HPCA 2026,paper,稀疏架构与C1/C2,https://ranger.uta.edu/~jiang/publication/Conferences/2026/HPCA26_camera_ready.pdf || https://2026.hpca-conf.org/details/hpca-2026-main-conference/42/Swift-High-Performance-Sparse-Dense-Matrix-Multiplication-on-GPUs,全文具体方法已读（§IV及V-A/G） || deep_or_method || already_inventoried,,保留布局/尾部组织；未完整移植,GPU合并访存与FP64核速度不能直接转28nm收益；当前W已顺序供数，需真实端口/尾部改善。,原预处理、warp规则/不规则块、局部归并全流程；动态重排须与静态训练通道顺序比较。,,P2_low_mid,,,,
MAIN-R018,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,RISCSparse,RISCSparse: Point Cloud Inference Engine on RISC-V Processor,ICCAD 2024,paper,稀疏架构与C1/C2,https://www.cse.cuhk.edu.hk/~byu/papers/C232-ICCAD2024-RiscvSubCon.pdf,全文具体方法已读（§3.2–4.4/Algo2–3） || deep_or_method || already_inventoried,,未试；软件/控制边界参考,不能把CPU/Ara预处理免费算进PE；点云索引与固定密集光流网不同，但完整压缩/还原接口值得借。,Ara/Gemmini完整协同、mask压紧、返回scatter和银行冲突；本地只有相关GP控制，不是RISCSparse。,,P3_peripheral,,,,
MAIN-R019,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,ScanNow,ScanNow: A Scan Window-Based Sparse Matrix Multiplication Accelerator Design,ICCAD 2025,paper,稀疏架构与C1/C2,https://doi.org/10.1109/ICCAD66269.2025.11240912 || https://researchportal.hkust.edu.hk/en/publications/scannow-a-scan-window-based-sparse-matrix-multiplication-accelera/,官方摘要/元数据；未读全文 || metadata_or_list || already_inventoried,,保留未试,NR4有限窗口与其方向接近，但未读全文不能确认具体数据结构或差别，更不能凭名称杀本地方案。,全文扫描窗/队列/匹配机制与成本；当前只属于查漏线索。,,P1_mid_rel,,,,
MAIN-R022,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Avalanche,Avalanche: Optimizing Cache Utilization via Matrix Reordering for Sparse Matrix Multiplication Accelerator,ISCA 2025,paper,稀疏架构与C1/C2,https://doi.org/10.1145/3695053.3730990,全文已读（§4–6；当前作者PDF链接404不撤销旧阅读） || deep_or_method || already_inventoried,,完成调度参考；训练生存期候选未完成,早完成/last-use回收原作已完整做过；本网络S最后更新后还要同加法器完成T10/背压，不能立即释放。；条件变化：允许训练共同C16后依赖图可改变；需对普通完成排序给同能力。,原ROD维护/缓存/调度全迁；让训练依赖形成短生存期的联合结构尚无净硬件结果。,,P1_mid_rel,,,,
MAIN-R023,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,HighLight,HighLight: Efficient and Flexible DNN Acceleration with Hierarchical Structured Sparsity,MICRO 2023,paper,稀疏架构与C1/C2,https://emze.csail.mit.edu/documents/2023.10.micro.highlight.pdf || https://doi.org/10.1145/3613424.3623786,旧AI列过；后续全文§4–6精读 / 本地研究记录已读；阅读深度见 status || deep_or_method || already_inventoried,,分层格式/元数据纳入强控制；完整原法未迁 / 原文 §4–6 已读；未迁入完整硬件,无结构激活压缩/门控不等于周期跳过；本地必须保留真实源×W求交。普通层次掩码不能作新机制。；条件变化：早期不许改W的前提已解除，分层剪枝适用性应重评；但普通hidden50很强。 / 层级 mask、压缩表示及支持多种稀疏结构应作为强实现；本地行 2:4 不代表完整 HighLight。,完整训练层次约束、VFMU/不对齐取数和硬件结构；本地C16+2:4只是受限控制。 / 完整编码/解码、稀疏数据路由和资源匹配；与实际卷积广播及神经元消费者联合排程,,P1_mid_rel,,,,
MAIN-R026,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,CRISP,CRISP: Hybrid Structured Sparsity for Class-aware Model Pruning,DATE 2024,paper,稀疏架构与C1/C2,https://past.date-conference.com/proceedings-archive/2024/DATA/45_pdf_upload.pdf,全文已读（§III/算法1/图6） / 本地研究记录已读；阅读深度见 status || deep_or_method || already_inventoried,,结构剪枝强先验；未完整迁移 / 原文已读；未实施完整方法,不能仅迁W²粗掩码冒充完整CRISP；本地C16变体输hidden50/强普通分组不否定其训练流程。 / 用于说明组掩码、混合结构与类别信息已有体系；本地光流连续回归没有直接分类标签。,梯度目标、渐进微调、两级索引/导航和负载均衡完整方法；需光流及实际FC2消费误差。 / 把真实流场误差/区域重要性作为训练目标；完整 hybrid pruning 与恢复训练、硬件输出归并,,P3_peripheral,,,,
MAIN-R027,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,VENOM,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,SC 2023,paper,稀疏架构与C1/C2,https://arxiv.org/pdf/2310.02065 || https://github.com/UDC-GAC/venom || https://arxiv.org/abs/2310.02065,全文已读（§3–4/§6）且官方剪枝代码读过 / 本地研究记录已读；阅读深度见 status || deep_or_method || already_inventoried,,两级结构强基线；未完整GPU/ASIC迁入 / 原文方法及官方工件已定位；非完整复现,共享掩码本身不是新意；原GPU极高稀疏度收益不能用于本地50% W，任意列仍可能读满源64bit字。；条件变化：训练授权使先前未试条件改变；但本地少步探针不能当原全流程已否定。 / 本地 H8×C16 共掩码仅是易实现控制；没有把 VENOM 的全部剪枝/补偿/格式一起迁入。,完整column-loc/行内索引、pairwise OBS、渐进恢复和Spatha输入/输出bank处理。 / 完整向量格式、OBS 类保留权重补偿和渐进训练；与真实 P4 源字及 FC1/PSN 生命周期一起比较,,P0_high_rel,,,,
MAIN-R029,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,TASD,Enabling Unstructured Sparse Acceleration on Structured Sparse Accelerators,MLSys 2025,paper,稀疏架构与C1/C2,https://arxiv.org/pdf/2403.07953 || https://proceedings.mlsys.org/paper_files/paper/2025/hash/e2ec2530db26b54d0b3b060c1e4a1bda-Abstract-Conference.html,全文已读（§3/4.2–4.4/图11） / 本地研究记录已读；阅读深度见 status || deep_or_method || already_inventoried,,规则项+例外项保留；未迁入 / 原文方法已读；未实施完整分解,多项共享输入/部分和可借，动态激活提取及中间读不是免费；例外散布可能使删掉的C16又全读回。 / 用于防止把一种结构稀疏硬件的限制当全部稀疏执行的限制。,完整项选择/提取器、例外真实物理字触达和多项累加，只跑一次PSN的同精度执行。 / 完整张量分解、额外项恢复和合并费用；在 θg/完整 T10 下的实际源字与输出状态比较,,P0_high_rel,,,,
MAIN-R030,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,VEGETA,VEGETA: Vertically-Integrated Extensions for Sparse/Dense GEMM Tile Acceleration on CPUs,HPCA 2023,paper,稀疏架构与C1/C2,https://arxiv.org/abs/2302.08687,全文相关章节已读（§III-D/V-C/E） / 本地研究记录已读；阅读深度见 status || deep_or_method || already_inventoried,,普通强对照；未完整移植 / 原文 §III-D、V-C/E 已读；未完整实现,本地不能只给候选可变稀疏/转发；这些应是普通执行器能力。 / 作为允许灵活普通稀疏硬件的对照，不把本地固定 row2:4 等同其最强版本。,完整映射/存储/转发与资源比较；未试不等于不适用。 / 完整可变 N:M 指令/硬件映射；同资源宽度与稠密回退路径,,P1_mid_rel,,,,
MAIN-R031,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,SCNN,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks,ISCA 2017,paper,稀疏架构与C1/C2,https://arxiv.org/pdf/1708.04485 || https://doi.org/10.1145/3140659.3080254,旧AI列过；后续全文§III–IV/图4–6已读 || deep_or_method || already_inventoried,,patch跨层融合强底座；未完整迁入,普通零跳过/乘积笛卡尔展开不是新机制；非因果T10改变融合last-use，不能假设零中间存储而忽略Conv2 halo/输出累加。；条件变化：fixedBN/结构PSN已改变旧全域屏障；应重评昂贵patch融合，而非再开薄类别优化。,完整输入/输出halo、bank冲突与压缩finish；两Conv+PSN+BN2/shortcut同域融合目前未闭。,,P0_high_rel,,,,
MAIN-R032,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Eyeriss (row stationary),Eyeriss: A Spatial Architecture for Energy-Efficient Dataflow for Convolutional Neural Networks,ISCA 2016,paper,稀疏架构与C1/C2,https://eyeriss.mit.edu/,官方项目与相关工作已读；未找到本地完整映射复现 || unclear || already_inventoried,,已纳入普通强基线原则,C1所谓卷积复用是产品子集复用，不等于Eyeriss滑窗ifmap复用；不能把普通行驻留换名当贡献。,完整本网络九tap/halo/PSN消费者tile映射，含psum和存储端口。,,P0_high_rel,,,,
MAIN-R033,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Eyeriss v2,Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile Devices,IEEE JETCAS 2019,paper,稀疏架构与C1/C2,https://people.csail.mit.edu/emer/media/papers/2019.04.jetcas.eyeriss_v2.pdf,旧AI文献表/链接；未找到全文逐节阅读记录 || metadata_or_list || already_inventoried,,保留未试线索,已作为广播/稀疏取数先验；普通灵活互连不是新C2机制。,完整压缩流、稀疏PE与hierarchical mesh的同资源迁移；当前K8/TSBG不是完整Eyerissv2。,,P2_low_mid,,,,
MAIN-R034,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,UCNN,UCNN: Exploiting Computational Reuse in Deep Neural Networks via Weight Repetition,ISCA 2018,paper,稀疏架构与C1/C2,https://www.kartikhegde.net/media/UCNN_ISCA.pdf,相关方法已讨论；未发现完整官方实现迁入 || method_or_partial || already_inventoried,,强先验保留,支持字典与共享归约的强先验；原重复W与我们的动态支持不同，不能只换转置方向称新。,完整indirection表、分组、共享结果/解码成本及精度对照。,,P3_peripheral,,,,
MAIN-R037,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Sparseloop,Sparseloop: An Analytical Approach To Sparse Tensor Accelerator Modeling,MICRO 2022,paper,稀疏架构与C1/C2,https://sparseloop.mit.edu/documents/2022-micro-sparseloop.pdf || https://github.com/Accelergy-Project/micro22-sparseloop-artifact,分类法与作者工件已读/定位；完整模型未导入 || unclear || already_inventoried,,方法学已纳入,已用于避免把byte/逻辑加法数叫周期；它是评价工具不是本项目PE创新。,官方artifact对本网络的统一稀疏格式/端口映射；现有自写事件模型不等于完整Sparseloop。,,P1_mid_rel,,,,
MAIN-R039,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,GoSPA,GoSPA: An Energy-Efficient High-Performance Globally Optimized SParse Convolutional Neural Network Accelerator,ISCA 2021,paper,稀疏架构与C1/C2,https://www.proceedings.com/content/059/059978webtoc.pdf,旧AI文献表/链接；未找到全文逐节阅读记录 || metadata_or_list || already_inventoried,,保留未试线索,本轮会议目录核身份，方法仍主要旧AI摘要；没有本地完整迁移。,原global优化、格式/元数据与执行完整范围，先与普通tile融合比。,,P1_mid_rel,,,,
MAIN-R040,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Cambricon-X,Cambricon-X: An accelerator for sparse neural networks,2016 49th Annual IEEE/ACM International Symposium on Microarchitecture (MICRO) 2016,paper,稀疏架构与C1/C2,https://doi.org/10.1109/MICRO.2016.7783723,旧AI文献表/链接；未找到全文逐节阅读记录 || metadata_or_list || already_inventoried,,保留未试线索,仅旧架构表/零跳过背景；未测试此完整微结构。,完整索引模块、输入选择网络与带宽，不能以通用bit-skip等价替代。,,P1_mid_rel,,,,
MAIN-R043,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Stripes,Stripes: Bit-Serial Deep Neural Network Computing,MICRO 2016,paper,稀疏架构与C1/C2,https://doi.org/10.1109/MICRO.2016.7783722,旧AI文献表/链接；未找到全文逐节阅读记录 || metadata_or_list || already_inventoried,,保留未试线索,不能把位数削减自动写成带宽/时延收益；θg下源是支持位但PSN/voxel仍有多位。,完整位串行调度/宽度分组及强word-MAC对照，包含多T输出长尾。,,P1_mid_rel,,,,
MAIN-R044,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Bit Fusion,Bit Fusion: Bit-Level Dynamically Composable Architecture for Accelerating Deep Neural Networks,ISCA 2018,paper,稀疏架构与C1/C2,https://www.act-lab.org/artifacts/bitfusion/ || https://iscaconf.org/isca2018/slides/9A2.pdf || https://act-lab.org/artifacts/bitfusion/,旧AI文献表/链接；未找到全文逐节阅读记录 / 阅读层级按 status；元数据核验不等于原作完整迁移 || metadata_or_list || already_inventoried,,保留未试线索 / 旧调研概述；官方工件本轮核身份；未完整迁入,旧Grok表写MICRO2018不正确，本轮作者工件核为ISCA2018；只有关联列举，未移植。 / BitBrick 动态组合与低比特混合支持已有完整体系；本地普通乘法器 enable 不能视为 BitFusion 复现。,完整bitbrick组合/数据流/寄存组织，与实际PSN缩位MAC资源比较。 / 完整阵列/编译/格式与数据复用；同数字工艺资源的真实量化负载,,P1_mid_rel,,,,
MAIN-R045,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,Bit-Pragmatic,Bit-Pragmatic Deep Neural Network Computing,MICRO 2017,paper,稀疏架构与C1/C2,https://www.eecg.toronto.edu/~roman/professional/pubs/pdfs/micro17_deep_nn_moshovos_ieee.pdf,本轮作者PDF题名/摘要核验；未全文精读 || metadata_or_list || already_inventoried,,新增查漏线索,在canonical旧md未定位到实质阅读记录；本轮按用户/根代理查漏定位作者PDF。,精读位偏移编码、同步与带宽；不能把本地bit-serial阈值probe当完整Pragmatic实现。,,P3_peripheral,,,,
MAIN-R046,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,MASR,MASR: A Modular Accelerator for Sparse RNNs,PACT 2019,paper,稀疏架构与C1/C2,https://ugupta.com/files/masr_pact.pdf || https://arxiv.org/abs/1908.08976,本轮作者PDF题名/摘要核验；未全文精读 || metadata_or_list || already_inventoried,,新增查漏线索,canonical旧md未定位到实质阅读记录；本轮按用户/根代理查漏定位作者PDF。,原模块化稀疏RNN数据格式/调度/完整状态，核可否用于非因果T10 PSN，而非假定LIF递推。,,P0_high_rel,,,,
MAIN-R047,research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,BBS / BitVert,BBS: Bi-directional Bit-level Sparsity for Deep Learning Acceleration,MICRO 2024,paper,稀疏架构与C1/C2,https://arxiv.org/abs/2409.05227,旧AI文献表/链接；未找到全文逐节阅读记录 / 阅读层级按 status；元数据核验不等于原作完整迁移 || metadata_or_list || already_inventoried,,保留未试线索 / 旧包已列与方法概述；本地无完整 BitVert/算法复现,旧HBG任意INT8载荷前提不成立；但多位W/PSN仍有潜在适用位置，不能整体否定bit sparsity。；条件变化：θ可折W且源支持二值，但PSN/体素未变1bit；必须重新选实际多位挂点。 / BBS 与 BitVert 属同篇，不能算两论文。旧 ADP-MAC 骨架普通乘法+字门控不等于位粒度阵列；冻结 θg 固定幅值只限制该接口，连续 PSN/原始体素仍可能适配。,原BitVert完整编码/位调度/面积/真实精度；先与缩位word-MAC和CSD常量阵列比。 / Rounded Averaging/Zero-point Shifting/编码与阵列的完整借鉴；真实连续乘法挂点、同 word-MAC/CSD 资源和精度控制,,P0_high_rel,,,,
