idea_ref,name,view_type,catalog_id,A,B,X,status,boundary,next_or_stop,source,detail
local_author_txt:GustavSNN_HPCA2026_public_mirror.txt,GustavSNN,per_paper_fusion_hint,W0002,,,,,,,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
local_author_txt:FlexSpIM_ISCAS2025_author.txt,FlexSpIM,per_paper_fusion_hint,W0319,,,,,,,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
local_author_txt:SCNN_ISCA2017_author.txt,SCNN,per_paper_fusion_hint,W0024,,,,,,,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
local_author_txt:LoopTree_TCASAI2024_author.txt,LoopTree,per_paper_fusion_hint,W0358,,,,,,,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
local_author_txt:RISCSparse_ICCAD2024_author.txt,RISCSparse,per_paper_fusion_hint,W0016,,,,,,,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
local_author_txt:ISSCC2025_23_2_ConvFormer_author.txt,ISSCC25-ConvFormer,per_paper_fusion_hint,W0320,,,,,,,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,
OS-01,GustavSNN-public-mirror,per_paper_fusion_hint,W0399,SNN训练/仿真框架,无该开源能力时的默认路径,开源≠标题X,底座工具,框架≠加速器证据,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS-14,spike-flow-net,per_paper_fusion_hint,W0412,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-001,MemFlow,per_paper_fusion_hint,W0413,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-002,SEA-RAFT,per_paper_fusion_hint,W0414,光流迭代精炼强底座,无该开源能力时的默认路径,开源≠标题X,F旁路/任务先验,开源实现级，非芯片全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-003,Taming-Event-Cameras,per_paper_fusion_hint,W0415,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-004,v2e,per_paper_fusion_hint,W0416,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-005,rpg_e2vid,per_paper_fusion_hint,W0417,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-013,sparseml,per_paper_fusion_hint,W0421,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-014,sparsity,per_paper_fusion_hint,W0422,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-016,CUTLASS,per_paper_fusion_hint,W0424,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-017,SparseDNN-accel-survey-repos,per_paper_fusion_hint,W0425,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-021,Vitis-AI,per_paper_fusion_hint,W0428,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-022,finn,per_paper_fusion_hint,W0429,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-024,verilator,per_paper_fusion_hint,W0431,开源仿真,无该开源能力时的默认路径,开源≠标题X,Stage B/探针工具,功能仿真≠PPA,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-027,Gemmini,per_paper_fusion_hint,W0434,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-028,NVDLA,per_paper_fusion_hint,W0435,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-029,Scale-Sim,per_paper_fusion_hint,W0436,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-032,ZigZag,per_paper_fusion_hint,W0439,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-033,MAESTRO,per_paper_fusion_hint,W0440,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-034,SPARSEBACKBONE-OF,per_paper_fusion_hint,W0441,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-036,GPT-Q/AWQ family,per_paper_fusion_hint,W0443,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-038,SparseGPT,per_paper_fusion_hint,W0445,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-039,Wanda,per_paper_fusion_hint,W0446,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-040,2:4-sparse-stack,per_paper_fusion_hint,W0447,稀疏训练/推理工具链,无该开源能力时的默认路径,开源≠标题X,F1对照工具,软件栈≠same-port净服务,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-042,vLLM,per_paper_fusion_hint,W0449,serving调度类比,无该开源能力时的默认路径,开源≠标题X,F7旁路,禁止当芯片证据,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-043,FlashAttention,per_paper_fusion_hint,W0450,注意力高效核,无该开源能力时的默认路径,开源≠标题X,F7旁路,不进主岛,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-044,xformers,per_paper_fusion_hint,W0451,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
OS2-045,DeepSpeed,per_paper_fusion_hint,W0452,开源生态盘点,无该开源能力时的默认路径,开源≠标题X,对照/工具,开源仓级精读，非论文全文,无法接same-port/AEE → 停主贡献,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可复现对照入口 | 与RTL探针工具解耦 | 无PSN接口则仅工具栏
MAIN-R057,FireFly→正文SCNN,per_paper_fusion_hint,W0045,SCNN 压缩稀疏卷积数据流底座：仅输送非零权重/激活、笛卡尔积乘、坐标 scatter 累加、激活端到端压缩与 PE 本地 tile 驻留——可作「非零源字供数+稀疏执行计费」对照分母（借入≠X）。,同资源稠密 CNN；只压 DRAM、仍做零乘的弱稀疏加速器；无激活稀疏的仅权稀疏方案。,SCNN/零跳过本身非标题级 X；差分须落到 r1 物理源字删字+非因果 T10×双 PED 消费者接口，而非复述笛卡尔积。,F1/F5 数据流对照；旁路主岛。不抢 Stage B；与已有 SCNN.md/MAIN-R031 核对，本卡记录批错绑。,元数据错绑：不得当 FireFly 精读；CNN ReLU 稀疏≠SNN/T10；勿搬原作 2.7×/2.3× PPA；仅方法摘录窗口。,计费无法对齐 same-port/same-state → 仅文献对照，不停 Stage B；若当 FireFly 引用 → 废本卡改绑。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,非零源字广播域与 F1 可共同删物理字对齐讨论 | scatter 累加坐标跟踪作为并集费用口径对照（非搬 RTL） | 端到端压缩激活本地化 ↔ Stage B same-port 驻留分母 | 负结果只停「照搬 SCNN 到 PSN」布局，不杀稀疏家族
MAIN-R137,ThUnderVolt,per_paper_fusion_hint,W0109,有界误差预算下的「可丢弃/可近似」完成：TE-Drop 遇时序错跳过该 MAC 贡献；Algo1 按层排序均分 ptot；在线列求和误差跟踪——可作 F2/F4「有损共同完成/回退证书」的电路侧对照底座（借入≠X）。,标准 TED 重放纠错；全层统一欠压；无误差预算的盲目近似乘；纯 Zero-Skip。,电压/时序近似≠ lifting 半步检查点 X；只有把「错误/不确定则跳过或回退」挂到 lifting RNE/末5 证书且同分母才可能差分。,F2/F4 备选对照；第二队列。不抢 Stage B。,TPU 式 256×256 MAC 系统仿真≠本地 finite_service；不得搬 36–56% 能效；仅方法摘录窗口（TE-Drop 微结构细节有截断）。,同分母下近似完成净服务不胜静态窄层/严格计算，或 AEE 破门 → 停该近似布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,用「误差预算均分层」类比 F2 组接受预算，不作电路移植 | TE-Drop「检错后不重算」作 F4 证书失败回退的负对照（重算贵） | 与 Zero-Skip 协同说明稀疏跳零与近似完成可正交 | 负结果只停「电压近似挂 r1」布局
MAIN-R046,MASR,per_paper_fusion_hint,W0034,双稀疏 bitmask 供数与「前端解耦不规则、后端不断流」流水线；动态重分激活负载——可作 Gustav/lifting 并集供数不规则性与同k-ID 屏障的工程对照（借入≠X）。,仅权稀疏/仅激活稀疏；EIE CSR 指针随 PE 扩展；无动态负载均衡的静态划分。,ASR RNN bitmask≠标题 X；差分须落到 r1 源∩W 物理字与 T10 消费者并集，而非 RNN 隐藏态 bitmask。,F5/F7 供数不规则性对照；旁路。不抢 Stage B。,双向 GRU/ASR 工作负载≠光流残差链；勿搬 14×/15×；仅方法摘录窗口（PE 微架构后半可能截断）。,位掩码迁到源字后元数据/译码吃掉并集收益 → 停该编码布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,bitmask 常数元数据开销作稀疏索引对照（相对指针） | 解耦流水线：不规则发号与部分和计算分离，对照 Stage B 背压口 | 动态负载再平衡作多消费者并集不均的负/正对照 | 蒸馏造稀疏仅作训练先验，不自称硬件 X
MAIN-R051,GOBO,per_paper_fusion_hint,W0039,离群保真 + 主体字典量化（免微调）作为「普通压缩」强权限底座；可与 Gustav 供数/ lifting 常量图同权限并列（借入≠X）。,需微调的 Q-BERT/Q8BERT；固定 3–5% 离群线性量化；Huffman 展开后再 MAC。,GOBO 量化本身≠X；只有量化后仍过 AEE 且 Stage B 净服务相对稠密有余量才谈叠层。,F7/普通压缩对照；Stage B 后可挂量化轴。不抢 Stage B。,BERT/注意力模型；摘录偏引言+相关工作，质心选择算法细节标注仅方法摘录窗口；勿搬 7×/10×。,同精度下不胜普通均匀量化/PoT 强对照，或破 AEE → 停该字典布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,离群保真策略作 lifting 系数/中间量量化的强对照 | 「计算中保持索引、不展开」减少片上展开带宽的思路对照 | 免微调 PTQ 作本地 fixed-BN 后压缩权限边界 | 负结果只停某量化网格，不杀量化家族
MAIN-R073,SpAtten,per_paper_fusion_hint,W0059,级联重要性累计 + 永久删除的粗粒度结构剪枝；渐进位宽——可作 F1「按消费者重要性共同删」与 F6 取消列的算法对照（借入≠X）。,每层独立重评剪枝；非级联随机 token drop；无累计分的静态稀疏注意力。,NLP token cascade≠光流源字剪枝 X；差分须用 lifting 改后源活动+双 PED 损失，而非抄 attention prob。,F1/F2/F7 对照；Stage B 后可挂。不抢 Stage B。,注意力序列≠r1 残差链；cascade 永久删除对非因果 T10 可能过激；仅方法摘录窗口。,换成 r1 损失后不胜 HiNM/窄稠密，或级联删坏 AEE → 停该级联布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,累计重要性 + top-k 作 F1 共同删字候选排序模板（换损失） | 「剪后永不回」对照 F6 可取消列的可逆性杀门 | 渐进 MSB/LSB 作端口位宽与误差证书对照 | 协处理器边界：只加速瓶颈段，不吞整网——对照 Stage B 分母范围
MAIN-R067,Skydiver,per_paper_fusion_hint,W0055,离线可预测的通道负载先验 + 调度均衡——可作多消费者/多 bank 并集不均的调度对照（借入≠X）。,在线动态猜测负载无先验；静态通道到 PE 固定映射导致 <90% 平衡。,CBWS 本身≠X；差分须证明对 lifting 源活动不均仍降 same-port 周期。,F2/F5 调度对照；第二队列。不抢 Stage B。,FPGA XC7Z045 分类/分割吞吐≠本地 VCS；APRC 结构改动细节摘录不全（仅方法摘录窗口）；勿搬 22.6KFPS。,预测负载与真实 r1 活动相关低或调度后周期不降 → 停该均衡布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,离线相对负载预测作 Stage B 前静态分区上界 | 通道均衡调度对照 Gustav 柱并行负载不均 | 时空稀疏「不可预测」问题陈述对齐本地 spike/门活动 | 负结果只停某 CBWS 映射，不杀 SNN 加速家族
MAIN-R088,FABNet,per_paper_fusion_hint,W0074,静态规则结构化稀疏 + 可配置统一引擎——可作 F7「因子组对齐打包」与普通结构稀疏的硬件友好对照（借入≠X）。,仅优化 attention 或仅 FFN；动态非结构稀疏+重控制器；无统一引擎的多专用核。,Butterfly 替换注意力≠ lifting 结构化 T10 X；借用模式规律≠自称差分。,F7 结构规律对照；旁路。不抢 Stage B。,Transformer/LRA；butterfly 因子图≠本地 lifting matchings；仅方法摘录窗口（硬件§IV 细节截断）；勿搬 14–23×。,规则 butterfly 映射到源字后精度/服务不胜 HiNM 或稠密序+同 Gustav → 停该模式。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,静态规则稀疏避免动态控制器开销——对照 F1 共享掩码可实现性 | 统一引擎多模式配置作 Gustav/lifting 同分母复用思路 | 同时稀疏 attention+FFN 的端到端可扩展性警告：只优一段不够 | 与 SpAtten 动态粗粒度对照，选静态 vs 动态杀门
MAIN-R208,Adaptive-SpikeNet,per_paper_fusion_hint,W0180,可学习神经动态（vth、λ）与事件体素时序表示——作光流 SNN 训练/动态底座对照；隐式复发保时序（借入≠X）。,固定阈值/泄漏 LIF；纯 ANN EV-FlowNet；混合 SNN-ANN 编码器；显式 ConvRNN 加重参。,可学习 LIF≠结构化 T10/lifting X；本地已有 θg/非因果 T10 适配纪律，不得把原作 EPE 增益当本地净服务。,光流任务相关对照（算法轴）；不直接挂 F1–F7 硬件主线。不抢 Stage B。,MVSEC/DSEC 自监督 EPE≠valid825 AEE 合同；全脉冲 U-Net≠生产 nts07；仅方法摘录窗口。,同训练预算下不胜固定动态/混合基线或破本地 AEE 门 → 停该自适应布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,可学习泄漏/阈值作普通神经元对照，对比结构化 PSN | former/latter bin 表示作事件输入合同对照 | 缩模型时 SNN vs ANN 差距保持——支持「动态捕捉」主张的验证法 | 负结果只停某神经元超参布局，不杀事件光流线
MAIN-R081,HeatViT,per_paper_fusion_hint,W0067,自适应 token 剪枝 +「打包保留」而非硬丢；插入位置可学；硬件复用骨干 GEMM——可作 F1 删字时「保留通道表达」与 F5 生存期的算法/实现对照（借入≠X）。,静态 token 剪枝；完全丢弃非信息 token；独立 CONV 选择器不复用 GEMM；只剪 head/channel。,ViT token 打包≠r1 物理源字剪枝 X；差分须双 PED 损失+lifting 源活动。,F1/F7；Stage B 后可挂。不抢 Stage B。,ImageNet ViT；打包 token 语义≠源字；仅方法摘录窗口；勿搬 FPGA 3–5×。,打包保留后并集读仍满或 AEE/ΔAEE 破门，或不胜 HiNM → 停该选择器布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,「打包成一信息 token」启发：删字时保留汇总通道而非硬零 | 延迟感知插入位置搜索作 F1 挂点选择模板 | 稠密拼接避免稀疏硬件——对照本地更愿改供数面而非加稀疏控制器 | 多项式近似非线性作普通实现底座，非 X
MAIN-R052,OliVe,per_paper_fusion_hint,W0040,成对离群-牺牲品量化 + 硬件友好解码——普通压缩/异常值处理强对照；与 GOBO 并列作量化底座（借入≠X）。,逐元素离群存储无 victim；对称均匀量化；需重训的 QAT。,OVP≠标题 X；本地差分不在 LLM 量化格式。,普通压缩对照；量化轴旁路。不抢 Stage B。,LLM/Transformer 权重激活分布；OVP 成对假设迁到源字可能破坏 lifting 图；仅方法摘录窗口。,同精度不胜 GOBO/均匀量化或服务无增益 → 停该 OVP 布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,成对牺牲品策略作「保关键保留、其余降精度」对照 | 轻量 decoder 挂既有 MAC 阵列——少改数据通路的工程边界 | MSE+outlier-outlier 比率作量化杀门数字模板 | 负结果只停 OVP 网格
