catalog_id,name,full_title,entity_type,venue,category,source_refs,source_files,source_urls,reading_status_by_source,reading_levels_by_source,attempt_status_by_source,include_stop_reasons,untried_interfaces,evidence_paths,precision_tier,A,B,X_hint,idea_card_paths,code_status,code_urls,code_scope,identity_note
W0042,SpinalFlow,SpinalFlow: An Architecture and Dataflow Tailored for Spiking Neural Networks,paper,ISCA 2020,稀疏架构与C1/C2 || snn_flow,MAIN-R054 || MUSHA-SN005,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json,,MAIN-R054: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || MAIN-R054: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || metadata_or_list || already_inventoried || MUSHA-SN005: secondhand || unclear || already_inventoried_musha_incremental || MUSHA-SN005: secondhand,,MAIN-R054: 保留未试线索 / 纳入相关工作；未完整迁移 || MUSHA-SN005: include_as_control || MUSHA-SN005: not_tried || include_as_control,"旧Grok“实值必须按(time,|amp|)排序”推理不成立：保持time顺序并携载荷即可。真正障碍是非因果full-A PSN，不是静态θ幅值。；条件变化：当前有训练码与固定BN，可重新定义消费界；不得继续用错误幅值论据停止。 / Gustav 原文明确 tick-batch 来源是 SpinalFlow；旧 Grok 将其仅理解成时间戳代码并据此 fit-fail 的整体否决不能保留。 || 时序排序压缩尖峰+输出驻留；强假设二值稀疏，对θg幅值部分失效。",全文神经元/事件排序/片上布局与完整代价；不能把LIF递推直接替换原PSN。 / 原作完整数据流仍应作底座对照，不限于一句膜存储节约。 || 幅值AER扩展,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/11_event_camera_stack_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/GustavSNN_HPCA2026_public_mirror.txt""] || [""02_snn_atlif_realvalued_mechanisms.md"", ""01_ann_sparsity_mechanisms.md""]",P0_high_rel,无全文不可继承,n/a,无,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/unresolved_SpinalFlow.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0043,SATO,SATO: Spiking Neural Network Acceleration via Temporal-Oriented Dataflow and Architecture,paper,DAC 2022,稀疏架构与C1/C2 || snn_flow,MAIN-R055 || MUSHA-SN006,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json,https://mxhx7199.github.io/files/%5BDAC-2022%5DSATO_preprint.pdf,MAIN-R055: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || MAIN-R055: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || metadata_or_list || already_inventoried || MUSHA-SN006: secondhand || unclear || already_inventoried_musha_incremental || MUSHA-SN006: secondhand,,MAIN-R055: 保留未试线索 / 纳入相关工作；未完整迁移 || MUSHA-SN006: include_as_control || MUSHA-SN006: not_tried || include_as_control,旧表把DAC22/TPDS24混列，当前作者preprint可定位，未核后续期刊版本。 / 时间并行、发放搜索与调度须完整借；full-rank PSN 需要不同消费者，不能只换阈值器声称复现。 || 时间并行+发放搜索树；幅值路径打破二值搜索树假设。,完整事件编码/桶/执行与神经元状态；普通T展开不能算新增。 / 完整搜索/桶调度/存储与新消费者尚未迁移。 || -,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/independent_review.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/11_event_camera_stack_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""] || [""02_snn_atlif_realvalued_mechanisms.md""]",P0_high_rel || P2_low_mid,无全文不可继承,n/a,无,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/unresolved_SATO.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0044,STELLAR,STELLAR: Energy-Efficient and Low-Latency SNN Algorithm and Hardware Co-Design with Spatiotemporal Computation,paper,HPCA 2024,稀疏架构与C1/C2 || snn_flow,MAIN-R056 || MUSHA-SN007,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json,https://www.proceedings.com/content/074/074054webtoc.pdf,MAIN-R056: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || MAIN-R056: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || metadata_or_list || already_inventoried || MUSHA-SN007: secondhand || unclear || already_inventoried_musha_incremental || MUSHA-SN007: secondhand,,MAIN-R056: 保留未试线索 / 纳入相关工作；未完整迁移 || MUSHA-SN007: include_as_control || MUSHA-SN007: not_tried || include_as_control,旧AI列举，不等于本地完整架构复现。 / Few-Spikes 训练与 stRS 是联合底座；原模型不同不等于思想被证伪。 || stRS/窗口并行可部分迁移；FS稀疏在幅值密时变弱。,完整训练/时空执行与状态，核非因果PSN替换边界。 / FSBP 全训练和完整时空行驻留布局未迁移。 || stRS tiling到T10非因果,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/11_event_camera_stack_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""] || [""02_snn_atlif_realvalued_mechanisms.md""]",P0_high_rel,无全文不可继承,n/a,无,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/unresolved_STELLAR.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0045,FireFly,FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks With Efficient DSP and Memory Optimization,paper,IEEE TVLSI（旧表称） 2023 / IEEE TVLSI 2023 || IEEE TVLSI 2023,稀疏架构与C1/C2 || snn_flow,MAIN-R057 || MUSHA-SN008,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json,https://arxiv.org/html/2505.12771v1 || https://arxiv.org/html/2408.15578v1 || https://arxiv.org/abs/1708.04485 || https://arxiv.org/abs/1712.01507 || https://cs.yale.edu/homes/el327/papers/mailmanAlgorithm.pdf || https://arxiv.org/abs/2301.01905,MAIN-R057: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || MAIN-R057: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮仅本地引文/作者论文参考文献核查；无本地迁移实验 || metadata_or_list || already_inventoried || MUSHA-SN008: secondhand || unclear || already_inventoried_musha_incremental || MUSHA-SN008: secondhand,,MAIN-R057: 保留未试线索 / 纳入相关工作；未完整迁移 || MUSHA-SN008: include_as_control || MUSHA-SN008: not_tried || include_as_control,只作为spike加法/脉冲驱动先验；FPGA资源不能冒充28nm CMOS。 / DSP/存储优化是完整 FPGA 底座，不转写为本 ASIC PPA。 || FPGA脉冲×权；需改为gated MAC(amp×W)。,完整数据流与编码，若借机制须重新数字ASIC映射。 / 完整算术与存储映射未迁移。 || 幅值门控PE,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_execution_plan_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/13_isscc_vlsi_hotchips_edge_npus.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/11_event_camera_stack_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""] || [""02_snn_atlif_realvalued_mechanisms.md""]",P0_high_rel,SCNN 压缩稀疏卷积数据流底座：仅输送非零权重/激活、笛卡尔积乘、坐标 scatter 累加、激活端到端压缩与 PE 本地 tile 驻留——可作「非零源字供数+稀疏执行计费」对照分母（借入≠X）。 || 无全文不可继承,同资源稠密 CNN；只压 DRAM、仍做零乘的弱稀疏加速器；无激活稀疏的仅权稀疏方案。 || n/a,SCNN/零跳过本身非标题级 X；差分须落到 r1 物理源字删字+非因果 T10×双 PED 消费者接口，而非复述笛卡尔积。 || 无,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_1708.04485.md || research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/unresolved_FireFly.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0046,FireFly-v2,FireFly v2: Advancing Hardware Support for High-Performance Spiking Neural Network with a Spatiotemporal FPGA Accelerator,paper,IEEE TCAD 2024,稀疏架构与C1/C2,MAIN-R058,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://arxiv.org/abs/2309.16158 || https://doi.org/10.1109/TCAD.2024.3380550,MAIN-R058: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R058: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried,,MAIN-R058: 保留未试线索 / 完整强对照来源,位级FPGA技巧不是CMOS创新；完整temporal并行可作强控制。 / 已有时空 FPGA 数据流、多位输入和脉冲后处理；不能把普通时间展开重新命名为新机制。,原完整架构/片上buffer及实际θg接口；未移植原FPGA实现。 / 完整多位输入和前后处理链未迁移为本地 ASIC 模型。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/13_isscc_vlsi_hotchips_edge_npus.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/01_review_and_selective_shared_reduction.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P1_mid_rel,,,,,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0047,FireFly-S,FireFly-S: Exploiting Dual-Side Sparsity for Spiking Neural Networks Acceleration with Reconfigurable Spatial Architecture,paper,IEEE Transactions on Circuits and Systems I 2025,稀疏架构与C1/C2,MAIN-R059,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://arxiv.org/abs/2408.15578 || https://doi.org/10.1109/TCSI.2024.3496554,MAIN-R059: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R059: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried,,MAIN-R059: 保留未试线索 / 保留训练与架构迁移,早期只列调研线索；本轮已纠正TCAS-I身份。完整训练与双侧稀疏架构尚未迁入，未剪枝W稠密不能否定原法。 / 原 W 约 98% 非零不构成对训练剪枝方案的否定；旧表写 TVLSI 不准确。,完整重连、双侧稀疏、量化训练与空间架构共同迁入；分清FPGA器件特化。 / 原文完整重连、双侧稀疏、量化及空间架构尚未一起迁移。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_execution_plan_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/13_isscc_vlsi_hotchips_edge_npus.md""]",P0_high_rel,双端稀疏（权+脉冲）联合压缩 + Algo1 时序膜电位识别静默输出通道——可作 F1 共同删字/通道级结构剪枝与 Gustav 供数不规则性对照（借入≠X）。,仅权稀疏忽略脉冲端；overlay 反复片外访存；剪枝与量化分步+再训练；8–16b 无联合优化。,FireFly-S 双端稀疏≠标题 X；须落到 r1 源∩W 物理字与双 PED；与批01 错绑 FireFly→SCNN 区分。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2408.15578.md || research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2505.12771.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0048,FireFly-T,FireFly-T: High-Throughput Sparsity Exploitation for Spiking Transformer Acceleration with Dual-Engine Overlay Architecture,paper,IEEE Transactions on Computers 2026,稀疏架构与C1/C2,MAIN-R060,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://arxiv.org/abs/2505.12771,MAIN-R060: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R060: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried,,MAIN-R060: 保留未试线索 / 强架构先验，未完整迁移,LUT6 AND-PopCount不是本地CMOS新原语；但完整数据流未被否定。 / 双引擎稀疏 Transformer 与 FPGA LUT 映射是先验；LUT6 AND-popcount 不能直接当 CMOS 新意。,原执行链、张量布局/缓存/非线性；不能只抽AND-PopCount当完整迁移。 / 完整双引擎、压缩、供数与跨层调度迁移未做。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,稀疏引擎吞吐向 sparsity 利用 + 二值注意力专用引擎（AND-PopCount）双 overlay——作 spiking transformer 稀疏/二值路径硬件分母（借入≠X；与已有 FireFly-S 卡区分）。,粗粒度分组稀疏（整组跳过率低）；CSR 单非零/周期细粒度；无注意力支持的纯卷积 FireFly。,FireFly-T overlay≠ lifting X；本地不把 FPGA DSP/LUT 节省写成 Stage B 净服务。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2505.12771.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0049,SpikeX,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks,paper,arXiv；旧表称TCAD2025待核 2025 / IEEE TCAD 2025 || 作者稿标注 TCAD 已接收,稀疏架构与C1/C2,MAIN-R061 || PRO-ChatGPTpro-#第二轮跨领域调研：-211,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2505.12292,MAIN-R061: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R061: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried || PRO-ChatGPTpro-#第二轮跨领域调研：-211: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R061: 保留未试线索 / 费用训练强对照 || PRO-ChatGPTpro-#第二轮跨领域调研：-211: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,广播与稀疏执行强先验；旧TSBG不能因typed-signed变成独立广播发明。 / 已有 time-window OR 占用、分段 EDP 代理和网络硬件共训；逐 spike 正则是弱对照。 || 时间—空间分发与激活相关权重处理共同优化；普通权重按活动裁剪、重新分发已有较强先例。([arXiv](https://arxiv.org/abs/2505.12292)),完整网络共同优化/存储调度与双侧零跳过；本地未迁原全系统。 / 原文完整 SP-MB 组织与本任务 patch 费用训练尚未复现。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/patch_trainable_fusion_followup_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,面向时空不规则尖峰的敏捷派发 + 激活诱导权裁剪 + 稀疏桥接的网芯共优化接口——作「占用/活动驱动的执行与训练共设计」底座（借入≠X；与本地 F6/块占用叙事相关）。,ANN 式脉动阵列无视尖峰稀疏；训练与加速器配置割裂；固定映射无视时间窗。,SpikeX 派发/裁剪≠ lifting 结构化因子图 X；共优化接口可作对照，标题差分仍在 T10 执行对象。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2505.12292.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0050,Bishop,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning,paper,ISCA 2025,稀疏架构与C1/C2 || attention,MAIN-R062 || MUSHA-SN012 || PRO-ChatGPTpro-#第二轮跨领域调研：-107,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2505.12281 || https://doi.org/10.1145/3695053.3731063 || https://arxiv.org/html/2505.12281v1,MAIN-R062: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R062: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried || MUSHA-SN012: html_arxiv || unclear || already_inventoried_musha_incremental || MUSHA-SN012: html_arxiv || PRO-ChatGPTpro-#第二轮跨领域调研：-107: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R062: 保留未试线索 / 强剪枝/异构调度先验 || MUSHA-SN012: include_as_control || MUSHA-SN012: not_tried || include_as_control || PRO-ChatGPTpro-#第二轮跨领域调研：-107: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,旧AI高分依赖错误任意ATLIF载荷、免费motion predictor和SDSA身份；不能把这些高分当证据。原bundle+训练/误差界方法仍可完整借。 / 误差约束 pruning 与 bundling 均是需要承接的原有行为。 || 捆绑尖峰Transformer+误差约束剪枝；强同族对照。禁止声称first spiking transformer accelerator。 || 时间与 token 成组打包、组级稀疏训练、稀疏/稠密异构执行，以及面向注意力的误差约束剪枝；F1/F2 不能只以“组级处理”“共同跳过”“训练出组稀疏”为创新。([arXiv](https://arxiv.org/html/2505.12281v1)),完整TTB/BSA训练、stratifier/ECP与AAC；H67 Motion-XOR/共静默/temporal peer需重新误差界及AEE。 / 整套误差预算、恢复及异构调度未迁移。 || TTB/BSA/ECP迁到OF任务+θg,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/07_transformer_attention_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/synthesis.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/mechanism_rebuild_gh_20260906/report-source.md""] || [""01_ann_sparsity_mechanisms.md"", ""07_transformer_attention_accelerators.md""]",P0_high_rel,TTB 结构化打包 + BSA 束级稀疏训练 + ECP 误差约束剪 Q/K——「结构化可跳过工作单元 + 有界误差剪枝」可直接对照 F1 共同删字与 F2 组完成（借入≠X）。 || 无全文不可继承,逐尖峰不规则跳过；无束级损失的朴素稀疏；无误差界的注意力剪枝；单一稠密核。 || n/a,TTB/BSA/ECP≠ lifting 源活动×双 PED 删字 X；本地主张在非因果 T10×残差链消费者，而非 SSA 二次复杂度本身。 || 无,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2505.12281.md || research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/unresolved_Bishop.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0051,SMAM / Sparse Spike-Driven Transformer HW,An Efficient Sparse Hardware Accelerator for Spike-Driven Transformer,paper,arXiv 2025,稀疏架构与C1/C2,MAIN-R063,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json,https://arxiv.org/abs/2501.07825,MAIN-R063: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R063: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried,,MAIN-R063: 保留未试线索 / 仅调研/待迁移,SMAM-RP的“不可折实值ATLIF”区别不成立；H67 Motion-XOR也不是普通SDSA，因此不能直接把原叶替换。 / SMAM 是该论文中的稀疏机制，不应另列成独立论文。,完整SMAM编码/数据流及对Motion-XOR的真实新增算术，保留θg消费者。 / 对真实 θg、gate×K 多位路径的完整配置未实现。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/07_transformer_attention_accelerators.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,把脉冲计算改成位置编码+地址比较以旁路零——双稀疏输入（SDSA）友好的执行编码底座；可作 Gustav/lifting 非零源字供数对照（借入≠X）。,稠密 MAC 注意力/线性；只优化卷积脉冲、忽略 SDSA 双输入；叠加式通用 SNN 加速器。,地址比较消零≠标题 X；须证明对 lifting 源活动降 same-port 周期且过 AEE。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2501.07825.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
W0052,Hardware Efficient Reconfigurable Time-Step Spiking Transformer,Hardware Efficient Accelerator for Spiking Transformer With Reconfigurable Parallel Time Step Computing,paper,ISCAS 2025 || ISCAS 2025；Verilog、综合及功耗估计,稀疏架构与C1/C2 || attention,MAIN-R064 || MUSHA-SN013 || PRO-ChatGPTpro-#第二轮跨领域调研：-210,research/literature_audit_20260909/literature_inventory.json || research/hardware_innovation_20260908/survey_ab_fusion_20260910/literature_merged_300plus.json || research/literature_audit_mushaolong_20260909/literature_inventory.json || gptpro/ChatGPTpro-#第二轮跨领域调研：.md,https://arxiv.org/abs/2503.19643 || https://doi.org/10.1109/ISCAS56072.2025.11043330,MAIN-R064: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || MAIN-R064: 旧AI文献表/链接；未找到全文逐节阅读记录 / 本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读 || metadata_or_list || already_inventoried || MUSHA-SN013: html_arxiv || PRO-ChatGPTpro-#第二轮跨领域调研：-210: Pro 调研中的文献矩阵；汇总本轮未重新全文核验,,MAIN-R064: 保留未试线索 / 强实现先验 || MUSHA-SN013: not_tried || include_as_control || PRO-ChatGPTpro-#第二轮跨领域调研：-210: Pro 建议/对照线索；详见引用段落，不等于本地已迁入,混T本身已经有电路先验；原T4/2/1不自动覆盖我们的T10神经元/非因果窗口。 / 已有可重配 T=4/2/1 并行；不能把混 T 本身算新创新。 || 并行时间步尖峰Transformer；衍生风险高。须用OF+多比特ATLIF区分。arXiv:2503.19643 || 展开多个时间步，复用权重并减少膜电位存储访问；使用 IAND 替换残差加法，不能在你的连续残差链上当作无损替换。([arXiv](https://arxiv.org/abs/2503.19643)),完整PE/状态调度和资源；不能只把mux复制成T10当标题机制。 / 非因果满秩 T10 PSN 和动态 BN 的完整扩展未试。 || IAND残差 vs 本网shortcut,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/grok46_20260905/04_paper_survey.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/codex_deep_rebuild_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""] || [""01_ann_sparsity_mechanisms.md""]",P0_high_rel,时间步展开 LIF + 可重构向量数据流 + IAND 残差保 spike-only I/O——作「时空并行供数/免膜状态」硬件分母对照（借入≠X；近 Gustav CPTB 时间并行叙事）。,逐步串行 LIF+膜 SRAM；仅 CNN 稀疏加速器；残差用实值加破坏 spike I/O。,unrolled LIF/IAND≠本地 lifting 执行对象 X；差分须在 same-port 下相对 ordinary dense/raw，而非搬 3456GSOPS。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_cards/arxiv_2503.19643.md,code_not_located_in_aggregated_sources,,,"历史记录原样保留；当前 AT-LIF={0,θ}，推理 θ 可折权。"
