id,category,name,full_title,venue,venue_verification,entity_type,depth,role,status,reason,what_untried,source_url,evidence_file
R011,稀疏架构与C1/C2,Gamma,Gamma: Exploiting Gustavson’s Algorithm to Accelerate Sparse Matrix Multiplication,ASPLOS 2021,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,作者全文已定位；本地只见机制摘要，未找到完整章节阅读记录,Gustavson纤维缓存、合并和动态调度,相关底座；未完整迁移,早期用于指出源缓存/结果合并已有先验；未有Gamma完整实现对照。不能因普通广播已知而排除有限合并器和缓存。,完整fiber cache、调度与merge开销；与本网络有序θg/非因果消费者的RAW/last-use界面。,https://www.guowei.zone/files/2021.gamma.asplos.pdf,/home/zhumd/work/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md；/home/zhumd/work/ideafromai/research/innovation_first_audit_20260906/report-source.md
R012,稀疏架构与C1/C2,Gustavson algorithm,Two Fast Algorithms for Sparse Matrices: Multiplication and Permuted Transposition,ACM Transactions on Mathematical Software 1978,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,基础算法由多篇硬件全文间接核对；未单独确认原文精读,按行/列共享中间归约,算法祖先；非本项目新机制,当前C2广播、类别归约和NRV调度依赖此稀疏乘法家族；不能把遍历顺序本身当新算法。,原始算法不是可直接拿来比较的RTL；需要具体Gamma/GustavSNN等有资源的实现。,https://doi.org/10.1145/355791.355796,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_implementation_status_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/GustavSNN_HPCA2026_public_mirror.txt
R013,稀疏架构与C1/C2,ELSA (SNN 2026),ELSA: An ELastic SNN Inference Architecture for Efficient Neuromorphic Computing,ISCA 2026,本轮作者/出版社/会议一手元数据核验,paper,作者摘要/工件已定位；本地方法阅读证据弱于Gustav全文,弹性SNN执行与可变完成,保留未完整迁移,必须与ISCA2021自注意力ELSA分开；密集光流要全部输出，早到首正确分类不能直接作任务收益。；条件变化：固定BN已部分移除旧全域统计障碍，允许训练后不能再按冻结限制一票否决，但密集输出义务仍在。,完整elastic调度、神经元/完成策略及工件；非因果T10和BN消费者阻塞需真实映射。,https://arxiv.org/abs/2605.20802；https://github.com/Intelligent-Computing-Research-Group/ELSA,/home/zhumd/work/ideafromai/codex_independent_20260905/02_literature_and_alternative_ideas.md；/home/zhumd/work/ideafromai/research/grok46_20260905/04_paper_survey.md
R014,稀疏架构与C1/C2,HYTE,完整题名待核,ISCA 2025,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文具体方法已读（§5–6及评价）,分块、循环、数据与元数据容量联合选择,联合分块/有限容量原则已纳入；完整工件未迁入,已用于加强F_cache、P/F搜索，不能把普通M tiling改个名字。原固定PE模型的剪枝条件在新增输出上下文后需重验。；条件变化：可改P/F和容量口数；不能用原固定数据流搜索裁剪限制新组织。,官方HYTE-sim、accessor、stream/buffer/bypass及在线四象限调节完整迁移；现有手写搜索不等价。,https://people.iiis.tsinghua.edu.cn/~gaomy/pubs/hyte.isca25.pdf；https://github.com/tsinghua-ideal/HYTE-sim,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/architecture_followup_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/finite_broadcast_pruning_notes_20260908.md
R015,稀疏架构与C1/C2,SeaCache,完整题名待核,MICRO 2025,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文具体方法已读（§4–6.1）,变长fiber缓存、分段、虚tag/gLFU,保留；未移植工件,连续384B W行未满8KiB是输出上下文不足，不是cache-line碎片；未完成S不能像只读fiber直接丢弃。；条件变化：若新稀疏格式出现真实变长碎片/重放，可重开；当前紧凑码不自动受益。,完整短fiber合装、长fiber拆分、ID/gLFU/virtual-tag及预取元数据端口；先与直接双缓冲比较。,https://people.iiis.tsinghua.edu.cn/~gaomy/pubs/seacache.micro25.pdf；https://github.com/tsinghua-ideal/SeaCache-sim,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/architecture_followup_20260908.md
R016,稀疏架构与C1/C2,HyMM,完整题名待核,DATE 2025,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文具体方法已读（§III–IV）,CSC/CSR混合数据流、DMB和LSQ,保留未试,图度分区与near-buffer累加可借，动态事件码不是静态幂律图；排序/搬运不能免费。,完整buffer模式切换、依赖转发和有限队列；给普通GP同样累加器再测混合数据流增量。,https://filedn.com/luEeJVCCazShDlU4ibloXvu/publication/gcn_accel_date25/gcn_accel_date25.pdf；https://csarch.korea.ac.kr/publication/gcn_accel_date25/,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/architecture_followup_20260908.md
R017,稀疏架构与C1/C2,Swift,Swift: High-Performance Sparse-Dense Matrix Multiplication on GPUs,HPCA 2026,本轮作者/出版社/会议一手元数据核验,paper,全文具体方法已读（§IV及V-A/G）,稀疏列与稠密行协调重排、长列拆分,保留布局/尾部组织；未完整移植,GPU合并访存与FP64核速度不能直接转28nm收益；当前W已顺序供数，需真实端口/尾部改善。,原预处理、warp规则/不规则块、局部归并全流程；动态重排须与静态训练通道顺序比较。,https://ranger.uta.edu/~jiang/publication/Conferences/2026/HPCA26_camera_ready.pdf；https://2026.hpca-conf.org/details/hpca-2026-main-conference/42/Swift-High-Performance-Sparse-Dense-Matrix-Multiplication-on-GPUs,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/architecture_followup_20260908.md
R018,稀疏架构与C1/C2,RISCSparse,RISCSparse: Point Cloud Inference Engine on RISC-V Processor,ICCAD 2024,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文具体方法已读（§3.2–4.4/Algo2–3）,mask→compress→计算→scatter与冲突处理,未试；软件/控制边界参考,不能把CPU/Ara预处理免费算进PE；点云索引与固定密集光流网不同，但完整压缩/还原接口值得借。,Ara/Gemmini完整协同、mask压紧、返回scatter和银行冲突；本地只有相关GP控制，不是RISCSparse。,https://www.cse.cuhk.edu.hk/~byu/papers/C232-ICCAD2024-RiscvSubCon.pdf,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/circuit_followup_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/RISCSparse_ICCAD2024_author.txt
R019,稀疏架构与C1/C2,ScanNow,ScanNow: A Scan Window-Based Sparse Matrix Multiplication Accelerator Design,ICCAD 2025,本轮Crossref出版社元数据核验；全文阅读状态单独记录,paper,官方摘要/元数据；未读全文,有限扫描窗的稀疏矩阵执行,保留未试,NR4有限窗口与其方向接近，但未读全文不能确认具体数据结构或差别，更不能凭名称杀本地方案。,全文扫描窗/队列/匹配机制与成本；当前只属于查漏线索。,https://doi.org/10.1109/ICCAD66269.2025.11240912；https://researchportal.hkust.edu.hk/en/publications/scannow-a-scan-window-based-sparse-matrix-multiplication-accelera/,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/circuit_followup_20260908.md
R020,稀疏架构与C1/C2,Buffets,完整题名待核,ASPLOS 2019,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文具体方法已读（§4.1–4.4）,有限多播、生产消费解耦、Fill/Read/Update/Shrink,信用/完成/回收原则已借；完整结构未迁,多消费者完成不能用一个FIFO有效位替代；已用于审查真实返回所有权与最后消费后回收。,完整多播信用、共享物理RAM端口分配与可配置buffer实现；局部ready/valid不是完整Buffets。,https://cwfletcher.github.io/content/research/2019.asplos.buffets.paper.pdf,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/finite_broadcast_pruning_notes_20260908.md
R021,稀疏架构与C1/C2,Generalized On-Chip Communication,完整题名待核,arXiv 2024,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,原文§2–3已读,消费者请求驱动burst与多播完成,控制参考；未完整移植,主要是通信原型，不能冒称某会议计算加速器；可支持NRV同k-ID完成控制。,完整控制/数据通道、burst保留与有限接收信用；当前GP切片不是原通信网络。,https://arxiv.org/html/2407.04182v1,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/finite_broadcast_pruning_notes_20260908.md
R022,稀疏架构与C1/C2,Avalanche,Avalanche: Optimizing Cache Utilization via Matrix Reordering for Sparse Matrix Multiplication Accelerator,ISCA 2025,本轮Crossref出版社元数据核验；全文阅读状态单独记录,paper,全文已读（§4–6；当前作者PDF链接404不撤销旧阅读）,ROD顺序、DP-Evict、RM-Caching与RAW调度,完成调度参考；训练生存期候选未完成,早完成/last-use回收原作已完整做过；本网络S最后更新后还要同加法器完成T10/背压，不能立即释放。；条件变化：允许训练共同C16后依赖图可改变；需对普通完成排序给同能力。,原ROD维护/缓存/调度全迁；让训练依赖形成短生存期的联合结构尚无净硬件结果。,https://doi.org/10.1145/3695053.3730990,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/sparsity_transfer_followup_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/sparsity_candidate_review_20260908.md
R023,稀疏架构与C1/C2,HighLight,HighLight: Efficient and Flexible DNN Acceleration with Hierarchical Structured Sparsity,MICRO 2023,已核出版商 DOI 元数据；不等于原文精读,paper,旧AI列过；后续全文§4–6精读 / 本地研究记录已读；阅读深度见 status,G:H层次结构稀疏、VFMU与跨级跳过 / 层级结构稀疏硬件底座,分层格式/元数据纳入强控制；完整原法未迁 / 原文 §4–6 已读；未迁入完整硬件,无结构激活压缩/门控不等于周期跳过；本地必须保留真实源×W求交。普通层次掩码不能作新机制。；条件变化：早期不许改W的前提已解除，分层剪枝适用性应重评；但普通hidden50很强。 / 层级 mask、压缩表示及支持多种稀疏结构应作为强实现；本地行 2:4 不代表完整 HighLight。,完整训练层次约束、VFMU/不对齐取数和硬件结构；本地C16+2:4只是受限控制。 / 完整编码/解码、稀疏数据路由和资源匹配；与实际卷积广播及神经元消费者联合排程,https://emze.csail.mit.edu/documents/2023.10.micro.highlight.pdf；https://doi.org/10.1145/3613424.3623786,/home/zhumd/work/ideafromai/research/01_ann_sparsity_mechanisms.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/finite_broadcast_pruning_notes_20260908.md；/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/sparsity_transfer_followup_20260908.md
R024,稀疏架构与C1/C2,TB-STC,完整题名待核,HPCA 2025,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文已读（§III/V/VI）,块内N:M方向/比例可变、两级元数据与归并,完整方法保留；仅粗块/方向原则借鉴,不能把合法投影掩码移过来就省略训练、压缩队列和块内可配置归约；它不保证广播组同掩码。；条件变化：新学生可剪枝，但物理字与共享请求群需要重新映射。,完整训练/两维格式/动态队列及归约；对本地实际源字并集而非nnz目标的训练尚未形成优势。,https://chenzhangsjtu.github.io/files/2025-HPCA.pdf,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/finite_broadcast_pruning_notes_20260908.md
R025,稀疏架构与C1/C2,Uni-STC,完整题名待核,HPCA 2026,已有本地笔记称此会议/年份；本轮未重新一手核验，不能仅由DOI年份推刊期,paper,全文已读（§IV-A–D/图8–13）,BBC/TMS/DPG任务匹配、细任务拼接及局部归约,保留；未移植,"通用双稀疏任务网络不能免费塞进已较便宜的GP；不同(p,h,class)状态与完整T10消费需保留。",完整两级bitmap、排序/任务队列、SDPU拼接与冲突仲裁；现有mode2 pre-request mask不是完整Uni-STC。,https://www.ssslab.cn/assets/papers/2026-lian-UniSTC.pdf,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/sparsity_transfer_followup_20260908.md
R026,稀疏架构与C1/C2,CRISP,CRISP: Hybrid Structured Sparsity for Class-aware Model Pruning,DATE 2024,已核官方会议论文/期刊页或论文首页,paper,全文已读（§III/算法1/图6） / 本地研究记录已读；阅读深度见 status,粗块+N:M、梯度权重打分、等负载Blocked-ELLPACK / 混合结构稀疏与类别感知剪枝先验,结构剪枝强先验；未完整迁移 / 原文已读；未实施完整方法,不能仅迁W²粗掩码冒充完整CRISP；本地C16变体输hidden50/强普通分组不否定其训练流程。 / 用于说明组掩码、混合结构与类别信息已有体系；本地光流连续回归没有直接分类标签。,梯度目标、渐进微调、两级索引/导航和负载均衡完整方法；需光流及实际FC2消费误差。 / 把真实流场误差/区域重要性作为训练目标；完整 hybrid pruning 与恢复训练、硬件输出归并,https://past.date-conference.com/proceedings-archive/2024/DATA/45_pdf_upload.pdf,/home/zhumd/work/ideafromai/research/hardware_innovation_20260908/literature/sparsity_transfer_followup_20260908.md
