W0241	SpiDR	arXiv 2024 || arXiv 作者	SNN、神经元与事件光流 || circuit	0	完整脉冲/膜编码、稀疏供数和当前任务迁移未试。 || 零跳过语义迁到数字稀疏执行
W0248	FPGA event vision survey	DSD / arXiv 2024 || ar	SNN、神经元与事件光流 || arXiv增量|all:sp	1	FPGA/SoC事件处理图谱：滤波→光流/立体→经典与SNN-AI检测跟踪——边侧事件加速对照轴与空白区定位（借入≠X；综述）。 || FPGA/SoC 事件处理图谱：滤波→光流/立体→经典与 SNN-AI——边侧事件加速对照轴（借入≠X；综述）。详见 idea_cards/arxiv_2407.0
W0255	Lele fused frame-event optical flow	ISCAS 2022	SNN、神经元与事件光流	1	无全文不可继承
W0262	ASNA-Flow	IEEE Transactions on V	SNN、神经元与事件光流 || event	1	无全文不可继承
W0269	Neuro-CIM JSSC extension	IEEE JSSC 2023	SNN、神经元与事件光流	1	无全文不可继承
W0288	DeltaCNN	CVPR 2022 || CVPR 2022	SNN、神经元与事件光流	0	作者全链与稀疏误差训练未迁移；当前1.529×工作、约295MB连续基值的具体精确版停止。
W0296	Tambe Sparse Transformer Processor	ISSCC 2023	电路与芯片	1	稀疏 Transformer 处理器数据流与 token/注意力稀疏硬件接口。
W0303	QNAP / EWC / ECP	ISSCC 2021；JSSC 2022（D	电路与芯片	0	真实量化W重复值、完整EWC归约成本、训练补偿与PSN阈值消费者。
W0312	Envision	ISSCC 2017	电路与芯片	0	全控制环与本网络精度预算尚未迁移。
W0319	FlexSpIM	ISCAS 2025	电路与芯片 || circuit	1	按层选驻留（权vs膜）+任意operand shaping——有限RF谁该驻留对照（借入≠X）。
W0326	Khwa Binary SRAM CIM	ISSCC 2018	电路与芯片	0	未完整读取/迁移。
W0333	VD56G3_onsensor_OF	arXiv 2023	snn_flow	1	传感器内 FAST/BRIEF 稀疏特征匹配出运动向量——片上光流前端与稀疏向量服务对照（借入≠X）。
W0340	Spike_Firing_Approx_V3	arXiv 2024	snn_flow	0	-
W0347	ISSCC22_UED_SNN	ISSCC 2022	circuit	1	无全文不可继承
W0354	HiNM	arXiv 2024	sparsity	0	完整HiNM输入重排/OBS补偿/Hard Concrete；迁到昂贵patch挂点
W0361	DeltaCNN	待核	sparsity	0	ASIC候选映射
W0368	USEFUSE	journal (待核) 2025	circuit	0	-
W0375	Wang_ISSCC22_ApproxTransformer	ISSCC 2022	attention	0	-
W0382	Prophesee_Sony_EVS_ISSCC20	ISSCC 2020	event	0	-
W0389	patch_row34_temporal_structure	local_experiment 2026	snn_flow	0	改变空间P/混合Y-U/热权重用的完整链同预算
W0396	BNFF_AVP_DavisArel	multiple 2019	other	0	-
W0458	Inference-Time Gaze Refinement for Micro-Expr	arXiv 2025	arXiv增量|all:spiking AND all:op	1	事件瞳孔轨迹推理期：运动感知中值抑眨眼尖峰 + 局部光流邻域纠偏——模型无关后处理稳定合同对照（借入≠X）。
W0465	SCSim: A Realistic Spike Cameras Simulator	arXiv 2024	arXiv增量|all:spiking AND all:op	1	尖峰相机电路级噪声建模 + 渲染→积分重置→尖峰流 + SNEE——尖峰传感前端数据合同与仿真供数对照（借入≠X）。
W0472	Anti-Gravity Walking by a Flying Humanoid Rob	arXiv 2026	arXiv增量|all:spiking AND all:tr	1	飞行人形反重力步行：推力率输入WB-MPC保接触切换推力连续 + 法向力下界负载转移 + CWC软约束——相对直接推力输入致尖峰的机器人控制旁路（借入≠X；离主岛）。
W0479	SpikeDS: Dual Sparsity Spikformer for Perineu	arXiv 2026	arXiv增量|all:spiking AND all:tr	1	双稀疏尖峰Transformer：发放率引导窗剪枝∥W-EMSA头专家门控 + 非对称CW-SSA(Q自活跃/KV全窗)——激活稀疏与空间稀疏复合对照（借入≠X）。
W0486	BIDENT: Heterogeneous Operator-level Mapping 	arXiv 2026	arXiv增量|all:spiking AND all:tr	0	Modern edge System-on-Chips (SoCs) integrate heterogeneous processing units (PUs) such as CPUs, GPUs, and NPUs, yet current inference stacks map entir
W0493	Encoding and Decoding Temporal Signals with S	arXiv 2026	arXiv增量|all:spiking AND all:tr	1	尖峰带通小波：差分低通尺度空间得DoE/DoT带通 + LIF量化 + 可证框架界重建——因果稀疏时间编码与非因果Morlet对照（借入≠X）。
W0500	Otters: An Energy-Efficient SpikingTransforme	arXiv 2025	arXiv增量|all:product AND all:sp	1	光TFT物理衰减+动态阶梯阈实现TTFS；1-bit K/V使TTFS注意退化为加/减——光电TTFS Transformer与无损量化转换对照（借入≠X）。
W0507	Training for temporal sparsity in deep neural	arXiv 2021	arXiv增量|all:product AND all:sp	1	训练诱导时间差分稀疏（Δ激活）并铸成空间稀疏——时间打包/半步检查点的可训稀疏底座（借入≠X）。
W0514	NeuraChip: Accelerating GNN Computations with	arXiv 2024	arXiv增量|all:Gustavson AND all:	1	哈希解耦空间加速：Gustavson式聚合 + 哈希引擎常数时间累加部分积 + 滚动驱逐——GNN稀疏–稀疏供数与部分和生存期对照（借入≠X；联读Flexagon/GROW）。
W0521	LC-Flow: Learning Local Continuous Optical Fl	arXiv 2026	arXiv增量|all:event-based AND al	0	Event cameras capture brightness changes asynchronously with microsecond resolution, yet existing optical flow methods fail to fully exploit this temp
W0528	Machine Learning Tools for the IceCube-Gen2 O	arXiv 2025	arXiv增量|all:event-based AND al	0	Neural networks (NNs) have a great potential for future neutrino telescopes such as IceCube-Gen2, the planned high-energy extension of the IceCube obs
W0535	Unsupervised Joint Learning of Optical Flow a	arXiv 2025	arXiv增量|all:event-based AND al	0	Event cameras rely on motion to obtain information about scene appearance. This means that appearance and motion are inherently linked: either both ar
W0542	Accelerating CRONet on AMD Versal AIE-ML Engi	arXiv 2026	arXiv增量|all:conditional AND al	0	Topology optimization is a computational method used to determine the optimal material distribution within a prescribed design domain, aiming to minim
W0549	Privacy preserving layer partitioning for Dee	arXiv 2024	arXiv增量|all:conditional AND al	0	MLaaS (Machine Learning as a Service) has become popular in the cloud computing domain, allowing users to leverage cloud resources for running private
W0556	SoCRATES: System-on-Chip Resource Adaptive Sc	arXiv 2021	arXiv增量|all:conditional AND al	0	Deep Reinforcement Learning (DRL) is being increasingly applied to the problem of resource allocation for emerging System-on-Chip (SoC) applications, 
W0563	Partition the Support, Reconstruct the Residu	arXiv 2026	arXiv增量|all:sparse AND all:acc	0	Training-free block-sparse attention can accelerate video transformers, but row-wise attention concentration does not by itself specify an executable 
W0570	MatCreatioNN: Machine learning-guided computa	arXiv 2026	arXiv增量|all:sparse AND all:acc	0	The rational design of photocatalysts for environmental remediation and CO2 conversion remains limited by the high computational cost and sparse exper
W0577	Realizable N:M Sparse Transformer Inference v	arXiv 2026	arXiv增量|all:sparse AND all:acc	1	可实现N:M推理共设计：Micro-Dense把N:M落成MMA规整瓦片 + 打包解码 + 规则驱动SplitK + 延迟LUT层间搜索——相对FLOPs代理与不规则SpMM的可部署对照（借入≠X）。
W0584	Layerwise Tunable Lifting Scheme for the Conv	arXiv 2026	arXiv增量|all:lifting AND all:sc	0	This work introduces a family of tunable lifting schemes for biorthogonal wavelet filter banks. We propose three lifting strategies: low-pass tuning (
W0591	SACK : Safe Active Continual Koopman Learning	arXiv 2026	arXiv增量|all:lifting AND all:sc	0	Koopman operator theory provides a powerful framework for representing nonlinear dynamics through a linear operator acting on lifted observables, enab
W0598	Multimodal Spiking Neural Network for Space R	arXiv 2025	arXiv增量|all:lifting AND all:sc	0	This paper presents a multimodal control framework based on spiking neural networks (SNNs) for robotic arms aboard space stations. It is designed to c
W0605	Self-tuning moving horizon estimation of nonl	arXiv 2024	arXiv增量|all:lifting AND all:sc	0	In this paper, we propose a physics-informed learning-based Koopman modeling approach and present a Koopman-based self-tuning moving horizon estimatio
W0612	Lonic: Algorithm-Hardware Co-Design for Energ	arXiv 2026	arXiv增量|cat:cs.AR AND all:spik	1	全局部在线SNN训练共设计：INT4/三GEMM量化流+sWCTT + 可重构无乘法整型PE(0/1/2) + DCOM尖峰∩权零门控 + TPA跨时步FWD/BWD/WU并行 + INT权片外搬运——相对BPTT/FP训练与稠密PE的训练侧效率对照（借入≠X）。
W0619	VQ4SNN: Vector Quantization for Memory-Effici	arXiv 2026	arXiv增量|cat:cs.AR AND all:spik	1	FPGA SNN权向量量化：指针∥共享码本两级存储 + 交错执行消多端口 + 分析选(d,k)——片上BRAM压缩与稠密权表对照（借入≠X）。
W0626	Hardware-Software Co-Design for Event-Driven 	arXiv 2026	arXiv增量|cat:cs.AR AND all:spik	0	Low-cost FPGA platforms can broaden access to neuromorphic systems research, but current spiking neural network (SNN) workflows remain divided between
W0633	You Only Charge Once 2.0 : A End-to-End Analo	arXiv 2026	arXiv增量|all:bit-serial AND all	0	Analog Computing-in-Memory (ACiM) accelerates deep neural networks by keeping weights inside memory arrays and executing dot products in the analog do
W0640	A Flexible Precision Scaling Deep Neural Netw	arXiv 2025	arXiv增量|all:bit-serial AND all	0	Deploying mixed-precision neural networks on edge devices is friendly to hardware resources and power consumption. To support fully mixed-precision ne
W0647	AGNI: In-Situ, Iso-Latency Stochastic-to-Bina	arXiv 2023	arXiv增量|all:bit-serial AND all	0	Recent years have seen a rapid increase in research activity in the field of DRAM-based Processing-In-Memory (PIM) accelerators, where the analog comp
W0654	Practical Threshold-based Tree Edit Distance 	arXiv 2026	arXiv增量|all:structured AND all	0	Threshold-based similarity search over tree-structured data using tree edit distance (TED) is computationally intensive. Given a query tree and a data
W0661	ReCache: Efficient KV Cache Reuse and Compres	arXiv 2026	arXiv增量|all:structured AND all	0	Agentic language models repeatedly encode tool and skill schemas that recur across requests in different combinations and orders, preventing standard 
W0668	WIDE: Boosting Adaptive LLM Inference via Tok	arXiv 2026	arXiv增量|all:structured AND all	0	Pruning is a promising approach for improving the efficiency of LLMs. Existing static structured pruning methods are hardware-friendly and can deliver
W0675	GES-TSP: Graph Edge Sparsification for TSP	arXiv 2026	arXiv增量|all:structured AND all	0	Solving large-scale instances of the Traveling Salesman Problem (TSP) exactly is computationally expensive. Researchers often employ graph sparsificat
W0682	TB-STC	HPCA 2025	稀疏架构与C1/C2	0	完整训练/两维格式/动态队列及归约；对本地实际源字并集而非nnz目标的训练尚未形成优势。
W0689	SpikeSim / SpikeFlow	IEEE TCAD（旧表称） 2023	稀疏架构与C1/C2	0	核具体论文与工具、阵列模型/映射误差；本地无同精度全链迁移。
W0696	EVA²	ISCA 2018	稀疏架构与C1/C2	0	原预测/恢复/状态全链，真实因果运动来源；不得用外喂光流当免费预测。
W0703	样本自适应动态神经元剪枝	CICC 2025 || CICC 2025		0	尚未尝试： 全套原作策略及当前 T10 适配。缺正文不是机制失败，也不据题名认定它已覆盖我们的全部想法。 || ["pruning 输入/阈值/校准", "剪枝发生在神经元/时间/权重请求/突触中的哪个边界", "精确/有损与恢复", "稀疏索引和存储组织", "T10/θ/τ/BN"]
W0710	Monarch: Expressive Structured Matrices for E	ICML 2022		0	
W0719	ReckOn	ISSCC 2022，28 nm 芯片		0	
W0727	OS-CIM	CICC 2025		0	尚未尝试： 全文的跳权窗口、控制、位宽及误差策略；当前 PSN 图中有符号和未来依赖的适配。暂不引入定制 SRAM 宏。
W0734	A 1-TFLOPS/W, 28-nm Deep Neural Network Accel	CICC 2024		0	| **A 1-TFLOPS/W, 28-nm Deep Neural Network Accelerator Featuring Online Compression and Decompression and BF16 Digital In-Memory-Computing Hardware**
W0741	C-DNN	ISSCC 2023		0	- **C-DNN: A 24.5–85.8TOPS/W Complementary-Deep-Neural-Network Processor with Heterogeneous CNN/SNN Core Architecture and Forward-Gradient-Based Spars
W0748	ALSCA	IEEE Transactions on C		1	题名明确 position-first dataflow 和 input-channel merging；合并规则、硬件实现及是否数值合并尚未核，不能把题名扩写成已读机制。
W0755	Finch	PACMPL 9 OOPSLA1 2025 	Structured tensor compiler / n	1	用结构化格式与控制流表达稀疏及重复/默认值张量，允许对结构进行编译。
W0762	LowRank-SSM	arXiv 2026 预印本	Low-rank / intermediate reside	1	低秩两段MVM、片上z及LR/FR路径；作者用双口LUTRAM。
W0769	SpikeStream: Accelerating Spiking Neural Netw	DATE 2025	September12 bounded literature	0	Sparse-position extraction, SpVA kernels, FP16/FP8 toolchain, Snitch RTL/cycle simulation not ported.
