file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
os_Gemmini.md,Gemmini,Gemmini开源脉动阵列生成器,默认脉动数据流不含θg/T10双消费者与NRV；生成配置≠同资源加速,无标题级 X,手工systolic、NVDLA类卷积引擎、当前GP切片与稠密默认路径,开源仓级非论文全文；无residual PSN接口映射,保留对照；脉动生成器只作阵列分母，配置通过≠同资源加速,1,2,card only; 已逐字读卡，名称或摘录不计全文
os_MAESTRO.md,MAESTRO,MAESTRO数据流分析器,层内数据流模型不含SNN时间维/spike/NRV与finite背压,无标题级 X,手工映射、Timeloop/LoopTree、ordinary dense占用,开源仓级非论文全文；稀疏索引与逐步RNE需扩模型,保留对照；数据流分析工具不产生跨消费者增量，不把roofline当周期,0,2,card only; 已逐字读卡，名称或摘录不计全文
os_NVDLA.md,NVDLA,NVDLA开源CNN推理加速器,CNN卷积引擎假设≠T10 PSN残差链；开源RTL PPA≠本任务same-port,无标题级 X,稠密CNN默认路径、Gemmini、当前GP与普通量化MAC,开源仓级非论文全文；无膜/时间步语义,保留对照；开源CNN引擎只作平台参照，禁止搬其PPA当净服务,1,1,card only; 已逐字读卡，名称或摘录不计全文
os_SPARSEBACKBONE_OF.md,SPARSEBACKBONE-OF,稀疏/事件光流训练代码族（Spike-FlowNet等）,训练仓库精度≠same-port执行合同；hybrid累计交ANN与当前θg连续链不同,无标题级 X,原hybrid全流程、全ANN稀疏、当前lifting40与普通减宽,软件栈≠净服务；未核具体仓库版本/调用,保留对照；训练代码族只保证任务对照强度，不得当硬件X,0,2,card only; 已逐字读卡，名称或摘录不计全文
os_SparseDNN_accel_survey_repos.md,SparseDNN-accel-survey-repos,稀疏DNN加速器开源RTL/仿真镜像族（SCNN/Eyeriss风格）,镜像汇总不产生本地X；计费口径未必对齐same-port,无标题级 X,逐篇原始加速器与真实同资源实现、普通压缩/稠密路径,汇总器件/延迟不可拼成一套实现；仓级非论文全文,保留对照；镜像索引不能拼成一套same-port实现或标题X,0,1,card only; 已逐字读卡，名称或摘录不计全文
os_Taming_Event_Cameras.md,Taming-Event-Cameras,Contrast Maximization序贯事件光流开源实现,自监督CM目标/灰度合同与当前DSEC valid825 AEE主评不同；实现仓≠方法闭环,无标题级 X,原T10体素、计数加时间戳、同GT/自监督预算与普通历史窗口,开源仓级非论文全文；未映射residual PSN,保留对照；CM序贯光流只作训练对照，不得用其指标替代valid825 AEE,1,2,card only; 已逐字读卡，名称或摘录不计全文
os_Wanda.md,Wanda,Wanda权幅值×激活剪枝工具,LLM权剪枝目标≠双消费者物理源字；半权非零源bank字可仍全部命中,无标题级 X,幅度剪枝、SparseGPT/2:4、同GT恢复与普通减宽,开源仓级非论文全文；官方调用/校准未核,保留对照；剪枝工具只作F1强控制，不能替物理字计费或当标题X,1,3,card only; 已逐字读卡，名称或摘录不计全文
os_finn.md,finn,FINN量化NN FPGA数据流编译器,FPGA LUT/DSP资源≠ASIC same-port；量化数据流不含T10双消费者,无标题级 X,手写定点、普通FPGA DSP、同数值QAT与稠密默认路径,开源仓级非论文全文；自定义PSN算子fallback未核,保留对照；FPGA数据流编译器不可把LUT当免费ASIC单元或标题X,0,2,card only; 已逐字读卡，名称或摘录不计全文
os_sparseml.md,sparseml,SparseML/Neural Magic稀疏训练工具,训练器可复用但不提供此PSN执行合同；结构mask不保证真skip,无标题级 X,实际2:4/结构mask、普通dense同恢复预算与手工剪枝,软件栈≠净服务；版本/执行实现未核,保留对照；稀疏训练工具只固定mask权限，不得当标题X,0,3,card only; 已逐字读卡，名称或摘录不计全文
os_spike_flow_net.md,spike-flow-net,Spike-FlowNet及相关事件光流开源仓族,SNN编码器累加后交ANN与当前θg/T10连续链不同；仓库≠论文全文,无标题级 X,原hybrid全流程、全ANN稀疏、当前低秩连续链与普通累计前端,开源仓级非论文全文；累加器宽度与时间不可逆压缩未接本地,保留对照；开源仓不能解释为完整混合底座或硬件X,1,2,card only; 已逐字读卡，名称或摘录不计全文
os_vLLM.md,vLLM,vLLM paged attention serving调度/反压类比,LLM serving调度≠芯片执行合同；serving指标禁止替代AEE/净服务,无标题级 X,无分页稠密注意力、手工调度与普通软件核,禁止当芯片证据；无residual PSN映射,旁路低适配；F7旁路，serving调度不得当芯片反压或标题X,0,1,card only; 已逐字读卡，名称或摘录不计全文
os_xformers.md,xformers,xformers memory-efficient attention实现,软件注意力核不进主岛；本地K=0份额有限,无标题级 X,朴素注意力、FlashAttention、稠密QK与普通token稀疏,开源仓级非论文全文；未映射residual PSN,旁路低适配；内存高效注意力实现不进主岛，不得当标题X,0,1,card only; 已逐字读卡，名称或摘录不计全文
