file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
CARD_G_TDE3_TMA_GROKBOT.md|c2s_tma_agg.sv,TMA-Agg,TMA ICCV 2023时密相关+运动对齐lookup,本网无相关体；1D邻域相等计数代替不了TMA；时间lookup不是T10 lifting,无标题级X。按2bit dir取左右邻feat；相等则一致性++；hit_pop≥TH则early_exit。不是ICCV TMA也不是CIM,原TMA GPU；无lookup的滑窗；IDNet无相关体；普通历史warmstart,未接MFBD关键路径；feat 4bit玩具；未进c2s_top；禁止搬ICCV精度,停止该布局作first-HW TMA。1D一致性计数最多支撑织物对照,1,1,card+rtl tb
CARD_H_BISAT_BUI_GROKBOT.md|c2s_bisat_agg.sv,BiSAT-Agg,BAT arXiv:2503.03256双向自适应时相关；VideoFlow；TMA前向基线,TMA-Agg本身已是玩具lookup；再加fwd==bwd相等不是SATMA可变形注意力,无标题级X。agree则融合(fwd+tma)>>1；disagree则tma>>1；边冲突→occ_hint。无反向相关体无deformable attn,FWD_ONLY vs FULL；TMA-only；普通双向平均,feat由TB灌；未进c2s_top；无DSEC；抖动时BAT自承bwd有限,停止该布局作BAT-HW。禁止第四刀洗衣单,1,1,card+rtl tb
CARD_H_BISAT_BUI_GROKBOT.md|c2s_bui_guard_sdsa.sv,BUI-GuardSDSA,PADE HPCA 2026 BUI-GF bit-serial护栏；SOFA MICRO 2024；SpAtten,无独立预测器是PADE卖点；本模块不是bit-serial区间算术只是ub/lb宽+MSB幅度比较,无标题级X。ub<TH则丢；宽≤TH或mag则留；payload_en=keep&hbg_g。无逐bit回合FSM,KEEP_ALL vs BUI；SP/STH质量门；普通top-k,score/ub/lb由TB给；未接真实SDSA；payload仍是提案int8；未进back_pipe,停止该布局作first sparse-attn/PADE移植。幅度护栏可作HBG后级对照,1,2,card+rtl tb
c2s_smam_rp.sv,SMAM-RP,SMAM Mask-Add；Spike-driven Transformer mask+add,C2消融HBG与HBG+SMAM的mac_en同为8；透传加+1计数不是新注意力,无标题级X。mac_en=valid&&spike_gate；mask_add+=1；payload有门则原样通过,原SMAM；纯HBG门；AND-popcount基线,无Mask-Add图案；无额外稀疏；承认inspired-by仍偏命名通胀,停止该布局。双轨故事已被HBG死区掏空,0,1,card+rtl tb
c2s_adp_mac.sv,ADP-MAC,FireFly/BBS比特稀疏条件乘加；普通skip-MAC,FORBID_REORDER只是参数卫生；条件a*b不是微架构,无标题级X。do_mac=mac_en&&!skip_a&&!skip_b；acc+=a*b。skip由端口灌入,单侧skip；稠密MAC；真比特分解,无比特分解器；C2 FULL mac_en 8→4为合成刺激；侧挂c2s_top,停止该布局。禁止把反重排声明写成创新,0,1,card+rtl tb
c2s_arm_acc.sv,ARM-Acc,hARMS多孔径假设累加,多槽累加不触及T10/θg贵段,无标题级X。acc[hyp_sel]+=sext(data),单槽累加；普通banked acc,无假设生成；与TDE3 dir未闭环,旁路低适配。demo级选择累加器,0,1,card+rtl tb
c2s_mfbd.sv,MFBD,普通hyp mux/payload steering；Bishop TTB投递动机,只用bundle[0].hyp_id；tile/dt端口显式未用,无标题级X。lane_valid=1<<hyp0；payload原样广播,按全部bundle投递；直接广播,忽略tile与Δt；非运动束交付,停止该布局,0,0,card+rtl tb
c2s_sth_gate.sv,STH-Gate,Sparse VideoGen空间/时间头分类,分类头≠本网双消费者；阈值阵列不可当调度创新,无标题级X。spat_en=spat_score>TH_SP；temp_en=temp_score>TH_TP；dual/skip为派生,单阈值；SP-Gate；全开,分数由TB给；并行于back_pipe不进HBG路径,停止该布局。胶水使能掩码,0,1,card+rtl tb
c2s_sp_gate.sv,SP-Gate,SpAtten attention-mass门,质量阈值是先验不是洞,无标题级X。run_en=(mass>TH_M)|force,SpAtten全栈；无质量门稠密；普通top-k,mass由TB给；侧挂,停止该布局,0,1,card+rtl tb
c2s_motion_ttb_packer.sv,Motion-TTB,Bishop TTB打包；普通优先编码器/稀疏打包,打包不减少MAC；dt/hyp由端口预置,无标题级X。扫描wake位打包(tile; dt_bin; hyp_id)至MAX_BUNDLES,不打包广播；空窗跳过,未与真实时间束/MFBD闭环；独立评审已标glue,保留对照。打包器可留；停止Motion-TTB创新,0,1,card+rtl tb
18_POST_TDE3_TMA_HARD_KNIVES.md#NL-STMFA,NL-STMFA,E-NMSTFlow ICRA 2025 STMFA+AMFE非线性运动补偿,线性TMA/MW假设匀速是算法文献缺口但不是本网已测贵段,无标题级X。仅端口草图：金字塔prev hidden非线性warp残差。无RTL无训练,原E-NMSTFlow；线性TMA；普通多尺度warp,无RTL；重金字塔/self-attn与当前前馈T10冲突；无AEE,旁路低适配。待核全文可作算法对照；不要为它开Card I,2,1,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#DynDir-Wake,DynDir-Wake,TCAS-I 2025动态方向预测OF FPGA；FlowAcc DATE 2022,frame FPGA已证跳搜索；事件侧未钉也不等于本网T10缺口,无标题级X。pred_dir直方图→PE mask。无RTL,原TCAS-I加速器；OP-STW阈值；TDE3 dir,易搬frame FPS；与OP-STW重复,停止该布局。增强OP-STW的想法不构成新刀,1,1,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#AEC-MatchFB,AEC-MatchFB,EDFLOW TCSVT 2022 ABMOF面积事件数由平均匹配距离闭环,AdaptSlice/EvQ开环是工程缺口但EDFLOW已有闭环；接到SPE/PRRC才是系统级移植,无标题级X。match_dist→aec_target/slice_fire。无RTL,EDFLOW原环；开环固定Tw；普通曝光控制,勿称first event OF FPGA；ABMOF大BRAM；无接网,保留对照。控制环可作工程底座；停止first-HW,1,2,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#BL-VetoPrior,BL-VetoPrior,TrueNorth Barlow-Levick抑制型DS；TDE-3第三突触是不同原语,与TDE3正交的抑制银行是文献差集但TrueNorth已做BL-OF,无标题级X。preferred enhance + null veto。无RTL,TDE3促进型；TrueNorth BL；普通方向抑制,勿称first bio OF HW；无二维实现,保留对照。仅作TDE3消融先验；不进主刀,1,1,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#LZ-SparsePred,LZ-SparsePred,SOFA MICRO 2024 leading-zero log加性稀疏预测,本网无测SDSA分数瓶颈；SOFA已是LLM HW,无标题级X。LZ(q)+LZ(k)近似log|q·k|。无RTL,SOFA全栈；BUI护栏；普通幅度预测,精度损失无DSEC；辅刀自称低于BUI,停止该布局。不要再叠稀疏预测器命名,1,1,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#EvQ-Win,EvQ-Win,EvGNN IEEE TCAS-AI 2024事件邻居队列,几何邻窗管不了attention bit剪枝；也不是T10贵段,无标题级X。idea-stage邻居gather。无RTL,普通ROI窗；BUI；WinTok,Card H已降为消融基线且未实现,停止该布局。不要复活为新top,1,1,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#PredExit-OF,PredExit-OF,ERAFT ISCAS 2025帧FPGA早停；残差<ε halt,当前前馈PSN没有RAFT式可删迭代,无标题级X。binary early-exit。无RTL,固定步；SCI scrub；普通少步头,无自然迭代维；SCI已是其阈值升级仍未接网,停止该布局。条件计算反对先验可留一句,1,0,card only
18_POST_TDE3_TMA_HARD_KNIVES.md#BitHyp-Prior,BitHyp-Prior,EventShiftFlow占用假设打分,占用hyp不管log前导零也不接T10,无标题级X。occupancy hyp。无RTL,TDE3 dir；普通平面拟合,idea-stage；Card H明确不进实现队列,停止该布局,1,1,card only
21_NOVELTY_BOOST_TOP5_FORKA.md#ResHTR-Refiner,ResHTR-Refiner,ResFlow arXiv:2412.09105线性种子+高频残差,TMA/BiSAT种子本身是玩具；再叠HTR残差细化无训练无RTL,无标题级X。seed+noise_tile残差唤醒草图,SEED_ONLY vs FULL；线性TMA；普通残差refine,禁止Card I把G/H再命名；无150Hz AEE,停止该布局。不要实现Card I-B,1,1,card only
21_NOVELTY_BOOST_TOP5_FORKA.md#EDC-ΔFuse,EDC-ΔFuse,EDCFlow arXiv:2506.03512多尺度时间差图,ECP/OGEC已有corr峰；缺的不是又一个Δfeat fuse模块,无标题级X。Δfeat×低分辨corr refine-before-exact草图,CORR_ONLY/DIFF_ONLY；ECP；无相关体IDNet,无RTL；高分辨代价体已禁,停止该布局。不要实现Card I-A,1,1,card only
21_NOVELTY_BOOST_TOP5_FORKA.md#WinTok-CoSparse,WinTok-CoSparse,SAST CVPR 2024场景自适应稀疏Transformer(检测),检测token丢弃不能当稠密光流无损跳过,无标题级X。window×token联合阈值→wake/keep草图,WIN_ONLY/TOK_ONLY；EvQ；BUI,SAST非OF；与OP-STW/ECP阈值同构,停止该布局,1,1,card only
21_NOVELTY_BOOST_TOP5_FORKA.md#AdjEvt-Compress,AdjEvt-Compress,ExSpike相邻位置事件压缩FPGA,压缩输入事件≠省T10 lifting；ExSpike已FPGA,无标题级X。相邻坐标合并进HBG前级草图,BYPASS vs COMPRESS；空窗跳过；ASNA空间局部性,勿称first event-compress FPGA；禁CIM,停止该布局,1,1,card only
21_NOVELTY_BOOST_TOP5_FORKA.md#TID-DeblurLoop,TID-DeblurLoop,IDNet ICRA 2024迭代去模糊无相关体,本网无迭代去模糊环；SCI/PredExit已覆盖早停命名,无标题级X。deblur→Δflow→warm-start FSM草图,NO_DEBLUR vs ID vs TID；SCI；固定种子,无RTL；勿搬Jetson时延；MVSEC弱点未处理,停止该布局。Card I-A不要开,1,1,card only
grok46_20260905/02_ranked_mechanisms.md#MX3P,MX3P,FireFly-T AND-PopCount作QK项；α-XNOR SSA；ITA整数round leaf,Motion-XOR三popcount是二值注意力岛；本刊ATLIF必须连续θg故算术对象错误,无本刊X。pop(Q∧K)+pop(K⊕K_peer)+pop(co-silence)→Q7。grok46 Rank1,FireFly-T基线；普通QK MAC；连续θg SDSA,冻结身份是连续幅值不是二值Q/K；无本树RTL；系统占比可能leaf,停止该布局。杀的是本刊二值岛不是家族永远禁谈,2,0,card only
grok46_20260905/02_ranked_mechanisms.md#temporal-peer-dirty-lane,temporal-peer dirty-lane,CICC 2026 DLSS时间相似跳层；CBinfer/DeltaCNN重算变化激活,与MX3P同一岛；连续θg下静默token仍进归一化/消费者,无本刊X。dirty=OR(Q_t⊕Q_{t-1}; K_t⊕K_{t-1})；干净则复用Q7。grok46 Rank4,行级dirty vs token级；K-zero门；普通Δt跳过,ep35 P0单向样本；整行Shiftmax分母可能把97%相等打穿；无ep34复测,停止该布局。依附MX3P一并停,2,0,card only
grok46_20260905/02_ranked_mechanisms.md#LoAS-FTP-as-fabric,LoAS-FTP-as-fabric,LoAS MICRO 2024全时间并行内积+CSF纤维,只可作MX3P执行织物不可当标题；本刊无二值纤维,无本刊X。T=2注意力纤维与T=10神经元纤维分装。grok46 Rank2,LoAS原GEMM join；普通时间展开；连续θg MAC,双稀疏权非冻结身份；依赖已杀二值岛,停止该布局。织物级借用等有连续θg映射再议,1,0,card only
grok46_20260905/02_ranked_mechanisms.md#mixed-horizon-binary-ATLIF,mixed-horizon binary ATLIF,Spike-driven Transformer下游加不乘；Chen Spike-IAND-Former T mux；膜私有发放公有,直接与连续θg冲突；膜内T=10防火墙把幅值留在岛内等于改任务身份,无本刊X。岛界1bit fire；注意力T=2见二值流。grok46 Rank3,连续θg直出；官方ATLIF；普通T展开,ep35 profile二值≠论文身份；会把C1精确积对象砍错,停止该布局。ATLIF保持连续θg不可谈判,1,0,card only
grok46_20260905/02_ranked_mechanisms.md#Bishop-ECP-bound,Bishop-ECP-bound,Bishop ECP用活动度界S=QK^T而不算S；AAC=AND+accumulate,界依赖二值Q/K；连续θg下活动度不能无损界住分数,无本刊X。用popcount代理界overlap+same_zero+motion_xor。grok46 Rank5,算满S；FACT skip；普通活动门,BSA/ECP训练会解冻；仅推理无损需证明,停止该布局。可作二值岛消融不是本刊刀,1,0,card only
