file,title,mechanism_A,network_gap_B,candidate_increment_X,strong_control,missing_assumption_or_evidence,decision_and_reason,novelty_potential_0to4,fit_0to4,evidence_depth
unresolved_LUT_DLA.md,LUT-DLA LUT-based deep learning accelerator (CCM/IMM/LUTBoost),仅题名查表加速器及CCM/IMM/LUTBoost缩写；无表生成消费细节,本卡未证明编码器与宽表是否吞掉本地省乘,无标题级 X,完整LUT-DLA流程、普通量化MAC与CSE,本卡无全文；同包LUT_DLA.md已核但不沿用到此未核卡；冷填表未接,待核全文；缩写清单不是可抄全A，不因别名重复计查表底座也不立X,0,2,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
unresolved_Liu_optical_flow_FPGA_TCAS_I_2025.md,An Ultra-High Performance and Scalable Optical Flow Hardware Accelerator Based on FPGA for Autonomous Driving,仅题名自动驾驶FPGA光流加速器；无算法与存储层次,帧相机稠密流硬件不能直接当事件SNN下界,无标题级 X,同精度FPGA光流全链与当前coarse父,全文未迁；输入是否事件未知；未接θg/T10；库存TCAS-I DOI不等于已读,待核全文；题名不能抄全光流硬件A，也不得用FPGA吞吐替代本网同资源服务,1,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_MFPSN.md,Multiplication-free channel-wise Parallel Spiking Neuron,题名级通道并行无乘法PSN；无神经元方程或编译细节,通道独立时间核可能对照lifting共享结构但卡未证明A不够,无标题级 X,完整MFPSN、sliding/masked PSN、普通低秩与当前T10,本卡无全文；同包arxiv_2501.14490不沿用为这张卡的抄全A；训练与双消费者未接,保留对照；通道无乘PSN可作神经元强控制但非标题X；本卡仍未抄全机制不得宣称已迁,1,3,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
unresolved_NullHop.md,完整题名待核；NullHop,无完整题名也无机制A,卡不能陈述稀疏CNN相对本网的洞,无标题级 X,普通稀疏卷积、零跳过与当前GP供数,题名待核；全文未迁；与DVS演示卡是否同一加速器未消歧,待核全文；不完整标题不能命名先验A，禁止把NullHop简称当已精读,0,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_Parallel_Time_Batching.md,Parallel Time Batching for Spiking Neural Network Accelerators,题名级时间维并行批处理数据流；无PE膜驻留与批边界细节,T10非因果消费下时间批是否仍省状态未由本卡证明,无标题级 X,串行时间步、完整时间批与GustavSNN CPTB同资源,全文未迁；HPCA2022正文未核；与CPTB异同未抄；消费者未接,保留强底座；时间并行批是可命名的数据流先验但非标题X，本卡未抄全不得直接当已迁执行,1,3,card only; 已逐字读卡，名称或摘录不计全文
unresolved_QP_SNN.md,QP-SNNs: Quantized and Pruned Spiking Neural Networks,题名级联合量化与剪枝；无通道计分或恢复流程,普通压缩后连续权图与双消费者仍可能贵,无标题级 X,完整量化后剪枝、普通N:M/hidden与同GT窄稠密,本卡无全文；量化剪枝判据是否服务θg未知；训练未做；同资源未比,保留对照；联合量化剪枝可作普通压缩强控制但非标题X，本卡未抄全不得把脉冲剪枝当θg证书,1,2,card only; 已逐字读卡，名称或摘录不计全文
unresolved_SATO.md,SATO: Spiking Neural Network Acceleration via Temporal-Oriented Dataflow and Architecture,仅题名时间导向数据流；无时间并行或累加细节,时间向执行或可对照T10但卡未证明A不够,无标题级 X,普通时间串行、时间并行批与稀疏供数同资源,全文未迁；预印链接不等于本卡已读；是否只服务二值脉冲未核,待核全文；时间导向四字不能当完整先验A，不得与Parallel Time Batching混称为已迁底座,1,2,card only; 已逐字读卡，名称或摘录不计全文
unresolved_SNNIM.md,SNNIM: A 10T-SRAM based Spiking-Neural-Network-In-Memory Architecture with Capacitance Computation,仅题名10T-SRAM电容计算存内SNN；无阵列接口,卡未给出数字θg路径下的对照洞,无标题级 X,普通数字MAC与完整存内宏同精度,全文未迁；电容计算与ADC税未计；未接连续θg,旁路低适配；电容存内SNN未提供θg连续路径控制，CIM不得当主贡献,0,0,card only; 已逐字读卡，名称或摘录不计全文
unresolved_STELLAR.md,STELLAR: Few-Spikes neuron with spatiotemporal Row-Stationary dataflow,仅题名少脉冲神经元与时空行驻留；无神经元方程,少脉冲输出与连续θg合同冲突且卡未给连续控制,无标题级 X,普通LIF/PSN、row-stationary与完整少脉冲神经元同AEE,全文未迁；与另一STELLAR题名不完全一致；未接双消费者,旁路低适配；题名Few-Spikes未提供θg连续路径控制，不得当主神经元贡献,0,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_Spike_CIM.md,Spike-CIM sparsity-adaptive charge-domain IF,仅题名稀疏自适应电荷域积分发放CIM；无宏电路A,电荷域IF不能直接服务连续幅值消费者,无标题级 X,普通数字稀疏IF与完整电荷域宏,全文未迁；转换噪声与精度未核；未接θg,旁路低适配；电荷域CIM加脉冲IF未给θg连续路径，空泛CIM不得当主贡献,0,0,card only; 已逐字读卡，名称或摘录不计全文
unresolved_SpinalFlow.md,SpinalFlow: An Architecture and Dataflow Targeting Spiking Neural Networks,仅题名面向SNN的架构与数据流；本卡无调度细节,SNN数据流可能是对照但卡未证明对本网不够,无标题级 X,普通时间串行、稀疏跳零与当前GP同资源,全文未迁；输入输出是否二值未由本卡陈述；消费者未接,待核全文；不能从SNN数据流题名抄全A，也不得发明时序跳零机制,1,2,card only; 已逐字读卡，名称或摘录不计全文
unresolved_TDE_3.md,TDE-3: improved prior for optical flow in SNNs,题名级SNN光流改进运动先验；无探测器方程,局部方向先验可能补事件运动但卡未证明能减昂贵patch,无标题级 X,TDE-2、普通局部相关与相同稠密后端,本卡无全文；同包TDE-3实名卡不沿用为这张卡的抄全A；未接入valid825,保留对照；TDE运动先验可作算法旁路对照但非标题X，本卡未抄全不得纳入硬件收益,1,1,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
unresolved_Tu_Bitline_Transpose_CIM_Transformer.md,A 28nm 15.59µJ/Token Full-Digital Bitline-Transpose CIM-Based Sparse Transformer Accelerator with Pipeline/Parallel Reconfigurable Modes,仅题名位线转置CIM稀疏Transformer；无银行与流水细节,卡未说明CIM转置如何服务连续PSN消费者,无标题级 X,显式转置缓冲、普通bank交错与数字CMVM同端口,全文未迁；与unresolved_Tu_ISSCC22卡同芯片线索；µJ/Token不可搬；未接θg,旁路低适配；题名CIM稀疏Transformer未提供θg连续路径控制，不得以宏名引申数字X,0,1,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
unresolved_Ultra_Flow.md,Ultra-Flow FPGA optical flow,无完整题名也无机制A,卡不能陈述FPGA光流相对本网的洞,无标题级 X,同精度FPGA光流与当前网络,题名过短；全文未迁；库存FPL DOI不等于本卡已读；输入传感未核,待核全文；简称不能命名完整先验A，不得当事件SNN光流硬件下界,0,1,card only; 已逐字读卡，名称或摘录不计全文
unresolved_Xpikeformer.md,Xpikeformer: hybrid AIMC + stochastic spiking attention,仅题名混合AIMC与随机脉冲注意力；无SSA细节,随机比特注意力未给出连续θg控制,无标题级 X,全数字spike注意力、AND-popcount与普通softmax,本卡无全文；同包Xpikeformer实名卡不沿用为这张卡的抄全A；模拟交叉棒未接,旁路低适配；AIMC加随机脉冲注意力未提供θg连续路径控制，不得当主贡献,0,0,card only; 已逐字读卡，同包实名卡不沿用为这张未核卡的全文证据
