uid,name,full_title,venue,entity_type,category,depth_bucket,read_flag,inventory_origin,status,source_url
MAIN-R019,ScanNow,ScanNow: A Scan Window-Based Sparse Matrix Multiplication Accelerator Design,ICCAD 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试,"['https://doi.org/10.1109/ICCAD66269.2025.11240912', 'https://researchportal.hkust.edu.hk/en/publications/scannow-a-scan-window-based-sparse-matrix-multiplication-accelera/']"
MAIN-R022,Avalanche,Avalanche: Optimizing Cache Utilization via Matrix Reordering for Sparse Matrix Multiplication Accelerator,ISCA 2025,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,完成调度参考；训练生存期候选未完成,['https://doi.org/10.1145/3695053.3730990']
MAIN-R023,HighLight,HighLight: Efficient and Flexible DNN Acceleration with Hierarchical Structured Sparsity,MICRO 2023,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,分层格式/元数据纳入强控制；完整原法未迁 / 原文 §4–6 已读；未迁入完整硬件,"['https://emze.csail.mit.edu/documents/2023.10.micro.highlight.pdf', 'https://doi.org/10.1145/3613424.3623786']"
MAIN-R026,CRISP,CRISP: Hybrid Structured Sparsity for Class-aware Model Pruning,DATE 2024,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,结构剪枝强先验；未完整迁移 / 原文已读；未实施完整方法,['https://past.date-conference.com/proceedings-archive/2024/DATA/45_pdf_upload.pdf']
MAIN-R027,VENOM,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,SC 2023,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,两级结构强基线；未完整GPU/ASIC迁入 / 原文方法及官方工件已定位；非完整复现,"['https://arxiv.org/pdf/2310.02065', 'https://github.com/UDC-GAC/venom', 'https://arxiv.org/abs/2310.02065']"
MAIN-R029,TASD,Enabling Unstructured Sparse Acceleration on Structured Sparse Accelerators,MLSys 2025,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,规则项+例外项保留；未迁入 / 原文方法已读；未实施完整分解,"['https://arxiv.org/pdf/2403.07953', 'https://proceedings.mlsys.org/paper_files/paper/2025/hash/e2ec2530db26b54d0b3b060c1e4a1bda-Abstract-Conference.html']"
MAIN-R030,VEGETA,VEGETA: Vertically-Integrated Extensions for Sparse/Dense GEMM Tile Acceleration on CPUs,HPCA 2023,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,普通强对照；未完整移植 / 原文 §III-D、V-C/E 已读；未完整实现,['https://arxiv.org/abs/2302.08687']
MAIN-R031,SCNN,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks,ISCA 2017,paper,稀疏架构与C1/C2,deep_or_method,already_inventoried,literature_audit_20260909,patch跨层融合强底座；未完整迁入,"['https://arxiv.org/pdf/1708.04485', 'https://doi.org/10.1145/3140659.3080254']"
MAIN-R032,Eyeriss (row stationary),Eyeriss: A Spatial Architecture for Energy-Efficient Dataflow for Convolutional Neural Networks,ISCA 2016,paper,稀疏架构与C1/C2,unclear,already_inventoried,literature_audit_20260909,已纳入普通强基线原则,['https://eyeriss.mit.edu/']
MAIN-R033,Eyeriss v2,Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile Devices,IEEE JETCAS 2019,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://people.csail.mit.edu/emer/media/papers/2019.04.jetcas.eyeriss_v2.pdf']
MAIN-R034,UCNN,UCNN: Exploiting Computational Reuse in Deep Neural Networks via Weight Repetition,ISCA 2018,paper,稀疏架构与C1/C2,method_or_partial,already_inventoried,literature_audit_20260909,强先验保留,['https://www.kartikhegde.net/media/UCNN_ISCA.pdf']
MAIN-R037,Sparseloop,Sparseloop: An Analytical Approach To Sparse Tensor Accelerator Modeling,MICRO 2022,paper,稀疏架构与C1/C2,unclear,already_inventoried,literature_audit_20260909,方法学已纳入,"['https://sparseloop.mit.edu/documents/2022-micro-sparseloop.pdf', 'https://github.com/Accelergy-Project/micro22-sparseloop-artifact']"
MAIN-R039,GoSPA,GoSPA: An Energy-Efficient High-Performance Globally Optimized SParse Convolutional Neural Network Accelerator,ISCA 2021,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://www.proceedings.com/content/059/059978webtoc.pdf']
MAIN-R040,Cambricon-X,Cambricon-X: An accelerator for sparse neural networks,2016 49th Annual IEEE/ACM International Symposium on Microarchitecture (MICRO) 2016,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1109/MICRO.2016.7783723']
MAIN-R043,Stripes,Stripes: Bit-Serial Deep Neural Network Computing,MICRO 2016,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1109/MICRO.2016.7783722']
MAIN-R044,Bit Fusion,Bit Fusion: Bit-Level Dynamically Composable Architecture for Accelerating Deep Neural Networks,ISCA 2018,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧调研概述；官方工件本轮核身份；未完整迁入,"['https://www.act-lab.org/artifacts/bitfusion/', 'https://iscaconf.org/isca2018/slides/9A2.pdf', 'https://act-lab.org/artifacts/bitfusion/']"
MAIN-R045,Bit-Pragmatic,Bit-Pragmatic Deep Neural Network Computing,MICRO 2017,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,新增查漏线索,['https://www.eecg.toronto.edu/~roman/professional/pubs/pdfs/micro17_deep_nn_moshovos_ieee.pdf']
MAIN-R046,MASR,MASR: A Modular Accelerator for Sparse RNNs,PACT 2019,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,新增查漏线索,"['https://ugupta.com/files/masr_pact.pdf', 'https://arxiv.org/abs/1908.08976']"
MAIN-R047,BBS / BitVert,BBS: Bi-directional Bit-level Sparsity for Deep Learning Acceleration,MICRO 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧包已列与方法概述；本地无完整 BitVert/算法复现,['https://arxiv.org/abs/2409.05227']
MAIN-R048,BitParticle,BitParticle: Partializing Sparse Dual-Factors to Build Quasi-Synchronizing MAC Arrays for Energy-efficient DNNs,arXiv 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧调研已定位/概述；完整原方法与 RTL 未迁入,['https://arxiv.org/abs/2507.09780']
MAIN-R049,BRIM,BRIM: Workload-Balanced Dual-Sided Bit-Serial Sparse Inference Accelerator,arXiv 2026,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧调研列入；无完整本地迁移,['https://arxiv.org/abs/2607.19431']
MAIN-R050,EBPC,EBPC: Extended Bit-Plane Compression for Deep Neural Network Inference and Training Accelerators,IEEE JETCAS 2019,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 20260906 已读作者全文并定位官方 RTL；未完整综合/迁入,"['https://arxiv.org/html/1908.11645v2', 'https://github.com/pulp-platform/stream-ebpc', 'https://cris.unibo.it/handle/11585/728412']"
MAIN-R051,GOBO,GOBO: Quantizing Attention-Based NLP Models for Low Latency and Energy Efficient Inference,MICRO 2020,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧调研概述层级；未完整迁入,['https://arxiv.org/abs/2005.03842']
MAIN-R052,OliVe,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization,Proceedings of the 50th Annual International Symposium on Computer Architecture 2023 / ISCA 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧调研概述层级；未完整迁入,"['https://arxiv.org/abs/2304.07493', 'https://doi.org/10.1145/3579371.3589038']"
MAIN-R053,ANT,ANT: Exploiting Adaptive Numerical Data Type for Low-Bit Deep Neural Network Quantization,MICRO 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 旧调研概述层级；无完整本地方法,['https://www.microsoft.com/en-us/research/publication/ant-exploiting-adaptive-numerical-data-type-for-low-bit-deep-neural-network-quantization/']
MAIN-R054,SpinalFlow,SpinalFlow: An Architecture and Dataflow Tailored for Spiking Neural Networks,ISCA 2020,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,[]
MAIN-R055,SATO,SATO: Spiking Neural Network Acceleration via Temporal-Oriented Dataflow and Architecture,DAC 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,['https://mxhx7199.github.io/files/%5BDAC-2022%5DSATO_preprint.pdf']
MAIN-R056,STELLAR,STELLAR: Energy-Efficient and Low-Latency SNN Algorithm and Hardware Co-Design with Spatiotemporal Computation,HPCA 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,['https://www.proceedings.com/content/074/074054webtoc.pdf']
MAIN-R057,FireFly,FireFly: A High-Throughput Hardware Accelerator for Spiking Neural Networks With Efficient DSP and Memory Optimization,IEEE TVLSI（旧表称） 2023 / IEEE TVLSI 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,"['https://arxiv.org/html/2505.12771v1', 'https://arxiv.org/html/2408.15578v1', 'https://arxiv.org/abs/1708.04485', 'https://arxiv.org/abs/1712.01507', 'https://cs.yale.edu/homes/el327/papers/mailmanAlgorithm.pdf', 'https://arxiv.org/abs/2301.01905']"
MAIN-R058,FireFly-v2,FireFly v2: Advancing Hardware Support for High-Performance Spiking Neural Network with a Spatiotemporal FPGA Accelerator,IEEE TCAD 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 完整强对照来源,"['https://arxiv.org/abs/2309.16158', 'https://doi.org/10.1109/TCAD.2024.3380550']"
MAIN-R059,FireFly-S,FireFly-S: Exploiting Dual-Side Sparsity for Spiking Neural Networks Acceleration with Reconfigurable Spatial Architecture,IEEE Transactions on Circuits and Systems I 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 保留训练与架构迁移,"['https://arxiv.org/abs/2408.15578', 'https://doi.org/10.1109/TCSI.2024.3496554']"
MAIN-R060,FireFly-T,FireFly-T: High-Throughput Sparsity Exploitation for Spiking Transformer Acceleration with Dual-Engine Overlay Architecture,IEEE Transactions on Computers 2026,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 强架构先验，未完整迁移,['https://arxiv.org/abs/2505.12771']
MAIN-R061,SpikeX,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks,arXiv；旧表称TCAD2025待核 2025 / IEEE TCAD 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 费用训练强对照,['https://arxiv.org/abs/2505.12292']
MAIN-R062,Bishop,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning,ISCA 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 强剪枝/异构调度先验,"['https://arxiv.org/abs/2505.12281', 'https://doi.org/10.1145/3695053.3731063']"
MAIN-R063,SMAM / Sparse Spike-Driven Transformer HW,An Efficient Sparse Hardware Accelerator for Spike-Driven Transformer,arXiv 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 仅调研/待迁移,['https://arxiv.org/abs/2501.07825']
MAIN-R064,Hardware Efficient Reconfigurable Time-Step Spiking Transformer,Hardware Efficient Accelerator for Spiking Transformer With Reconfigurable Parallel Time Step Computing,ISCAS 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 强实现先验,"['https://arxiv.org/abs/2503.19643', 'https://doi.org/10.1109/ISCAS56072.2025.11043330']"
MAIN-R065,Configurable CSA for Spiking Transformers,An Area-Efficient and Bit-Width Configurable Carry-Save Adder Tree for Spiking Transformers,2025 IEEE International Symposium on Circuits and Systems (ISCAS) 2025 / ISCAS 2025,paper,稀疏架构与C1/C2,method_or_partial,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入；不冒用原作 PPA / 保留借鉴；未迁移,['https://doi.org/10.1109/ISCAS56072.2025.11043823']
MAIN-R066,ESSA,ESSA: Design of a Programmable Efficient Sparse Spiking Neural Network Accelerator,IEEE TVLSI（旧表称） 2022 / IEEE TVLSI 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,['https://ieeexplore.ieee.org/document/9881220/']
MAIN-R067,Skydiver,Skydiver: A Spiking Neural Network Accelerator Exploiting Spatio-Temporal Workload Balance,IEEE TCAD（旧表称） 2022 / IEEE TCAD 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,['https://arxiv.org/abs/2203.07516']
MAIN-R068,COMPASS,COMPASS: SRAM-Based Computing-in-Memory SNN Accelerator with Adaptive Spike Speculation,MICRO 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 作者出版记录已核；全文未取得；未迁移 / 纳入相关工作；未完整迁移,['https://mxhx7199.github.io/publications/']
MAIN-R070,SpikeTA,完整题名待核；SpikeTA,IEEE TCAD（旧 AI 声称） 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 纳入相关工作；未完整迁移,[]
MAIN-R071,L-SPINE,L-SPINE: A Low-Precision SIMD Spiking Neural Compute Engine for Resource-efficient Edge Inference,arXiv 2026,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索 / 仅他 AI 列举与身份核查,['https://arxiv.org/abs/2604.03626']
MAIN-R073,SpAtten,SpAtten: Efficient Sparse Attention Architecture with Cascade Token and Head Pruning,HPCA 2021,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2012.09852']
MAIN-R074,A³,A³: Accelerating Attention Mechanisms in Neural Networks with Approximation,HPCA 2020,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2002.10941']
MAIN-R075,Sanger,Sanger: A Co-Design Framework for Enabling Sparse Attention using Reconfigurable Architecture,MICRO-54: 54th Annual IEEE/ACM International Symposium on Microarchitecture 2021,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1145/3466752.3480125']
MAIN-R076,ELSA (attention 2021),"ELSA: Hardware-Software Co-design for Efficient, Lightweight Self-Attention",ISCA 2021,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://taejunham.github.io/data/elsa_isca21.pdf', 'https://doi.org/10.1109/ISCA52012.2021.00060']"
MAIN-R077,DOTA,DOTA: Detect and Omit Weak Attentions for Scalable Transformer Acceleration,ASPLOS 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://doi.org/10.1145/3503222.3507738', 'https://par.nsf.gov/servlets/purl/10357543']"
MAIN-R078,FACT,FACT: FFN-Attention Co-optimized Transformer Architecture with Eager Correlation Prediction,Proceedings of the 50th Annual International Symposium on Computer Architecture 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1145/3579371.3589057']
MAIN-R079,Energon,Energon: Towards Efficient Acceleration of Transformers Using Dynamic Sparse Attention,IEEE TCAD（旧表称2022，刊期待核） 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2110.09310']
MAIN-R080,AccelTran / DynaTran,AccelTran: A Sparsity-Aware Accelerator for Dynamic Inference with Transformers,arXiv（后续期刊待核） 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2302.14705']
MAIN-R081,HeatViT,HeatViT: Hardware-Efficient Adaptive Token Pruning for Vision Transformers,HPCA 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://arxiv.org/abs/2211.08110', 'https://doi.org/10.1109/HPCA56546.2023.10071047']"
MAIN-R082,ViTCoD,ViTCoD: Vision Transformer Acceleration via Dedicated Algorithm and Accelerator Co-Design,HPCA 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://doi.org/10.1109/HPCA56546.2023.10071027', 'https://github.com/GATECH-EIC/ViTCoD']"
MAIN-R083,Auto-ViT-Acc,Auto-ViT-Acc: An FPGA-Aware Automatic Acceleration Framework for Vision Transformer with Mixed-Scheme Quantization,2022 32nd International Conference on Field-Programmable Logic and Applications (FPL) 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1109/FPL57034.2022.00027']
MAIN-R084,FlashAttention,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,NeurIPS 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2205.14135']
MAIN-R085,FlashAttention-2,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,ICLR 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://arxiv.org/abs/2307.08691', 'https://proceedings.iclr.cc/paper_files/paper/2024/hash/98ed250b203d1ac6b24bbcf263e3d4a7-Abstract-Conference.html']"
MAIN-R086,FlashAttention-3,FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,NeurIPS 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://arxiv.org/abs/2407.08608', 'https://proceedings.neurips.cc/paper_files/paper/2024/hash/7ede97c3e082c6df10a8d6103a2eebd2-Abstract-Conference.html']"
MAIN-R087,H-FA,H-FA: A Hybrid Floating-Point and Logarithmic Approach to Hardware Accelerated FlashAttention,arXiv 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2511.00295']
MAIN-R088,FABNet,Adaptable Butterfly Accelerator for Attention-based NNs via Hardware and Algorithm Co-design,MICRO 2022,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2209.09570']
MAIN-R089,PagedAttention,Efficient Memory Management for Large Language Model Serving with PagedAttention,SOSP 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,当前适配弱；保留目录不推进,"['https://arxiv.org/abs/2309.06180', 'https://doi.org/10.1145/3600006.3613165']"
MAIN-R090,FlightVGM,FlightVGM: Efficient Video Generation Model Inference with Online Sparsification and Hybrid Precision on FPGAs,Proceedings of the 2025 ACM/SIGDA International Symposium on Field Programmable Gate Arrays 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1145/3706628.3708864']
MAIN-R091,PARO / PAROAttention,PAROAttention: Pattern-Aware ReOrdering for Efficient Sparse and Quantized Attention in Visual Generation Models,arXiv 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2506.16054']
MAIN-R092,Kaleido,Kaleido: Algorithm-Hardware Co-Design for Video Diffusion Transformers by Exploiting Latent Space Correlations,arXiv 2026,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2607.13770']
MAIN-R093,SOFA,SOFA: A Compute-Memory Optimized Sparsity Accelerator via Cross-Stage Coordinated Tiling,arXiv（正式会议待核） 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://arxiv.org/abs/2407.10416']
MAIN-R094,FLAT,FLAT: An Optimized Dataflow for Mitigating Attention Bottlenecks,"Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2 2023",paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://arxiv.org/abs/2107.06419', 'https://doi.org/10.1145/3575693.3575747']"
MAIN-R095,FuseMax,FuseMax: Leveraging Extended Einsums to Optimize Attention Accelerator Design,2024 57th IEEE/ACM International Symposium on Microarchitecture (MICRO) 2024,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://arxiv.org/abs/2406.10491', 'https://doi.org/10.1109/MICRO61859.2024.00107']"
MAIN-R098,UbiMoE,UbiMoE: A Ubiquitous Mixture-of-Experts Vision Transformer Accelerator With Hybrid Computation Pattern on FPGA,2025 IEEE International Symposium on Circuits and Systems (ISCAS) 2025,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,"['https://arxiv.org/abs/2502.05602', 'https://doi.org/10.1109/ISCAS56072.2025.11043956']"
MAIN-R099,Edge-MoE,Edge-MoE: Memory-Efficient Multi-Task Vision Transformer Architecture with Task-Level Sparsity via Mixture-of-Experts,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD) 2023,paper,稀疏架构与C1/C2,metadata_or_list,already_inventoried,literature_audit_20260909,保留未试线索,['https://doi.org/10.1109/ICCAD57390.2023.10323651']
