uid,name,full_title,venue,venue_norm,entity_type,precision_tier,relevance_score,precision_status,depth_bucket,read_flag,f_candidates,arxiv_id,source_url,abstract
MAIN-R110,APEX,APEX: A Dual-Sparsity Accelerator for Precise and Efficient SNN Inference,arXiv预印本 2026 / arXiv 2026,arXiv 2026,paper,P0_high_rel,82,arxiv_abstract_verified,metadata_or_list,already_inventoried,F6,2608.19046,"['https://arxiv.org/html/2608.19046v1', 'https://arxiv.org/abs/2608.19046']","Spiking Neural Networks (SNNs) have emerged as an energy-efficient alternative to Artificial Neural Networks (ANNs), leveraging sparse accumulate operations in the place of power-hungry multiply-and-accumulate operations. ANN-SNN conversion is a widely adopted approach to realize deep SNNs with accu"
MAIN-R204,Seneca synaptic-delay hardware-aware training,Hardware-aware training of models with synaptic delays for digital event-driven neuromorphic processors,arXiv 2024,arXiv 2024,paper,P0_high_rel,82,arxiv_abstract_verified,unclear,already_inventoried,F1,2404.10597,['https://arxiv.org/abs/2404.10597'],"Configurable synaptic delays are a basic feature in many neuromorphic neural network hardware accelerators. However, they have been rarely used in model implementations, despite their promising impact on performance and efficiency in tasks that exhibit complex (temporal) dynamics, as it has been unc"
MAIN-R232,Motion-aware Event Suppression,Motion-aware Event Suppression for Event Cameras,RSS 2026,RSS 2026,paper,P0_high_rel,82,arxiv_abstract_verified,unclear,already_inventoried,"F1,F2,F7",2602.23204,['https://arxiv.org/abs/2602.23204'],"Event cameras report asynchronously per-pixel brightness changes with microsecond latency, encoding dynamic visual information as a sparse stream of events. However, their extreme temporal resolution floods perception systems with entangled events from ego-motion and independently moving objects (IM"
MAIN-R002,GustavSNN,GustavSNN: Unleashing the Power of Gustavson's Algorithm on SNN Acceleration with Column-Parallel Tick-Batch Dataflow,2026 IEEE International Symposium on High Performance Computer Architecture (HPCA) 2026,HPCA 2026,paper,P0_high_rel,80,prior_method_ok_needs_spotcheck|audit_deep_evidence,deep_or_method,already_inventoried,F5,,"['https://doi.org/10.1109/HPCA68181.2026.11408587', 'https://2026.hpca-conf.org/program/program-hpca-2026/Detailed-Timeline']",
MAIN-R054,SpinalFlow,SpinalFlow: An Architecture and Dataflow Tailored for Spiking Neural Networks,ISCA 2020,ISCA 2020,paper,P0_high_rel,80,metadata_only,metadata_or_list,already_inventoried,F5,,[],
MUSHA-SN017,Parallel_Time_Batching,Parallel Time Batching for Spiking Neural Network Accelerators,HPCA 2022,HPCA 2022,paper,P0_high_rel,80,metadata_only,unclear,already_inventoried_musha_incremental,F5,,,
ARX-033,MOSAIC: A Workload-Driven Simulation and Design-Space Exploration Framework for ,MOSAIC: A Workload-Driven Simulation and Design-Space Exploration Framework for Heterogeneous NPUs,arXiv 2026,arXiv 2026,paper,P0_high_rel,76,arxiv_abstract_verified,metadata_or_list,new_this_round,,2606.05362,https://arxiv.org/abs/2606.05362v2,"AI model architectures are diversifying rapidly. Although dense matrix multiplication underlies today's CNNs and transformers, emerging architectures (state-space models, long convolutions via the fast Fourier transform (FFT), Kolmogorov-Arnold networks, and spiking networks) are not multiply-accumu"
MAIN-R062,Bishop,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-Constrained Pruning,ISCA 2025,ISCA 2025,paper,P0_high_rel,76,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F2,F7",2505.12281,"['https://arxiv.org/abs/2505.12281', 'https://doi.org/10.1145/3695053.3731063']","We present Bishop, the first dedicated hardware accelerator architecture and HW/SW co-design framework for spiking transformers that optimally represents, manages, and processes spike-based workloads while exploring spatiotemporal sparsity and data reuse. Specifically, we introduce the concept of To"
MAIN-R208,Adaptive-SpikeNet,Adaptive-SpikeNet: Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable Neuronal Dynamics,ICRA 2023,ICRA 2023,paper,P0_high_rel,76,arxiv_abstract_verified,unclear,already_inventoried,,2209.11741,['https://arxiv.org/abs/2209.11741'],"Event-based cameras have recently shown great potential for high-speed motion estimation owing to their ability to capture temporally rich information asynchronously. Spiking Neural Networks (SNNs), with their neuro-inspired event-driven processing can efficiently handle such asynchronous data, whil"
MUSHA-SN012,Bishop,Bishop: Sparsified Bundling Spiking Transformers with Error-Constrained Pruning,ISCA 2025,ISCA 2025,paper,P0_high_rel,76,metadata_only,unclear,already_inventoried_musha_incremental,"F1,F7",,,
MUSHA-SP001,GustavSNN,GustavSNN: Gustavson SpMM + CPTB + NRV for spiking networks (HPCA 2026 public mirror),HPCA 2026,HPCA 2026,paper,P0_high_rel,76,metadata_only,unclear,already_inventoried_musha_incremental,"F3,F5",,,
MAIN-R027,VENOM,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,SC 2023,SC 2023,paper,P0_high_rel,74,arxiv_abstract_verified|audit_deep_evidence,deep_or_method,already_inventoried,F1,2310.02065,"['https://arxiv.org/pdf/2310.02065', 'https://github.com/UDC-GAC/venom', 'https://arxiv.org/abs/2310.02065']","The increasing success and scaling of Deep Learning models demands higher computational efficiency and power. Sparsification can lead to both smaller models as well as higher compute efficiency, and accelerated hardware is becoming available. However, exploiting it efficiently requires kernel implem"
MAIN-R236,ESDA,A Composable Dynamic Sparse Dataflow Architecture for Efficient Event-based Vision Processing on FPGA,ACM FPGA 2024,ACM FPGA 2024,paper,P0_high_rel,74,arxiv_abstract_verified,unclear,already_inventoried,F7,2401.05626,['https://arxiv.org/abs/2401.05626'],"Event-based vision represents a paradigm shift in how vision information is captured and processed. By only responding to dynamic intensity changes in the scene, event-based sensing produces far less data than conventional frame-based cameras, promising to springboard a new generation of high-speed,"
MAIN-R237,HOMI,HOMI: Ultra-Fast EdgeAI platform for Event Cameras,arXiv 2025,arXiv 2025,paper,P0_high_rel,74,arxiv_abstract_verified,unclear,already_inventoried,,2508.12637,['https://arxiv.org/abs/2508.12637'],"Event cameras offer significant advantages for edge robotics applications due to their asynchronous operation and sparse, event-driven output, making them well-suited for tasks requiring fast and efficient closed-loop control, such as gesture-based human-robot interaction. Despite this potential, ex"
MAIN-R243,Kraken,Kraken: A Direct Event/Frame-Based Multi-sensor Fusion SoC for Ultra-Efficient Visual Processing in Nano-UAVs,arXiv 2022,arXiv 2022,paper,P0_high_rel,74,arxiv_abstract_verified,unclear,already_inventoried,F1,2209.01065,['https://arxiv.org/abs/2209.01065'],Small-size unmanned aerial vehicles (UAV) have the potential to dramatically increase safety and reduce cost in applications like critical infrastructure maintenance and post-disaster search and rescue. Many scenarios require UAVs to shrink toward nano and pico-size form factors. The key open challe
OS-01,GustavSNN-public-mirror,GustavSNN public paper mirror + local CPTB/NRV migration artifacts,open-source/local-mirror,open-source,open_source,P0_high_rel,74,opensource_inventory,open_source_inventory,new_this_round,F5,,,
ARX-059,At-the-Roofline Sparse Tensor Contractions on Vector Processors for Transformer ,At-the-Roofline Sparse Tensor Contractions on Vector Processors for Transformer Inference,arXiv 2026,arXiv 2026,paper,P0_high_rel,72,arxiv_abstract_verified,metadata_or_list,new_this_round,"F1,F5",2607.25504,https://arxiv.org/abs/2607.25504v1,"Fine-grained weight pruning and activation sparsification have emerged as effective approaches for reducing the compute and memory cost of inference for Transformer models. In the moderate-sparsity regime, Gustavson's dataflow provides a natural execution model for exploiting both activation and wei"
MAIN-R093,SOFA,SOFA: A Compute-Memory Optimized Sparsity Accelerator via Cross-Stage Coordinated Tiling,arXiv（正式会议待核） 2024,arXiv 2024,paper,P0_high_rel,72,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F2,F7",2407.10416,['https://arxiv.org/abs/2407.10416'],"Benefiting from the self-attention mechanism, Transformer models have attained impressive contextual comprehension capabilities for lengthy texts. The requirements of high-throughput inference arise as the large language models (LLMs) become increasingly prevalent, which calls for large-scale token "
MAIN-R149,FLARE / BitSift,"FLARE: FP-Less PTQ and Low-ENOB ADC Based AMS-PiM for Error-Resilient, Fast, and Efficient Transformer Acceleration",arXiv 2024,arXiv 2024,paper,P0_high_rel,72,arxiv_abstract_verified,method_or_partial,already_inventoried,F7,2411.14733,['https://arxiv.org/abs/2411.14733'],"Encoder-based transformers, powered by self-attention layers, have revolutionized machine learning with their context-aware representations. However, their quadratic growth in computational and memory demands presents significant bottlenecks. Analog-Mixed-Signal Process-in-Memory (AMS-PiM) architect"
MAIN-R200,SDformerFlow,SDformerFlow: Spatiotemporal swin spikeformer for event-based optical flow estimation,ICPR 2024,ICPR 2024,paper,P0_high_rel,72,arxiv_abstract_verified,unclear,already_inventoried,F7,2409.04082,"['https://arxiv.org/abs/2409.04082', 'https://icpr2024.org/pdf/Technical%20Program.pdf']","Event cameras generate asynchronous and sparse event streams capturing changes in light intensity. They offer significant advantages over conventional frame-based cameras, such as a higher dynamic range and an extremely faster data rate, making them particularly useful in scenarios involving fast mo"
MAIN-R214,Spiking Patches,"Spiking Patches: Asynchronous, Sparse, and Efficient Tokens for Event Cameras",IROS 2026,IROS 2026,paper,P0_high_rel,72,arxiv_abstract_verified,unclear,already_inventoried,F7,2510.26614,['https://arxiv.org/abs/2510.26614'],"We propose tokenization of events and present a tokenizer, Spiking Patches, specifically designed for event cameras. Given a stream of asynchronous and spatially sparse events, our goal is to discover an event representation that preserves these properties. Prior works have represented events as fra"
MAIN-R216,SLIACF,Spiking Local Interaction and Adaptive Complementary Fusion for Spiking Transformer,arXiv 2026,arXiv 2026,paper,P0_high_rel,72,arxiv_abstract_verified,unclear,already_inventoried,"F1,F7",2608.19238,['https://arxiv.org/abs/2608.19238'],"Spiking Transformers model token interactions primarily through spiking self-attention (SSA). However, binary query and key representations map continuous similarities to sparse and discrete relation responses, which may suppress weak relations and limit the propagation of local spatial context. To "
MAIN-R291,ERAFT FPGA,An FPGA-based Real-Time Optical Flow Accelerator for Recurrent All-Pairs Field Transforms,2025 IEEE International Symposium on Circuits and Systems (ISCAS) 2025,ISCA 2025,paper,P0_high_rel,72,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,,,['https://doi.org/10.1109/ISCAS56072.2025.11043529'],
MAIN-R293,Liu optical-flow FPGA TCAS-I 2025,An Ultra-High Performance and Scalable Optical Flow Hardware Accelerator Based on FPGA for Autonomous Driving,IEEE Transactions on Circuits and Systems I: Regular Papers 2025,IEEE Transactions on Circuits and Systems I: Regular Papers 2025,paper,P0_high_rel,72,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,,,['https://doi.org/10.1109/TCSI.2025.3572918'],
MAIN-R347,FlexSpIM,An Event-Based Digital Compute-In-Memory Accelerator with Flexible Operand Resolution and Layer-Wise Weight/Output Stationarity,ISCAS 2025,ISCA 2025,paper,P0_high_rel,72,arxiv_abstract_verified,unclear,already_inventoried,,2410.23082,"['https://arxiv.org/abs/2410.23082', 'https://doi.org/10.1109/ISCAS56072.2025.11043507']","Compute-in-memory (CIM) accelerators for spiking neural networks (SNNs) are promising solutions to enable $μ$s-level inference latency and ultra-low energy in edge vision applications. Yet, their current lack of flexibility at both the circuit and system levels prevents their deployment in a wide ra"
ARX-005,Inference-Time Gaze Refinement for Micro-Expression Recognition: Enhancing Event,Inference-Time Gaze Refinement for Micro-Expression Recognition: Enhancing Event-Based Eye Tracking with Motion-Aware Post-Processing,arXiv 2025,arXiv 2025,paper,P0_high_rel,70,arxiv_abstract_verified,metadata_or_list,new_this_round,"F2,F7",2506.12524,https://arxiv.org/abs/2506.12524v3,"Event-based eye tracking holds significant promise for fine-grained cognitive state inference, offering high temporal resolution and robustness to motion artifacts, critical features for decoding subtle mental states such as attention, confusion, or fatigue. In this work, we introduce a model-agnost"
ARX-126,Realizable N:M Sparse Transformer Inference via Search-Kernel Co-Design,Realizable N:M Sparse Transformer Inference via Search-Kernel Co-Design,arXiv 2026,arXiv 2026,paper,P0_high_rel,70,arxiv_abstract_verified,metadata_or_list,new_this_round,F1,2607.12505,https://arxiv.org/abs/2607.12505v2,"Vision Transformers (ViTs) achieve strong accuracy but incur high inference latency. Semi-structured N:M sparsity can reduce arithmetic cost, yet its theoretical savings often fail to translate into proportional end-to-end speedups on modern GPUs. This mismatch arises because deployment latency depe"
MAIN-R055,SATO,SATO: Spiking Neural Network Acceleration via Temporal-Oriented Dataflow and Architecture,DAC 2022,DAC 2022,paper,P0_high_rel,70,metadata_only,metadata_or_list,already_inventoried,,,['https://mxhx7199.github.io/files/%5BDAC-2022%5DSATO_preprint.pdf'],
MAIN-R139,DPES,Advancing energy efficiency of spiking neural network accelerator via dynamic predictive early stopping,IEICE Electronics Express 2024,IEICE Electronics Express 2024,paper,P0_high_rel,70,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,F2,,['https://globals.ieice.org/en_publications/elex/10.1587/elex.21.20240206/_f'],
MAIN-R286,TFSRAM,TFSRAM: A 249.8TOPS/W Timing-to-First-Spike Compute-in-Memory Neuromorphic Processing Engine With Twin-Column SRAM Synapses,IEEE Transactions on Circuits and Systems for Artificial Intelligence 2024,IEEE Transactions on Circuits and Systems for Artificial Intelligence 2024,paper,P0_high_rel,70,prior_method_ok_needs_spotcheck,method_or_partial,already_inventoried,,,['https://doi.org/10.1109/TCASAI.2024.3452649'],
ARX-036,PSViT: A Methodology for Structurally Pruning Spiking Vision Transformers,PSViT: A Methodology for Structurally Pruning Spiking Vision Transformers,arXiv 2026,arXiv 2026,paper,P0_high_rel,68,arxiv_abstract_verified,metadata_or_list,new_this_round,F1,2606.03257,https://arxiv.org/abs/2606.03257v1,"Spiking Vision Transformer (SViT) models are promising low-power ViT models for solving vision-based tasks with state-of-the-art performance. However, their large sizes limit their deployments for resource-constrained embedded platforms, underscoring the needs of model compression. One of prominent "
MAIN-R031,SCNN,SCNN: An Accelerator for Compressed-sparse Convolutional Neural Networks,ISCA 2017,ISCA 2017,paper,P0_high_rel,68,arxiv_abstract_verified,deep_or_method,already_inventoried,F1,1708.04485,"['https://arxiv.org/pdf/1708.04485', 'https://doi.org/10.1145/3140659.3080254']","Convolutional Neural Networks (CNNs) have emerged as a fundamental technology for machine learning. High performance and extreme energy efficiency are critical for deployments of CNNs in a wide range of situations, especially mobile platforms such as autonomous vehicles, cameras, and electronic pers"
MAIN-R047,BBS / BitVert,BBS: Bi-directional Bit-level Sparsity for Deep Learning Acceleration,MICRO 2024,MICRO 2024,paper,P0_high_rel,68,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F2,F4",2409.05227,['https://arxiv.org/abs/2409.05227'],Bit-level sparsity methods skip ineffectual zero-bit operations and are typically applicable within bit-serial deep learning accelerators. This type of sparsity at the bit-level is especially interesting because it is both orthogonal and compatible with other deep neural network (DNN) efficiency met
MAIN-R231,SENECA ANN vs SNN optical flow,Event-based Optical Flow on Neuromorphic Processor: ANN vs. SNN Comparison based on Activation Sparsification,Neural Networks 2025,Neural Networks 2025,paper,P0_high_rel,68,arxiv_abstract_verified,unclear,already_inventoried,,2407.20421,['https://arxiv.org/abs/2407.20421'],"Spiking neural networks (SNNs) for event-based optical flow are claimed to be computationally more efficient than their artificial neural networks (ANNs) counterparts, but a fair comparison is missing in the literature. In this work, we propose an event-based optical flow solution based on activatio"
MAIN-R238,SSER,"Self-Supervised Event Representations: Towards Accurate, Real-Time Perception on SoC FPGAs",SPIE Real-time Processing workshop 投稿/展示 2025,SPIE Real-time Processing workshop 投稿/展示 2025,paper,P0_high_rel,68,arxiv_abstract_verified,unclear,already_inventoried,F2,2505.07556,['https://arxiv.org/abs/2505.07556'],"Event cameras offer significant advantages over traditional frame-based sensors. These include microsecond temporal resolution, robustness under varying lighting conditions and low power consumption. Nevertheless, the effective processing of their sparse, asynchronous event streams remains challengi"
MAIN-R332,Keller Per-Vector INT4,A 95.6-TOPS/W Deep Learning Inference Accelerator With Per-Vector Scaled 4-bit Quantization in 5 nm,VLSI 2022；JSSC 2023,JSSC 2022,paper,P0_high_rel,68,metadata_only,metadata_or_list,already_inventoried,,,"['https://doi.org/10.1109/JSSC.2023.3234893', 'https://doi.org/10.1109/VLSITechnologyandCir46769.2022.9830232']",
MUSHA-SN002,Quantized_SpikeDriven_Transformer,Quantized Spike-driven Transformer (IE-LIF multi-bit train / binary infer),arXiv 2025,arXiv 2025,paper,P0_high_rel,68,metadata_only,unclear,already_inventoried_musha_incremental,,,,
ARX-023,Event-triggered Implicit Perturbation for Zeroth-Order Fine-Tuning of Spiking Tr,Event-triggered Implicit Perturbation for Zeroth-Order Fine-Tuning of Spiking Transformers,arXiv 2026,arXiv 2026,paper,P0_high_rel,66,arxiv_abstract_verified,metadata_or_list,new_this_round,,2608.21223,https://arxiv.org/abs/2608.21223v1,"Zeroth-order (ZO) optimization estimates gradients using only forward-pass evaluations, making it suitable for fine-tuning non-differentiable, event-driven spiking neural networks (SNNs). However, its deployment on in-memory computing (IMC) accelerators is constrained by the repeated read-modify-wri"
ARX-176,Focus Session: Hardware and Software Techniques for Accelerating Multimodal Foun,Focus Session: Hardware and Software Techniques for Accelerating Multimodal Foundation Models,arXiv 2026,arXiv 2026,paper,P0_high_rel,66,arxiv_abstract_verified,metadata_or_list,new_this_round,"F1,F2,F7",2604.21952,https://arxiv.org/abs/2604.21952v1,"This work presents a multi-layered methodology for efficiently accelerating multimodal foundation models (MFMs). It combines hardware and software co-design of transformer blocks with an optimization pipeline that reduces computational and memory requirements. During model development, it employs pe"
MAIN-R012,Gustavson algorithm,Two Fast Algorithms for Sparse Matrices: Multiplication and Permuted Transposition,ACM Transactions on Mathematical Software 1978,ACM Transactions on Mathematical Software 1978,paper,P0_high_rel,66,metadata_only,unclear,already_inventoried,F5,,['https://doi.org/10.1145/355791.355796'],
MAIN-R051,GOBO,GOBO: Quantizing Attention-Based NLP Models for Low Latency and Energy Efficient Inference,MICRO 2020,MICRO 2020,paper,P0_high_rel,66,arxiv_abstract_verified,metadata_or_list,already_inventoried,F7,2005.03842,['https://arxiv.org/abs/2005.03842'],"Attention-based models have demonstrated remarkable success in various natural language understanding tasks. However, efficient execution remains a challenge for these models which are memory-bound due to their massive number of parameters. We present GOBO, a model quantization technique that compre"
MAIN-R060,FireFly-T,FireFly-T: High-Throughput Sparsity Exploitation for Spiking Transformer Acceleration with Dual-Engine Overlay Architecture,IEEE Transactions on Computers 2026,IEEE Transactions on Computers 2026,paper,P0_high_rel,66,arxiv_abstract_verified,metadata_or_list,already_inventoried,F7,2505.12771,['https://arxiv.org/abs/2505.12771'],"Spiking transformers are emerging as a promising architecture that combines the energy efficiency of Spiking Neural Networks (SNNs) with the powerful attention mechanisms of transformers. However, existing hardware accelerators lack support for spiking attention, exhibit limited throughput in exploi"
MAIN-R061,SpikeX,SpikeX: Exploring Accelerator Architecture and Network-Hardware Co-Optimization for Sparse Spiking Neural Networks,arXiv；旧表称TCAD2025待核 2025 / IEEE TCAD 2025,arXiv 2025,paper,P0_high_rel,66,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F1,F7",2505.12292,['https://arxiv.org/abs/2505.12292'],"Spiking Neural Networks (SNNs) are promising biologically plausible models of computation which utilize a spiking binary activation function similar to that of biological neurons. SNNs are well positioned to process spatiotemporal data, and are advantageous in ultra-low power and real-time processin"
MAIN-R063,SMAM / Sparse Spike-Driven Transformer HW,An Efficient Sparse Hardware Accelerator for Spike-Driven Transformer,arXiv 2025,arXiv 2025,paper,P0_high_rel,66,arxiv_abstract_verified,metadata_or_list,already_inventoried,"F2,F4,F7",2501.07825,['https://arxiv.org/abs/2501.07825'],"Recently, large models, such as Vision Transformer and BERT, have garnered significant attention due to their exceptional performance. However, their extensive computational requirements lead to considerable power and hardware resource consumption. Brain-inspired computing, characterized by its spik"
ARX-002,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,arXiv 2026,arXiv 2026,paper,P0_high_rel,64,arxiv_abstract_verified,metadata_or_list,new_this_round,,2602.12590,https://arxiv.org/abs/2602.12590v1,"Event-based vision encodes dynamic scenes as asynchronous spatio-temporal spikes called events. To leverage conventional image processing pipelines, events are typically binned into frames. However, binning functions are discontinuous, which truncates gradients at the frame level and forces most eve"
